GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",988549,1064796,1146156,1194363,1284606,1332982,1414923,1542908,1685574,1845298,2029522,2293883,2618338,2831220,3018697,3414672,3936376,4431040,4802754,5418333,6301716,7296189,8795618,10670235,12101396,13192834,14561020,15619100,16213043,16621805,17830224,20411674,21807502,22593084,23283553,24679988,26767864,29232103,31740940,33867347,36303815,36303933,39447399,38688583,37934394,40448575,48149346,47529706,54516847,61513597,65467194,57062899,55735585,61717094,70345193,69590430,80543803,88723691,93963998,100976980,109752033
 "53000","Washington",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",125034,136861,148010,156155,173937,182223,198003,220904,233460,253152,269965,280528,285881,298496,324252,388772,459926,488935,574947,661219,782652,916518,1056762,1248896,1329015,1395463,1529093,1672036,1842628,2009233,2326410,3036736,3314954,3596438,3648308,4114734,4908743,5334768,6335586,7121684,7485406,7241315,8042497,7067440,7387785,9442543,17587159,12809650,16900612,20630110,20751614,12988332,12502276,16173223,21358192,20826695,26685505,30015282,31910537,34286227,37412399
 "53000","Washington",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",592498,633500,689330,715151,767157,792280,852259,944220,1055600,1178427,1352830,1589032,1889773,2051240,2191634,2511433,2982233,3488900,3805062,4432205,5167659,6025469,7321152,8914731,10259988,11266338,12507446,13395062,13934978,14213207,14979400,16861446,17828973,18034249,18135271,18311973,18990092,20659661,21652170,22835487,24369210,24223741,26331425,26047310,24777166,24882940,24126895,28678112,32335547,36006549,37591231,34821533,32246437,32296109,35112759,33625375,36985263,40142929,41563320,44199132,48682567
 "53000","Washington",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",296348,326418,352783,378925,407240,418205,449219,474063,513891,578184,657670,808195,1019477,1122297,1200914,1344964,1584741,1973800,2096323,2380286,2758712,2975617,3471247,3899150,4660452,5771237,5972793,6832056,7267920,7672199,8072563,8698162,9267709,9932655,10689325,11320912,11767267,12807471,13283079,14291366,14456619,14757483,15498779,15067423,15226962,15790103,16882611,17980802,19275191,20380002,22111129,22648249,22230466,22344258,22871038,22977535,24563323,26618387,26550924,26765482,28263159
 "53000","Washington",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",296150,307082,336547,336226,359917,374075,403040,470157,541709,600243,695160,780837,870296,928943,990720,1166469,1397492,1515100,1708739,2051919,2408947,3049852,3849905,5015581,5599536,5495101,6534653,6563006,6667058,6541008,6906837,8163284,8561264,8101594,7445946,6991061,7222825,7852190,8369091,8544121,9912591,9466258,10832646,10979887,9550204,9092837,7244284,10697310,13060356,15626547,15480102,12173284,10015971,9951851,12241721,10647840,12421940,13524542,15012396,17433650,20419408
 "53000","Washington",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",271017,294435,308816,323057,343512,358479,364661,377784,396514,413719,406727,424323,442684,481484,502811,514467,494217,453205,422745,324909,351405,354202,417704,506608,512393,531033,524481,552002,435437,399365,524414,513492,663575,962397,1499974,2253281,2869029,3237674,3753184,3910176,4449199,4838877,5073477,5573833,5769443,6123092,6435292,6041944,5280688,4876938,7124349,9253034,10986872,13247762,13874242,15138360,16873035,18565480,20490141,22491621,23657067
 "53000","Washington",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",180862,197854,213754,229037,246900,257657,262173,270198,282113,293644,287790,309311,319813,334881,327760,309367,310738,289712,249633,147592,152098,123568,117635,125965,52916,39976,-8623,-64601,-163532,-167919,-42757,-31961,43301,194431,526947,1100594,1559922,1768920,2186589,2295020,2769675,3187453,3410788,3806849,3993742,4358619,4643773,4070177,3397725,2701520,4263484,6259478,7522835,9055835,9543981,10527793,11613056,12743266,14241739,16105064,16865583
 "53000","Washington",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",90155,96581,95062,94020,96612,100822,102488,107586,114401,120075,118937,115012,122871,146603,175051,205100,183479,163493,173112,177317,199307,230634,300069,380643,459477,491057,533104,616603,598969,567284,567171,545453,620274,767966,973027,1152687,1309107,1468754,1566595,1615156,1679524,1651424,1662689,1766984,1775701,1764473,1791519,1971767,1882963,2175418,2860865,2993556,3464037,4191927,4330261,4610567,5259979,5822214,6248402,6386557,6791484
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
