GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54000","West Virginia",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",273781,297399,317987,331220,356470,391194,421579,449080,458538,473277,498332,568605,647033,712179,785855,891538,1038407,1180367,1300355,1469332,1641251,1853428,2271485,2797485,3200856,3406586,3781390,3983922,4103745,4114360,4362255,4815258,5042168,5034960,5158784,5238397,5468215,5829307,6157572,6441506,6809983,6717124,7175155,7205369,6975902,6779390,6853101,7024675,7615997,8271232,8684468,8275204,8188976,8998009,9653698,9294516,9814053,10185824,10203993,10592594,11397828
 "54000","West Virginia",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",62684,73388,72289,76566,78973,91612,103408,113633,109419,110376,126109,125632,129180,135942,148169,172035,198578,206884,241538,274563,302238,334690,348678,380021,418619,440637,461525,497959,528950,552907,643448,771362,822074,877550,930175,985786,1113616,1196441,1349515,1391323,1381692,1331285,1431953,1363412,1449499,1380590,1761515,1793762,2219856,2567775,2519946,1831296,1755650,2140505,2542540,2312023,2573024,2723429,2783428,2938936,3185557
 "54000","West Virginia",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",111864,119483,134219,142226,157032,177155,200133,219891,234388,248071,262501,329998,396454,450263,504968,590408,705841,840799,938651,1104478,1241420,1423799,1817281,2287645,2663781,2821476,3178531,3338984,3469204,3460298,3581824,3898230,4032679,3927100,3877390,3835403,3884736,4141807,4263836,4465945,4783673,4686887,4999499,4997778,4608100,4434404,4066282,4320994,4640641,5041384,5259827,5245352,4844849,4953144,4996777,4766444,4862226,4958031,4867356,5029839,5434990
 "54000","West Virginia",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",55364,61673,67571,73570,80634,87476,97333,105196,114997,123087,133965,156018,195133,228395,262102,297314,348640,444060,488237,561225,636421,685951,815226,944607,1144426,1365533,1449104,1623680,1736631,1822761,1872296,1952198,2044615,2135469,2229156,2314353,2391578,2567669,2605068,2781312,2798008,2851290,2956312,2935525,2959386,3000167,2963568,2991137,3075991,3196784,3465772,3619609,3549383,3636478,3663488,3630624,3697608,3791676,3683608,3664610,3833173
 "54000","West Virginia",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",56500,57810,66648,68656,76398,89679,102800,114695,119391,124984,128536,173980,201321,221868,242866,293094,357201,396739,450414,543253,604999,737848,1002055,1343038,1519355,1455943,1729427,1715304,1732573,1637537,1709528,1946032,1988064,1791631,1648234,1521050,1493158,1574138,1658768,1684633,1985665,1835597,2043187,2062253,1648714,1434237,1102714,1329857,1564650,1844600,1794055,1625743,1295466,1316666,1333289,1135820,1164618,1166355,1183748,1365229,1601817
 "54000","West Virginia",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",99233,104528,111479,112428,120465,122427,118038,115556,114731,114830,109722,112975,121399,125974,132718,129095,133988,132684,120166,90291,97593,94939,105526,129819,118456,144473,141334,146979,105591,101155,136983,145666,187415,230310,351219,417208,469863,491059,544221,584238,644618,698952,743703,844179,918303,964396,1025304,909919,755500,662073,904695,1198556,1588477,1904360,2114381,2216049,2378803,2504364,2553209,2623819,2777281
 "54000","West Virginia",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",67191,73200,78765,82059,86168,88117,88191,89796,92896,95586,93448,97283,102140,109460,109232,104196,106927,99837,86837,54161,60361,53852,50979,56909,30393,28057,16376,7924,-6563,161,36607,51198,82253,121485,175726,247011,298874,310396,363028,371246,430375,485077,526642,648869,710691,759108,807912,687270,528399,402675,571308,857736,1157092,1328917,1535227,1616101,1618239,1716799,1867632,1818864,1910008
 "54000","West Virginia",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",32042,31328,32714,30369,34297,34310,29847,25760,21835,19244,16274,15692,19259,16514,23486,24899,27061,32847,33329,36130,37232,41087,54547,72910,88063,116416,124958,139055,112154,100994,100376,94468,105162,108825,175493,170197,170989,180663,181193,212992,214243,213875,217061,195310,207612,205288,217392,222649,227101,259398,333387,340820,431385,575443,579154,599948,760564,787565,685577,804955,867273
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
