GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",116445,122989,125391,136801,146735,150944,157702,167779,172964,180864,179469,214872,246291,278932,301412,355386,420456,471972,523706,595216,697814,806071,1004884,1255529,1449021,1496082,1630580,1707595,1693966,1678878,1739795,1936247,2075191,2163670,2241843,2303073,2488336,2736049,2922892,3169872,3569845,3828495,4219132,4250768,4064286,4381218,5005548,5867817,7251049,7552591,7699922,6045281,6279800,7563628,9296474,8623042,9621877,9939167,9589915,9826896,10694561
 "56000","Wyoming",7,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",15232,17897,18880,23758,26081,25988,25641,31889,34399,34555,29964,35098,36614,39053,43272,51015,59673,67469,79976,91965,108288,126285,140440,161480,180805,167726,175855,184927,196257,211685,245975,315738,351433,392158,422548,455717,541340,589513,701155,847317,999637,1122546,1253557,1175803,1162724,1325224,1986394,2211968,3099637,3089284,2833022,1650014,1801759,2673697,3741611,3008201,3568995,3500075,3418136,3399510,3700730
 "56000","Wyoming",7,SAINC40,92,"..."," Personal interest income","Thousands of dollars",65426,67083,67148,73111,79598,85624,93397,97656,100604,109128,113448,135255,161726,183378,205196,244414,293172,344303,386625,453221,530625,619297,794644,998041,1170364,1218987,1355187,1407760,1422976,1400454,1419546,1548790,1638023,1649632,1683456,1679158,1754635,1918220,1958550,2060948,2284538,2400509,2627988,2646745,2491915,2612446,2512804,3131818,3706542,4044407,4261955,3726746,3617720,3836583,4416617,4400755,4704562,5018525,4845349,5047015,5534303
 "56000","Wyoming",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",28672,30803,34068,37290,40151,42861,48290,49741,50468,54570,57753,66923,81848,94709,107592,125100,146405,181969,204047,234696,276587,299855,371216,436288,514051,624627,654609,720144,762777,779175,783982,811016,839985,893640,944552,1003115,1051942,1155513,1185371,1289795,1347154,1443269,1587485,1562427,1545927,1618110,1719663,1903961,2162284,2364362,2458430,2368143,2357129,2432261,2653439,2724570,2919825,3078739,2963833,2868268,2980586
 "56000","Wyoming",7,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",36754,36280,33080,35821,39447,42763,45107,47915,50136,54558,55695,68332,79878,88669,97604,119314,146767,162334,182578,218525,254038,319442,423428,561753,656313,594360,700578,687616,660199,621279,635564,737774,798038,755992,738904,676043,702693,762707,773179,771153,937384,957240,1040503,1084318,945988,994336,793141,1227857,1544258,1680045,1803525,1358603,1260591,1404322,1763178,1676185,1784737,1939786,1881516,2178747,2553717
 "56000","Wyoming",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",35787,38009,39363,39932,41056,39332,38664,38234,37961,37181,36057,44519,47951,56501,52944,59957,67611,60200,57105,50030,58901,60489,69800,96008,97852,109369,99538,114908,74733,66739,74274,71719,85735,121880,135839,168198,192361,228316,263187,261607,285670,305440,337587,428220,409647,443548,506350,524031,444870,418900,604945,668521,860321,1053348,1138246,1214086,1348320,1420567,1326430,1380371,1459528
 "56000","Wyoming",7,SAINC40,96,"...","  Imputed rent","Thousands of dollars",15085,16705,18209,18793,19343,19638,19512,19746,20267,20527,20088,28692,31489,33298,34251,32963,33995,32307,28795,20806,24257,21791,20349,22601,13812,13228,9458,6064,856,2464,12642,16969,25226,37430,54227,80829,103062,111217,130821,133478,154559,174217,195029,238443,261035,276777,305793,266297,215186,176064,244144,383268,477423,585425,695651,705133,721346,817320,872404,858885,905113
 "56000","Wyoming",7,SAINC40,97,"...","  Monetary rent","Thousands of dollars",20702,21304,21154,21139,21713,19694,19152,18488,17694,16654,15969,15827,16462,23203,18693,26994,33616,27893,28310,29224,34644,38698,49451,73407,84040,96141,90080,108844,73877,64275,61632,54750,60509,84450,81612,87369,89299,117099,132366,128129,131111,131223,142558,189777,148612,166771,200557,257734,229684,242836,360801,285253,382898,467923,442595,508953,626974,603247,454026,521486,554415
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
