GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",4126,4890,4658,5155,5642,6708,9681,10442,11876,11911,12249,12098,14556,18077,24067,25348,25264,28290,29201,30384,28808,26698,26639,25735,29998,37925,37315,42799,48026,47818,49536,54055,51971,50318,31915,32810,34628,32949,33385,31080,31291,31826,32517,33026,31444,35859,35583,37000,38176,39499
 "02000","Alaska",8,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",3200,3381,3118,3252,3083,3827,4138,4665,4893,4805,4452,4505,5534,6828,7733,7303,8221,10465,10822,10096,9023,7467,6447,6036,14066,21246,18844,25424,29151,27874,28309,33240,29541,28336,7633,8016,8547,8418,7270,6109,6543,7465,7720,7709,5672,6958,7352,8206,8400,10076
 "02000","Alaska",8,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",997,1024,837,742,771,902,994,1358,1467,1810,1555,1954,2374,3145,3300,3110,2786,2983,3283,4036,4356,4119,3780,3570,11668,18708,16443,22739,26259,25148,25638,30753,26761,24892,4419,5194,5977,6549,5446,4717,5195,5855,6171,6413,5012,6235,6670,7505,7850,9570
 "02000","Alaska",8,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",538,513,388,372,377,373,420,616,564,696,426,477,515,453,456,687,780,494,1057,1317,1475,992,622,640,661,121,1340,1828,2495,3307,1578,2064,1811,2406,1214,1793,2526,3090,2215,1962,2315,2826,3212,3680,1981,2800,3067,3527,3281,5359
 "02000","Alaska",8,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",104,114,124,103,97,100,105,139,286,425,391,398,493,916,1166,629,226,369,69,56,37,103,124,262,383,362,441,447,510,626,455,250,186,250,346,482,512,474,398,370,480,614,444,268,261,435,588,573,875,472
 "02000","Alaska",8,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",355,397,325,267,297,429,469,603,617,689,738,1079,1366,1776,1678,1794,1780,2120,2157,2663,2844,3024,3034,2668,10624,18225,14662,20464,23254,21215,23605,28439,24764,22236,2859,2919,2939,2985,2833,2385,2400,2415,2515,2465,2770,3000,3015,3405,3694,3739
 "02000","Alaska",8,SAINC45,40,"...","  Dairy products","Thousands of dollars",1862,1994,1838,1963,2112,2449,2700,2725,2814,2463,2160,2118,2465,2791,2900,2778,4214,6141,6791,5969,4549,3254,2582,2391,2318,2465,2323,2608,2892,2726,2671,2487,2780,3444,3214,2822,2570,1869,1824,1392,1348,1610,1549,1296,660,723,682,701,550,506
 "02000","Alaska",8,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",341,363,443,547,200,476,444,582,612,532,737,433,695,892,1533,1415,1221,1341,748,91,118,94,85,75,80,73,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",926,1509,1540,1903,2559,2881,5543,5777,6983,7106,7797,7593,9022,11249,16334,18045,17043,17825,18379,20288,19785,19231,20192,19699,15932,16679,18471,17375,18875,19944,21227,20815,22430,21982,24282,24794,26081,24531,26115,24971,24748,24361,24797,25317,25772,28901,28231,28794,29776,29423
 "02000","Alaska",8,SAINC45,70,"...","  Total grains","Thousands of dollars",34,37,34,69,338,106,256,238,400,404,517,902,908,1091,1138,1646,567,395,509,594,753,346,757,380,517,615,1044,694,607,385,567,338,736,605,517,539,763,529,652,448,641,832,967,1076,781,963,968,983,1228,1063
 "02000","Alaska",8,SAINC45,71,"...","   Corn","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,72,"...","   Oats","Thousands of dollars",9,10,10,15,40,19,31,21,36,40,21,16,39,94,79,237,10,22,67,63,107,50,114,18,98,105,161,72,146,84,108,13,134,115,70,69,118,55,118,25,45,86,170,187,74,119,114,120,144,46
 "02000","Alaska",8,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,74,"...","   Wheat","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,75,"...","   Soybeans","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,76,"...","   Other grains","Thousands of dollars",25,27,24,54,298,87,225,217,364,364,496,886,869,997,1059,1409,557,373,442,531,646,296,643,362,419,510,883,622,461,301,459,325,602,490,447,470,645,474,534,423,596,746,797,889,707,844,854,863,1084,1017
 "02000","Alaska",8,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",132,143,120,336,396,715,1794,1513,1391,1326,988,952,1876,1311,3960,2240,1860,1530,1705,2240,1275,1394,1715,1523,1869,2214,2376,1330,2831,2660,2457,1958,3150,2000,4268,4649,3960,3025,4698,3822,3760,3955,3731,4509,3767,4759,4255,4825,5033,5466
 "02000","Alaska",8,SAINC45,100,"...","  Vegetables","Thousands of dollars",198,244,303,244,261,361,367,426,418,511,633,588,2148,2073,2392,2536,2220,2328,2288,2988,3020,2686,2476,2573,3102,2926,3591,3043,4100,3405,4360,4390,4162,4760,4742,4536,6203,5762,5610,5593,5497,5288,5430,5331,5734,6262,6216,6210,6353,5697
 "02000","Alaska",8,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",1,26,26,25,25,25,25,16,17,20,25,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",112,500,500,500,500,500,1800,2600,3802,4004,4506,3920,4020,6528,8533,11540,12049,13150,13248,13845,14458,14570,15080,15060,10135,10638,11140,12087,11099,13212,13478,13750,14020,14220,14330,14630,14630,14730,14630,14585,14336,13791,14161,13902,14953,16331,16210,16195,16567,16579
 "02000","Alaska",8,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",13,87,50,60,70,90,90,70,50,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02000","Alaska",8,SAINC45,113,"...","  Tobacco","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
