GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000","California",8,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",4678231,4741040,5013248,5667532,7382244,8680036,8555996,9132335,9357065,10702548,13023319,14147899,13859300,14305961,13470727,14751598,14349298,14950410,16165409,16816175,18502110,19834496,18422604,19457446,21365619,22159910,22912150,23957487,26092722,24363842,25168993,25863551,26580845,26949090,28616618,31703939,32826911,32021333,36974722,37884249,35572786,38833516,43720745,47386798,51620930,57143933,49311977,47274984,49615266,49438508
 "06000","California",8,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",1972308,1996216,2032596,2226226,2702494,2881494,2871130,2971970,2971239,3380551,4285859,4187771,4358555,4605295,4421103,4749893,4548642,4654997,4650328,4967258,5609737,5902626,5697262,5548350,5757026,5834123,5661922,6321210,6542164,6758339,6943363,6581004,7765474,6686362,7493139,9171909,9041340,8167507,11406055,11120386,8268232,10197764,12680104,12617129,13234727,15872719,12285231,10849742,11581492,12189035
 "06000","California",8,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",1113659,1089235,1133639,1257978,1436522,1437684,1282246,1247167,1160265,1496080,2100873,1610201,1538715,1849726,1671958,1834792,1613822,1690462,1699857,2035074,2134398,2311541,2294445,2065319,2218522,1943407,1648935,1514811,1841290,1571157,1826484,1898269,2104173,1983378,2441253,2570804,2667376,2567184,2722873,2817962,2576566,2958626,3651756,4209228,4008556,4834739,4287806,3506330,3605834,4182259
 "06000","California",8,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",1045710,1024325,1070768,1184623,1336223,1338945,1170859,1142621,1044188,1355067,1938947,1465505,1399886,1689692,1528993,1680142,1473093,1534248,1552419,1890144,1986816,2134806,2109413,1871803,1958177,1713747,1396080,1222571,1485052,1274297,1493000,1538509,1756551,1636810,2041885,2233848,2332348,2247389,2360372,2376762,2063860,2451853,3126792,3615055,3461942,4239207,3675828,2926631,3039651,3640006
 "06000","California",8,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",12931,12491,10454,15022,18954,13296,20452,19684,16133,24602,30858,29562,32374,32280,32026,30649,25580,32551,38502,31158,26473,50356,59690,55279,66165,55867,43365,48936,53775,32228,35122,43581,33397,29706,36091,52996,47681,41518,42613,40674,31703,44028,46173,44419,45740,43613,32828,26903,28631,31386
 "06000","California",8,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",55018,52419,52417,58333,81345,85443,90935,84862,99944,116411,131068,115134,106455,127754,110939,124001,115149,123663,108936,113772,121109,126379,125342,138237,194180,173793,209490,243304,302463,264632,298362,316179,314225,316862,363277,283960,287347,278277,319888,400526,481003,462745,478791,549754,500874,551919,579150,552796,537552,510867
 "06000","California",8,SAINC45,40,"...","  Dairy products","Thousands of dollars",477054,534049,560922,608080,692976,894346,997202,1089142,1182467,1228983,1453330,1770324,1943229,1941197,1945068,1988137,2078281,2058238,2083001,2072368,2439057,2555641,2439429,2609667,2663516,3016105,3080084,3714624,3629762,4138857,4088935,3704035,4625431,3832501,4027837,5365992,5223062,4492229,7336603,6924121,4537171,5928150,7680751,6899743,7617641,9358087,6293210,6065550,6561720,6372437
 "06000","California",8,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",381595,372932,338035,360168,572996,549464,591682,635661,628507,655488,731656,807246,876611,814372,804077,926964,856539,906297,867470,859816,1036282,1035444,963388,873364,874988,874611,932903,1091775,1071112,1048325,1027944,978700,1035870,870483,1024049,1235113,1150902,1108094,1346579,1378303,1154495,1310988,1347597,1508158,1608530,1679893,1704215,1277862,1413938,1634339
 "06000","California",8,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",2705923,2744824,2980652,3441306,4679750,5798542,5684866,6160365,6385826,7321997,8737460,9960128,9500745,9700666,9049624,10001705,9800656,10295413,11515081,11848917,12892373,13931870,12725342,13909096,15608593,16325787,17250228,17636277,19550558,17605503,18225630,19282547,18815371,20262728,21123479,22532030,23785571,23853826,25568667,26763863,27304554,28635752,31040641,34769669,38386203,41271214,37026746,36425242,38033774,37249473
 "06000","California",8,SAINC45,70,"...","  Total grains","Thousands of dollars",231080,270065,241906,286097,482366,691915,642687,696124,434995,558307,742303,939924,954141,778047,545715,768243,663180,397554,542664,593143,635416,561942,482645,574735,551341,698698,679056,848247,710213,704131,588663,473967,510451,502398,568853,615213,575386,613441,800643,1434649,1656942,1413525,1523967,1441177,1453763,1556330,1066788,994874,964363,991889
 "06000","California",8,SAINC45,71,"...","   Corn","Thousands of dollars",24598,27605,30363,35559,55483,91279,67626,85466,65116,58079,96667,70221,67786,58983,107772,140548,107714,69795,54204,70796,65414,61809,48013,43679,59169,64950,67846,96062,101892,85396,61476,59468,56598,57893,51009,53325,41582,37834,80640,135083,143880,149409,163390,189042,179619,136299,58574,59492,72498,52570
 "06000","California",8,SAINC45,72,"...","   Oats","Thousands of dollars",2420,2836,3907,5566,5810,5682,6425,5791,6011,4829,7880,9165,5669,4900,2553,8259,4934,3855,4281,6881,5018,4211,5359,3735,3312,3111,2722,3925,3475,2181,1847,1732,1383,4068,3449,2282,523,470,2647,9151,8961,7302,4814,3676,1971,1636,1435,2117,1999,1448
 "06000","California",8,SAINC45,73,"...","   Sorghum","Thousands of dollars",26364,29223,21270,28961,43128,58622,37121,33732,19068,19907,28329,44069,13802,9379,11984,12670,5880,3733,2675,2789,1821,1642,0,0,0,0,0,0,0,0,0,659,1459,1899,2314,2423,2430,3022,3887,2727,1917,0,0,0,0,0,0,0,0,0
 "06000","California",8,SAINC45,74,"...","   Wheat","Thousands of dollars",28200,40655,37708,46054,90929,126153,176948,172867,94858,170858,227080,292143,332331,245701,98446,197314,196997,164911,130307,185396,184876,150441,106811,174148,116226,159499,147640,238450,169254,105628,105163,80061,87458,130096,108157,148499,83281,116306,161311,304669,248204,191400,311365,296877,271561,149408,120528,88808,72979,68167
 "06000","California",8,SAINC45,75,"...","   Soybeans","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06000","California",8,SAINC45,76,"...","   Other grains","Thousands of dollars",149498,169746,148658,169957,287016,410179,354567,398268,249942,304634,382347,524326,534553,459084,324960,409452,347655,155260,351197,327281,378287,343839,322462,353173,372634,471138,460848,509810,435592,510926,420177,332047,363553,308442,403924,408684,447570,455809,552158,983019,1253980,1065414,1044398,951582,1000612,1268987,886251,844457,816887,869704
 "06000","California",8,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",141661,157257,181287,216313,261782,380050,338079,398975,342914,306167,443286,552788,432352,569315,566837,495994,584508,465482,546738,591334,700664,718067,541693,574811,646908,779662,650016,746981,893932,648699,687545,666635,758015,735029,693766,773594,843483,812614,936278,1369583,736736,783539,1344291,1276243,1169088,1343434,957860,796483,769710,769826
 "06000","California",8,SAINC45,100,"...","  Vegetables","Thousands of dollars",808504,787456,890169,1034177,1200194,1507953,1614256,1530388,1800096,2049460,2145299,2445250,2714940,2629465,2874914,3027081,2807471,3095825,3470809,3277612,3660713,3683640,3537794,3968018,5050877,5390310,5898029,5638380,5893248,5640279,6125173,6519090,6093137,6732709,7003812,6621874,6369507,7029203,7354648,6560111,7177572,6694850,6705617,6528491,7777106,8186505,9071584,7785703,8147155,7305636
 "06000","California",8,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",909015,890095,1008998,1088805,1644038,1611917,1622852,1745837,2189318,2554929,3150674,3252050,3181508,3416475,2717639,3246092,3343667,3660887,4117698,4573321,4712477,5135240,4853163,5307617,5770047,5687673,5930221,6530318,7697679,6588430,6790696,7051385,7052488,7710002,7945315,9505230,10904790,10280120,11081509,11280173,12246760,13913684,15214393,18755871,21087026,23114495,19125525,20136042,21229880,21098496
 "06000","California",8,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",211025,236759,252134,298596,373160,432697,491046,575538,622967,715817,850905,979935,1007068,1033207,1113611,1346442,1403556,1442695,1570602,1665760,1869150,2212386,1993946,2036971,2054174,2140692,2314834,2442612,2743399,2741885,2987322,3289100,3346804,3491779,3632014,3757551,3890334,4072305,3981263,4614343,4273376,4472788,4552971,4997559,5106337,5228670,5350003,5304609,5393459,5397490
 "06000","California",8,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",6242,6741,6429,9051,13108,13982,10611,14000,15605,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "06000","California",8,SAINC45,113,"...","  Tobacco","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06000","California",8,SAINC45,114,"...","  Cotton","Thousands of dollars",193895,174378,188326,281040,427482,674994,525587,847267,671927,840891,1016200,1250499,936071,1039504,1055483,922248,786634,1001655,1007537,902224,1055267,1323537,872921,985605,1215864,1225415,1390226,1028875,1158885,837442,549203,867880,641950,586151,805053,751920,766746,593198,661542,632516,405151,511644,838518,825381,827368,853134,443398,404527,509403,627541
 "06000","California",8,SAINC45,115,"...","  Other crops","Thousands of dollars",204501,222073,211403,227227,277620,485034,439748,352236,308004,296426,388793,539682,274665,234653,175425,195605,211640,231315,259033,245523,258686,297058,443180,461339,319382,403337,387846,400864,453202,444637,497028,414490,412526,504660,474666,506648,435325,452945,752784,872488,808017,845722,860884,944947,965515,988646,1011588,1003004,1019804,1058595
 "06000","California",8,SAINC45,120,"...","Other income","Thousands of dollars",188533,196608,186786,199082,207409,141045,174509,185900,231353,212944,207304,158230,166757,498600,679026,653683,694801,726712,806805,753056,846715,760053,819282,920229,1104350,799833,759198,979965,951643,1130414,1561616,1474457,1819693,1412884,1705774,1684024,1882224,2048300,1641866,2695269,2065260,1817927,2201083,2992353,2499975,2564448,2740195,2344723,2769977,2038272
 "06000","California",8,SAINC45,130,"..."," Government payments","Thousands of dollars",123206,131937,113010,122443,105507,18285,15831,12983,75157,56760,61328,14109,23368,134501,352606,335259,301517,387861,462011,335078,372090,252333,260825,430382,522146,272678,239809,300748,220475,357340,668501,688967,882216,645973,735305,478375,703629,530177,478229,435144,568080,363654,259063,287532,248711,246649,235434,240813,178679,275474
 "06000","California",8,SAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",65327,64671,73776,76639,101902,122760,158678,172917,156196,156184,145976,144121,143389,364099,326420,318424,393284,338851,344794,417978,474625,507720,558457,489847,582204,527155,519389,679217,731168,773074,893115,785490,937477,766911,970469,1205649,1178595,1518123,1163637,2260125,1497180,1454273,1942020,2704821,2251264,2317799,2504761,2103910,2591298,1762798
 "06000","California",8,SAINC45,150,"...","Production expenses","Thousands of dollars",3734598,3876102,4212306,4328243,5183082,6122024,6473055,7061186,7366595,8269100,9772698,10571433,11263826,11900601,11794509,12339952,11859134,11261592,11492140,12400184,13827173,14923723,15461485,15414891,16730356,17325118,19046615,19559653,21362910,20736854,22385588,22774694,24252812,23181364,22914581,23544285,25840194,27429921,28116195,32397766,29669441,31044583,32037922,34555733,37335089,39829033,35926781,35721147,38845248,39236573
