GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13000","Georgia",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",1216856,1273815,1320172,1449314,2095207,2189689,2245523,2373052,2289548,2682227,3016832,2804297,3363931,3301339,3295455,3719413,3293738,3357345,3271948,3692785,4036897,3998785,4069206,4220245,4335452,4836355,5233976,5645591,5842749,5490231,5305715,5291556,5452584,4596431,5464996,6491892,6667998,6156297,7358670,7753413,7329871,7918010,8296589,9336227,10298432,10304630,9460558,8695067,9124569,9184763
 "13000","Georgia",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",818340,782984,768054,855094,1296054,1132612,1225463,1276127,1325551,1575532,1744877,1665891,1873132,1795279,1822630,1950197,1826621,1991144,1936703,2138001,2382290,2400426,2319991,2432733,2702940,2852201,2912996,3342216,3504198,3507852,3446345,3243612,3679667,3015438,3448696,4377363,4490488,4101878,4925689,5261298,4679799,4863894,5093716,5536841,6385023,7032527,6409640,5573424,6072613,6245789
 "13000","Georgia",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",293727,292530,306351,371320,528456,379130,410118,413060,454113,573660,652271,545331,648530,642437,624660,547558,554633,554097,646625,617489,605353,673307,668987,619538,652582,628009,579259,510370,611564,467257,505078,616428,618279,494580,684249,856959,981468,955501,977258,963727,849918,830776,857650,862629,818655,1069237,980351,742901,749849,712369
 "13000","Georgia",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",154774,156761,180323,222875,291793,125738,157857,196402,242673,310632,360532,229920,274806,294318,305481,242676,275356,263523,350741,353220,324242,330819,351307,360278,384761,391395,361458,288534,415198,347036,369295,437427,459898,366545,514401,628299,737539,731601,762332,705950,615891,606243,630981,637877,607733,856953,778462,535629,565994,531211
 "13000","Georgia",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",136740,133595,123656,144325,229962,247489,245480,210264,204020,255288,284719,305181,352127,316454,284030,268848,244342,252265,264434,233646,248986,306624,284891,223842,231943,197303,182079,176782,160578,85795,98579,136268,115896,79892,108989,157672,175505,155660,147320,148930,116736,111957,119140,115867,99691,98739,94271,97587,63892,62267
 "13000","Georgia",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",2213,2174,2372,4120,6701,5903,6781,6394,7420,7740,7020,10230,21597,31665,35149,36034,34935,38309,31450,30623,32125,35864,32789,35418,35878,39311,35722,45054,35788,34426,37204,42733,42485,48143,60859,70988,68424,68240,67606,108847,117291,112576,107529,108885,111231,113545,107618,109685,119963,118891
 "13000","Georgia",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",73864,80206,80674,86842,96001,116508,115441,135196,134272,146512,171170,188440,202272,200880,200100,183960,181890,174445,163300,175890,196300,227379,199073,229860,227980,239673,223476,243191,220360,236550,229600,183180,225780,192720,192022,235536,221760,201024,281561,280687,202648,254656,317020,302878,336960,444312,356600,318850,348080,300618
 "13000","Georgia",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",450749,410248,381029,396932,671597,636974,699904,727871,737166,855360,921436,932120,1022330,951962,997870,1218679,1090098,1262602,1126778,1344622,1580637,1499740,1451931,1583335,1822378,1984519,2110261,2588655,2672274,2804045,2711667,2444004,2835608,2328138,2572425,3284868,3287260,2945353,3666870,4016884,3627233,3778462,3919046,4371334,5229408,5518978,5072689,4511673,4974684,5232802
 "13000","Georgia",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",398516,490831,552118,594220,799153,1057077,1020060,1096925,963997,1106695,1271955,1138406,1490799,1506060,1472825,1769216,1467117,1366201,1335245,1554784,1654607,1598359,1749215,1787512,1632512,1984154,2320980,2303375,2338551,1982379,1859370,2047944,1772917,1580993,2016300,2114529,2177510,2054419,2432981,2492115,2650072,3054116,3202873,3799386,3913409,3272103,3050918,3121643,3051956,2938974
 "13000","Georgia",5,SAINC45,70,"...","  Total grains","Thousands of dollars",179202,230310,279100,294510,410536,630594,594854,652328,505521,655130,856244,654621,496267,553936,489255,521655,374055,262882,202738,318703,332727,247921,215711,249910,219197,240135,208711,316733,227374,127487,97657,98949,95480,105645,144227,160469,103571,98372,286257,399591,417652,359297,350097,542276,650085,550054,348666,333197,267635,268897
 "13000","Georgia",5,SAINC45,71,"...","   Corn","Thousands of dollars",35140,45086,45753,56593,86848,182163,133102,167905,88168,68826,173665,111998,109467,86401,76556,141483,115638,104153,75568,90274,96427,93580,93122,111043,93769,99509,97952,157966,114816,61968,56185,46867,44100,58037,67478,80646,48906,49616,159457,192475,189422,206273,227575,355870,386036,331077,194561,195006,184936,193672
 "13000","Georgia",5,SAINC45,72,"...","   Oats","Thousands of dollars",776,1167,1932,864,2443,1701,1992,2244,1931,3717,2661,2205,4234,4560,3430,2933,1239,589,884,3478,4499,1876,1100,2792,1998,2739,1024,2043,1707,1043,940,2373,2355,2206,2402,1718,829,1647,2885,2368,1252,787,1011,1778,1987,3256,2259,1246,1297,1596
 "13000","Georgia",5,SAINC45,73,"...","   Sorghum","Thousands of dollars",239,300,758,516,788,955,1044,1114,430,656,1269,1869,2283,3064,3456,5136,4840,3402,2661,2547,2273,1741,1710,2513,3159,3668,1886,1549,2043,1269,1063,1754,2093,2641,3492,2574,2072,3003,6195,5490,7079,6832,3885,9473,11032,7349,5349,4307,2346,3069
 "13000","Georgia",5,SAINC45,74,"...","   Wheat","Thousands of dollars",1792,3503,5982,2773,5021,8772,7403,7752,7214,7054,19936,59824,138478,135192,84432,94994,66713,43248,33338,61948,79591,60148,40147,43384,39734,52667,40801,80003,51182,28179,23146,24434,28052,23058,33068,29716,22362,21700,46461,100423,64582,26277,64510,88763,116171,82723,32089,22097,14366,15898
 "13000","Georgia",5,SAINC45,75,"...","   Soybeans","Thousands of dollars",27617,35381,48011,34842,98047,133457,112265,163087,94684,211136,296363,216575,238199,322504,319097,274752,182631,108896,88277,158248,147943,87120,75318,86551,77030,74592,61742,70688,52210,31233,13125,20228,16438,17684,35033,44139,27400,20833,68661,94545,151554,115061,47833,80994,127296,120123,111422,107424,62118,52410
 "13000","Georgia",5,SAINC45,76,"...","   Other grains","Thousands of dollars",113638,144873,176664,198922,217389,303546,339048,310226,313094,363741,362350,262150,3606,2215,2284,2357,2994,2594,2010,2208,1994,3456,4314,3627,3507,6960,5306,4484,5416,3795,3198,3293,2442,2019,2754,1676,2002,1573,2598,4290,3763,4067,5283,5398,7563,5526,2986,3117,2572,2252
 "13000","Georgia",5,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",3990,5084,4491,5744,6033,6058,7981,8509,8439,6716,8911,9543,13531,14877,15912,17219,18365,21707,24887,34656,40122,31505,30878,31153,25707,37240,31575,37101,47782,47706,47894,38614,39908,36211,37313,38683,53248,56228,58556,41618,39921,33080,25971,33527,43265,47985,39188,39133,53171,56538
 "13000","Georgia",5,SAINC45,100,"...","  Vegetables","Thousands of dollars",37384,38856,43660,53933,62262,79202,78242,87433,91698,88570,98928,123131,136623,135385,138564,134517,133358,160637,163632,163228,180778,227383,249131,267081,276254,355363,450741,349841,429422,384705,421105,443438,415406,403793,460130,444675,532346,559000,557631,472381,540610,464551,471792,447315,480408,425812,493236,439831,478087,428705
 "13000","Georgia",5,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",40454,39134,41248,39396,58468,38510,56129,60143,69365,98672,61337,103246,85968,95963,90219,96872,86649,113451,92498,106400,88033,121173,146268,91002,128559,101975,126108,69942,133037,83963,153570,164666,126254,103963,126838,146211,173073,169662,208317,210236,216725,276800,393400,313466,299776,336716,347230,402899,347781,224526
 "13000","Georgia",5,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",11015,11500,12443,13476,15417,16712,18116,31720,33693,40450,43700,45800,91496,107800,120002,147274,153801,157240,173820,190849,201062,183619,193294,203846,148221,176667,194214,200539,221599,231556,253484,267381,259118,268136,288843,330022,378739,399685,314591,405947,471547,420589,449113,538890,569912,348850,488829,488242,498471,498844
 "13000","Georgia",5,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",22972,24810,23661,35159,38241,51457,39052,55822,57450,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
