GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",2964488,3017773,2781821,3482163,5120068,5905035,5357148,6292403,5793155,6790943,7213669,8108232,7566840,7205695,7530336,7046381,6469941,6852829,6842254,7994214,7571788,8033189,7917180,7440229,8615980,7768183,9073572,8571099,8949723,8124374,6893102,7477710,7669167,7990832,8854835,9622020,9342739,9510672,13267518,15561257,15378761,16473571,19343330,21356261,17538764,20185498,16162687,16678578,16371728,17183530
 "17000","Illinois",3,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",1469317,1439549,1292949,1606393,2064543,1921688,2039567,2040745,2052198,2357027,2623672,2537761,2416920,2566965,2490021,2370664,2247283,2371044,2489597,2576822,2483973,2702306,2564296,2395571,2551622,2255797,2058956,2188962,2058777,1718039,1658578,1907764,2135793,1828674,2150433,2378327,2391317,2245563,2556642,2520871,2198950,2681477,3053197,3029133,3256759,3817469,3032236,2748762,3048519,2766692
 "17000","Illinois",3,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",1261149,1229085,1090095,1399962,1812032,1654213,1768955,1742724,1747198,2044107,2272722,2152165,1994828,2154197,2075695,1977631,1868989,1994738,2105318,2189449,2048787,2290760,2181587,2001463,2164877,1855479,1678478,1768891,1681145,1325941,1294920,1581658,1767707,1521004,1819885,1983396,2020825,1879697,2045760,2027808,1861449,2269586,2564535,2547313,2761197,3210555,2487523,2329726,2584716,2288960
 "17000","Illinois",3,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",556462,549870,496589,629166,683260,606690,529498,641707,680600,782264,1035533,982724,713677,731836,817829,759249,746186,838718,887502,1004226,907199,902805,828325,802633,879707,783923,670610,585284,542457,531112,560751,623332,633554,615957,753662,656006,745224,770441,919605,742190,615890,730885,766467,701336,757835,1020002,869559,785903,947613,752901
 "17000","Illinois",3,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",687420,663133,578914,757342,1112597,1032041,1223496,1084722,1049870,1244203,1222023,1151190,1265500,1407108,1246363,1203685,1110442,1127722,1186735,1155953,1111281,1361872,1329191,1172612,1260001,1046237,983633,1155767,1109012,766368,707109,931709,1107629,879397,1041485,1301298,1245687,1078657,1096225,1251550,1205163,1501488,1752457,1799097,1955386,2143963,1575796,1503502,1598981,1500504
 "17000","Illinois",3,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",17267,16082,14592,13454,16175,15482,15961,16295,16728,17640,15166,18251,15651,15253,11503,14697,12361,28298,31081,29270,30307,26083,24071,26218,25169,25319,24235,27840,29676,28461,27060,26617,26524,25650,24738,26092,29914,30599,29930,34068,40396,37213,45611,46880,47976,46590,42168,40321,38122,35555
 "17000","Illinois",3,SAINC45,40,"...","  Dairy products","Thousands of dollars",153635,152979,154342,162117,179103,197128,199106,228473,234214,246379,280692,323849,354522,353160,361125,337770,340106,338750,345744,332938,355640,325725,307196,331569,312984,321860,304000,332400,296616,317100,295911,255102,300600,242284,246235,308819,296096,278052,375285,362796,246050,312588,378420,360064,376326,453986,333114,315400,350811,307890
 "17000","Illinois",3,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",54533,57485,48512,44314,73408,70347,71506,69548,70786,66541,70258,61747,67570,59608,53201,55263,38188,37556,38535,54435,79546,85821,75513,62539,73761,78458,76478,87671,81016,74998,67747,71004,67486,65386,84313,86112,74396,87814,135597,130267,91451,99303,110242,121756,119236,152928,211599,103636,112992,169842
 "17000","Illinois",3,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",1495171,1578224,1488872,1875770,3055525,3983347,3317581,4251658,3740957,4433916,4589997,5570471,5149920,4638730,5040315,4675717,4222658,4481785,4352657,5417392,5087815,5330883,5352884,5044658,6064358,5512386,7014616,6382137,6890946,6406335,5234524,5569946,5533374,6162158,6704402,7243693,6951422,7265109,10710876,13040386,13179811,13792094,16290133,18327128,14282005,16368029,13130451,13929816,13323209,14416838
 "17000","Illinois",3,SAINC45,70,"...","  Total grains","Thousands of dollars",1403702,1481659,1382822,1764958,2928399,3841334,3146538,4080594,3560159,4246311,4395438,5375493,4959124,4441402,4863093,4508344,4057264,4196831,4054768,5096716,4720433,4967511,4945413,4591409,5633683,5068150,6590087,5948521,6414142,5970499,4797489,5102084,5047647,5682948,6169225,6545554,6278051,6662973,10042709,12366440,12494285,13096831,15580708,17634596,13603275,15674615,12519275,13257082,12686592,13793269
