GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22000","Louisiana",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",651915,700237,725193,834599,1172489,1351583,1162122,1375584,1282376,1493484,1712174,1642121,1672033,1690911,1781394,1680453,1432742,1383723,1611976,1802266,1873920,1894714,1570506,1946120,1946221,2120735,2119668,2360284,2250486,1932004,1810949,1870882,1837307,1781157,2115500,2310112,2244337,2275576,2825680,2902043,2848135,3224540,3444406,4035680,3989635,3980519,3418734,2899417,3165982,3166771
 "22000","Louisiana",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",284067,303132,294411,353084,441700,365454,342280,436625,439540,476644,574771,514019,491023,551913,541071,516378,542084,567350,554556,643206,645361,662614,653985,646197,761022,752725,685718,725832,687454,684793,678218,713200,786463,703845,763664,956100,989957,990114,972567,1100315,993090,1104038,1176124,1178829,1223510,1406504,1373102,1100024,1153045,1190503
 "22000","Louisiana",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",160710,180637,170165,223890,277121,188410,154254,230908,234369,247019,309890,231888,197036,259484,246006,207132,264785,272968,280973,342611,295732,317494,330254,275927,330647,290662,257382,248265,273114,283722,287416,336714,349840,323319,346333,387187,422521,485054,399633,528567,493781,559578,619729,627144,568688,710605,747442,574338,549598,564957
 "22000","Louisiana",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",148677,169201,160336,208637,258794,172711,132657,209998,217136,228981,293082,203630,175781,218985,204355,166987,203813,198160,222809,291631,228795,235435,255872,196017,250140,206384,168331,139738,187377,205733,207970,253128,236476,211173,235722,277617,301520,275579,270803,254262,235915,239806,288552,334137,310929,430841,452590,275288,273981,287489
 "22000","Louisiana",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",10636,10059,8397,13614,16361,13513,19490,18325,14536,15506,14056,14117,17313,19203,19247,16715,8194,8666,7941,7772,9314,10481,8040,8518,8986,8439,9853,12891,9370,5912,3068,3892,4644,2556,2886,3983,3398,2606,2371,2275,1312,1782,3488,970,1164,1415,994,804,1023,1078
 "22000","Louisiana",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",1397,1377,1432,1639,1966,2186,2107,2585,2697,2532,2752,14141,3942,21296,22404,23430,52778,66142,50223,43208,57623,71578,66342,71392,71521,75839,79198,95636,76367,72077,76378,79694,108720,109590,107725,105587,117603,206869,126459,272030,256554,317990,327689,292037,256595,278349,293858,298246,274594,276390
 "22000","Louisiana",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",69583,73475,76774,78952,85854,102843,106388,117308,114527,120331,132643,140559,146305,141445,137334,127002,126164,121380,123840,126490,135780,141680,121695,135360,128800,128310,122820,133326,111397,119556,113937,95354,99200,73840,66040,77220,66568,55584,68680,64377,37630,41400,49713,42728,44238,52400,35150,27889,29546,25628
 "22000","Louisiana",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",53774,49020,47472,50242,78725,74201,81638,88409,90644,109294,132238,141572,147682,150984,157731,182244,151135,173002,149743,174105,213849,203440,202036,234910,301575,333753,305516,344241,302943,281515,276865,281132,337423,306686,351291,491693,500868,449476,504254,507371,461679,503060,506682,508957,610584,643499,590510,497797,573901,599918
 "22000","Louisiana",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",367848,397105,430782,481515,730789,986129,819842,938959,842836,1016840,1137403,1128102,1181010,1138998,1240323,1164075,890658,816373,1057420,1159060,1228559,1232100,916521,1299923,1185199,1368010,1433950,1634452,1563032,1247211,1132731,1157682,1050844,1077312,1351836,1354012,1254380,1285462,1853113,1801728,1855045,2120502,2268282,2856851,2766125,2574015,2045632,1799393,2012937,1976268
 "22000","Louisiana",5,SAINC45,70,"...","  Total grains","Thousands of dollars",211878,223934,226489,261877,467933,557832,450075,586540,505656,663540,775631,743164,734542,668526,725054,629039,551192,392048,441592,605405,464913,533382,399071,510154,459875,444709,492775,745549,700422,512176,446817,402038,375356,432809,515668,627412,494452,507959,877688,1120366,1187154,1235530,1271511,1851395,1905055,1816857,1358556,1228687,1300533,1245308
 "22000","Louisiana",5,SAINC45,71,"...","   Corn","Thousands of dollars",2202,2347,1478,1920,2246,2486,2200,3283,1995,1437,1790,636,1152,1003,813,14480,33635,47207,30826,25937,25478,37372,42446,61237,46836,68196,67025,184637,131697,88139,71298,73924,84853,141790,150676,139158,87924,85505,321045,357307,310946,331752,381846,558063,570352,467645,273006,296373,317977,312824
 "22000","Louisiana",5,SAINC45,72,"...","   Oats","Thousands of dollars",131,151,270,161,152,174,130,243,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "22000","Louisiana",5,SAINC45,73,"...","   Sorghum","Thousands of dollars",1876,2000,2103,1349,1265,1135,1166,1136,918,412,854,783,4069,10032,23919,35302,44635,36564,27885,12550,13030,15947,21168,26689,19731,16301,17511,26133,17650,12709,23491,31951,33394,33254,30575,16615,12847,22763,67814,47684,35273,29518,51262,85714,59133,39596,30052,17034,4831,1929
 "22000","Louisiana",5,SAINC45,74,"...","   Wheat","Thousands of dollars",709,971,916,857,919,1403,829,2488,2864,1128,2488,5464,36611,52432,25489,42314,23640,19153,13592,34421,42305,38960,11701,19479,8204,8187,11107,27334,16072,11265,11860,23306,22636,26729,19902,29204,15849,21414,57883,95431,62746,30409,81806,102032,93916,71622,52857,38966,31816,32770
 "22000","Louisiana",5,SAINC45,75,"...","   Soybeans","Thousands of dollars",106294,112697,123734,124446,188085,307841,234439,381857,331651,477450,591779,522093,411215,409919,529445,385318,269112,181341,257484,400843,241036,262959,168698,210611,201558,165575,185385,227617,260867,156433,115746,105756,89132,115202,158275,192249,167875,167296,196658,260845,379734,457759,381634,735475,763514,795234,623612,574853,639694,567636
 "22000","Louisiana",5,SAINC45,76,"...","   Other grains","Thousands of dollars",100666,105768,97988,133144,275266,244793,211311,197533,168047,183113,178720,214188,281495,195140,145388,151625,180170,107783,111805,131654,143064,178144,155058,192138,183546,186450,211747,279828,274136,243630,224422,167101,145341,115834,156240,250186,209957,210981,234288,359099,398455,386092,374963,370111,418140,442760,379029,301461,306215,330149
 "22000","Louisiana",5,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",2501,2570,2254,1840,3160,3798,5263,6049,4293,3788,4503,3159,5113,5120,4659,4775,3771,6066,7418,6018,5868,5044,5446,9988,6285,10571,9472,14924,16914,6580,4180,7394,14535,12822,9941,5970,13579,19696,26141,21070,21925,22506,23894,32697,24048,31618,29834,27131,25304,21779
 "22000","Louisiana",5,SAINC45,100,"...","  Vegetables","Thousands of dollars",18985,16106,19053,20493,21154,26372,22247,21025,28612,29298,24304,25562,31717,36682,42822,43199,42542,67609,64969,56369,76189,65831,64622,55674,66388,70875,71337,70539,76081,52942,61519,78884,84310,76072,81871,82940,87925,87853,95925,20130,29322,47424,41366,36038,29535,35218,42768,32376,51348,46044
 "22000","Louisiana",5,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",10544,7589,11255,7235,16365,6585,16944,8049,19364,11813,14064,15169,20820,14583,22472,7165,10777,20390,10352,15823,14304,13502,26219,12115,15301,22292,23479,16189,15923,21740,25393,19347,15280,12664,31914,25593,24829,40862,41675,5790,8125,29275,16000,13500,10270,12885,5710,6175,12250,5954
 "22000","Louisiana",5,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",4046,4565,4939,5349,6119,6633,7190,9290,9847,8315,9145,10060,15000,16156,24151,35938,37365,36523,34121,47748,53801,16178,20546,46182,50715,53661,56253,63314,70777,87545,69693,72854,73198,76348,71968,72549,68698,77600,111015,119233,121628,141659,160304,168063,152488,120033,121741,101669,114632,114718
 "22000","Louisiana",5,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",3575,3858,3679,5179,7501,8001,6072,8680,8930,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "22000","Louisiana",5,SAINC45,113,"...","  Tobacco","Thousands of dollars",96,151,139,103,135,156,75,181,180,179,100,98,100,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "22000","Louisiana",5,SAINC45,114,"...","  Cotton","Thousands of dollars",56471,73374,94361,98894,110963,92313,129998,192894,140038,184659,205612,227479,198507,202325,254624,320607,119006,169305,327801,226659,393388,436619,223156,450483,361464,526644,509443,449183,378114,261368,186192,252093,162599,135867,309040,245946,282303,216799,344420,132519,96584,189522,240790,215842,155394,172217,96356,77097,141013,160616
 "22000","Louisiana",5,SAINC45,115,"...","  Other crops","Thousands of dollars",59752,64958,68613,80545,97459,284439,181978,106251,125916,115248,104044,103411,175211,195512,166447,123352,126005,124432,171167,201038,220096,161544,177461,215327,225171,239258,271191,274754,304801,304860,338937,325072,325566,330730,331434,293602,282594,334693,356249,382620,390307,454586,514417,539316,489335,385187,390667,326258,367857,381849
