GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",159987,159852,157749,159822,187946,192175,209177,228008,233938,286059,299393,316664,358857,362416,376531,424094,398999,409624,395509,410516,420186,420553,456439,448938,440547,444103,434781,493130,498313,414680,379567,398329,376288,398993,396023,421087,412442,439406,487383,568102,488141,493259,528639,502271,464040,429068,408579,393663,402483,367783
 "25000","Massachusetts",1,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",91476,88262,85228,84976,101848,103828,109264,117873,115637,122008,136696,139449,144349,143105,145539,142596,136562,137795,130360,114479,119988,132406,129513,137911,131425,125234,107980,113788,109715,114049,109417,100067,108314,93932,92479,99183,96899,90206,122745,109366,94058,113144,126462,129037,131134,142996,125155,112596,109496,104780
 "25000","Massachusetts",1,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",15113,14773,14922,17471,26006,21922,24573,27349,26050,30524,37179,34786,29390,26524,27839,28008,25827,30728,33488,25861,27503,37758,40816,41917,40745,37569,34773,31722,32416,28021,29122,35688,38748,34751,35134,35520,38788,39351,56408,36262,38642,45579,51280,57339,57332,59013,58023,51303,50622,51639
 "25000","Massachusetts",1,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",7970,8716,9129,10079,16518,11772,11487,14398,15934,16122,21322,21653,16208,9944,14931,13828,12202,16606,17401,12851,13430,14672,18367,16365,17651,15345,12716,10003,11534,8653,9800,12256,12133,10486,10351,11919,11951,12504,11008,9801,6454,7657,8860,14140,13944,17049,16365,10475,10888,11003
 "25000","Massachusetts",1,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",5462,4693,4425,6219,8050,8553,10967,10710,7596,11234,12535,9656,9902,12766,7937,8161,7350,8197,8941,5709,5054,6450,5883,3662,3193,2677,2422,2819,2881,3662,2938,3642,4704,2232,2158,2333,2828,1415,1301,1627,840,1902,2370,2033,3502,2524,2747,2566,2079,2162
 "25000","Massachusetts",1,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",1681,1364,1368,1173,1438,1597,2119,2241,2520,3168,3322,3477,3280,3814,4971,6019,6275,5925,7146,7301,9019,16636,16566,21890,19901,19547,19635,18900,18001,15706,16384,19790,21911,22033,22625,21268,24009,25432,44099,24834,31348,36020,40050,41166,39886,39440,38911,38262,37655,38474
 "25000","Massachusetts",1,SAINC45,40,"...","  Dairy products","Thousands of dollars",47704,47788,48248,47441,50582,58018,59884,65882,65882,67350,73833,79726,85989,89074,90852,83430,82679,76039,70532,62512,66757,70054,64842,74450,68069,66148,62624,70463,66146,73440,68145,52311,57539,47124,44608,50982,47355,39744,53130,50904,34892,43200,47960,43400,49704,59855,39554,37451,38856,34364
 "25000","Massachusetts",1,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",28659,25701,22058,20064,25260,23888,24807,24642,23705,24134,25684,24937,28970,27507,26848,31158,28056,31028,26340,26106,25728,24594,23855,21544,22611,21517,10583,11603,11153,12588,12150,12068,12027,12057,12737,12681,10756,11111,13207,22200,20524,24365,27222,28298,24098,24128,27578,23842,20018,18777
 "25000","Massachusetts",1,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",68511,71590,72521,74846,86098,88347,99913,110135,118301,164051,162697,177215,214508,219311,230992,281498,262437,271829,265149,296037,300198,288147,326926,311027,309122,318869,326801,379342,388598,300631,270150,298262,267974,305061,303544,321904,315543,349200,364638,458736,394083,380115,402177,373234,332906,286072,283424,281067,292987,263003
 "25000","Massachusetts",1,SAINC45,70,"...","  Total grains","Thousands of dollars",36,39,41,40,81,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
