GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",754448,860338,885174,1233170,2311753,2499356,1996275,1763453,1472837,2079120,2531021,2581192,2479920,2230005,2814051,2652637,2414717,2554118,2779656,2712440,2369228,2473059,2626033,2976911,3114416,3048472,3264079,3402248,3301891,3019517,2815990,2860540,3040580,3407829,3902960,3979110,3990353,4246973,5996561,7005877,6713806,6899674,7535217,9353044,9000041,8862033,7521020,8275657,8003918,8063477
 "38000","North Dakota",4,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",309784,320843,356274,425786,558819,510618,516657,551237,544974,604226,811461,874017,676609,681948,729556,775572,768753,747557,855553,799738,668692,732242,714977,736565,697643,704431,647159,604740,667141,669994,747830,745074,867468,862831,931525,1019517,1092809,1009464,1078021,1004977,884460,1070313,1268364,1268550,1441130,1847388,1502477,1257091,1413037,1420169
 "38000","North Dakota",4,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",262489,271025,307558,375063,487890,439159,444079,466861,459257,511303,709108,756678,545508,549041,587902,636340,632508,619022,728107,675236,533293,589667,588172,607532,579438,590235,534885,472143,555534,554045,640782,650041,760125,775321,856625,931542,1011521,933476,974169,914994,823890,997534,1186188,1187835,1358790,1757692,1420769,1192573,1342150,1347136
 "38000","North Dakota",4,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",226176,235795,270238,331213,427284,383746,385432,402975,400267,447308,635230,687155,472975,467884,512312,556654,555088,528418,627429,592021,462162,512205,511173,524266,490853,502810,439073,365318,461974,462307,556423,543526,659500,673831,759594,825341,902786,835910,875873,792516,690766,834297,1035471,1031992,1193627,1544887,1252659,1035895,1183198,1180099
 "38000","North Dakota",4,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",26340,25477,28116,33518,46559,42022,45653,49039,41392,48956,48277,43823,41951,46590,38505,40608,40528,55323,61987,50394,41862,52869,46854,46599,52229,44595,45418,54652,42694,41544,41362,54578,53721,36364,32133,47587,52895,46002,45057,44907,50182,62285,65678,61622,67425,99282,74023,57804,65548,65659
 "38000","North Dakota",4,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",9973,9753,9204,10332,14047,13391,12994,14847,17598,15039,25601,25700,30582,34567,37085,39078,36892,35281,38691,32821,29269,24593,30145,36667,36356,42830,50394,52173,50866,50194,42997,51937,46904,65126,64898,58614,55840,51564,53239,77571,82942,100952,85039,94221,97738,113523,94087,98874,93404,101378
 "38000","North Dakota",4,SAINC45,40,"...","  Dairy products","Thousands of dollars",38550,41295,41297,43250,57250,62670,62927,75485,77087,83329,92267,106672,120960,123125,131875,124845,122778,116729,116550,111289,122000,130625,114695,118080,107400,102480,96524,107545,86304,98670,89232,76275,89744,68676,59658,74002,68550,57375,80105,75295,49010,59466,67200,64260,66466,75048,55917,54918,59840,53460
 "38000","North Dakota",4,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",8745,8523,7419,7473,13679,8789,9651,8891,8630,9594,10086,10667,10141,9782,9779,14387,13467,11806,10896,13213,13399,11950,12110,10953,10805,11716,15750,25052,25303,17279,17816,18758,17599,18834,15242,13973,12738,18613,23747,14688,11560,13313,14976,16455,15874,14648,25791,9600,11047,19573
 "38000","North Dakota",4,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",444664,539495,528900,807384,1752934,1988738,1479618,1212216,927863,1474894,1719560,1707175,1803311,1548057,2084495,1877065,1645964,1806561,1924103,1912702,1700536,1740817,1911056,2240346,2416773,2344041,2616920,2797508,2634750,2349523,2068160,2115466,2173112,2544998,2971435,2959593,2897544,3237509,4918540,6000900,5829346,5829361,6266853,8084494,7558911,7014645,6018543,7018566,6590881,6643308
 "38000","North Dakota",4,SAINC45,70,"...","  Total grains","Thousands of dollars",387978,480623,460257,725361,1592760,1733970,1270164,994161,742066,1287127,1529456,1432172,1595381,1359545,1886022,1686047,1418893,1577881,1627607,1658683,1435583,1446518,1591848,1895608,2078427,1928640,2273361,2394443,2241393,1937879,1665344,1715270,1754194,2126250,2524848,2512852,2408751,2706634,4368433,5459129,5244005,5192684,5628883,7423897,6786864,6386648,5381649,6330695,5987066,6042847
 "38000","North Dakota",4,SAINC45,71,"...","   Corn","Thousands of dollars",3577,3769,3570,8296,16800,20580,11911,11742,12007,25173,27502,21936,41051,34173,66193,77922,62119,48751,70499,103530,86846,71382,88271,84389,49957,46359,115837,128973,108201,127548,124368,148103,126681,192592,216521,272589,192868,309249,511216,993100,830692,708352,1122104,1638057,1765753,1298479,876972,1176960,1256444,1279675
