GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",256516,254221,249280,246910,311095,351420,333966,343643,363280,403966,417846,443088,497373,516740,531325,546573,590289,585938,639909,656181,673624,661291,662448,664361,736205,798734,809208,833813,805542,820976,751647,829331,812902,850723,859491,877032,918714,988051,1089638,991155,959703,948260,1015357,1043161,978514,1010340,1070298,1019320,1009016,955752
 "34000","New Jersey",2,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",111060,105806,96946,96813,118965,121172,109224,116219,124995,133127,138803,133366,141081,137950,146075,143856,153049,159317,204894,202253,210995,203103,198095,196108,212946,200855,227290,223505,186092,197516,202088,186699,185750,174375,175831,176128,173067,157056,182240,109833,94313,107768,125864,112481,133893,134465,149918,100411,101856,116806
 "34000","New Jersey",2,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",24700,24299,24678,27111,31177,31418,27702,28074,43965,53076,55861,50965,52355,51583,58792,58093,59218,61833,116649,119298,122700,114897,111680,114862,127883,125893,158593,141198,119082,127355,134032,127706,122142,119728,116279,111241,119844,109122,112063,40854,43731,49001,58088,54131,75441,70163,68480,59374,55697,54599
 "34000","New Jersey",2,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",12641,13542,14129,16161,15915,17069,13094,12729,15013,21925,26279,23472,20310,14848,15693,15877,16617,18485,25252,25224,24240,21596,19720,19026,30010,28655,36377,27177,10176,16403,16143,22125,16150,12040,13648,14065,17159,17442,14590,13077,10219,10135,15175,13431,16019,15658,18241,11908,10512,9822
 "34000","New Jersey",2,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",9470,8532,8234,8431,12573,11746,11773,12429,10391,12945,10622,7908,10591,8254,13111,11294,9329,8993,3782,2395,2284,2204,1706,1479,3534,3958,4702,3518,6277,4440,1511,2314,2316,1607,1257,1994,1741,2182,2544,2221,1893,2350,2704,2291,2604,2153,1000,894,1141,869
 "34000","New Jersey",2,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",2589,2225,2315,2519,2689,2603,2835,2916,18561,18206,18960,19585,21454,28481,29988,30922,33272,34355,87615,91679,96176,91097,90254,94357,94339,93280,117514,110503,102629,106512,116378,103267,103676,106081,101374,95182,100944,89498,94929,25556,31619,36516,40209,38409,56818,52352,49239,46572,44044,43908
 "34000","New Jersey",2,SAINC45,40,"...","  Dairy products","Thousands of dollars",48380,46857,45112,44001,45657,49406,48751,56627,56389,59157,61880,65951,69484,68331,69915,65379,64317,62321,58086,53901,56731,53244,48860,48576,48465,44850,42028,44829,40572,44928,40996,31812,37030,29824,27264,32308,29295,23450,32340,30895,19968,23184,27797,24192,25750,31125,22176,19680,21411,17496
 "34000","New Jersey",2,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",37980,34650,27156,25701,42131,40348,32771,31518,24641,20894,21062,16450,19242,18036,17368,20384,29514,35163,30159,29054,31564,34962,37555,32670,36598,30112,26669,37478,26438,25233,27060,27181,26578,24823,32288,32579,23928,24484,37837,38084,30614,35583,39979,34158,32702,33177,59262,21357,24748,44711
 "34000","New Jersey",2,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",145456,148415,152334,150097,192130,230248,224742,227424,238285,270839,279043,309722,356292,378790,385250,402717,437240,426621,435015,453928,462629,458188,464353,468253,523259,597879,581918,610308,619450,623460,549559,642632,627152,676348,683660,700904,745647,830995,907398,881322,865390,840492,889493,930680,844621,875875,920380,918909,907160,838946
 "34000","New Jersey",2,SAINC45,70,"...","  Total grains","Thousands of dollars",9554,11141,10689,10714,18622,37431,36184,40807,39775,50513,56964,48842,61144,53290,49140,45853,48274,38033,33582,43323,37910,39893,40583,39231,40267,39739,40341,48531,49700,37622,24092,24541,27569,25960,27188,38656,31510,34768,54876,66536,72531,70555,78916,116535,109339,95165,75666,75298,76050,75584
 "34000","New Jersey",2,SAINC45,71,"...","   Corn","Thousands of dollars",4115,4620,4650,3845,7877,11918,16037,14792,14010,11478,14988,14612,21310,20002,17858,15753,18642,14105,11550,15006,10948,13172,13458,11472,10832,10105,12070,15294,14398,11345,6931,5902,10146,7948,8029,13793,12252,13635,25844,33902,30965,35925,45186,61225,53282,45218,38824,36214,35646,35166
 "34000","New Jersey",2,SAINC45,72,"...","   Oats","Thousands of dollars",40,56,63,59,111,119,132,193,161,105,162,123,80,61,31,52,66,44,83,193,209,170,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000","New Jersey",2,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000","New Jersey",2,SAINC45,74,"...","   Wheat","Thousands of dollars",1155,1711,1869,1776,3434,7030,5690,4392,3207,1773,5394,5857,7862,5985,4678,5211,5347,3374,2811,4608,5120,3523,2925,3857,3946,4157,6775,7943,6874,5557,4124,3836,3325,5618,3656,3674,3406,4956,7515,10343,9011,5213,6761,9530,8970,8179,4912,5183,5174,4687
 "34000","New Jersey",2,SAINC45,75,"...","   Soybeans","Thousands of dollars",3522,3924,3363,4119,6024,16954,13125,19831,21219,35798,35063,26465,29638,24874,24059,22670,21610,18445,17373,21407,20216,21869,23075,22610,24508,24560,20288,24613,27559,20042,12419,14408,13887,12205,15278,20953,15715,15992,21191,21927,32415,29417,26968,45780,47086,41768,31930,33901,35230,35731
 "34000","New Jersey",2,SAINC45,76,"...","   Other grains","Thousands of dollars",722,830,744,915,1176,1410,1200,1599,1178,1359,1357,1785,2254,2368,2514,2167,2609,2065,1765,2109,1417,1159,1125,1292,981,917,1208,681,856,678,618,395,196,189,225,236,137,185,326,364,140,0,1,0,1,0,0,0,0,0
 "34000","New Jersey",2,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",3323,3680,5470,4805,6386,6401,7444,8326,8366,9450,9018,8676,10305,11879,12343,13061,13933,13417,11474,10261,9560,9138,6859,7366,6605,6403,7655,8392,8946,8666,8921,8578,8232,7539,8686,9590,9344,8891,6990,7949,6902,6422,7710,10529,9789,14019,10525,10920,10757,11615
 "34000","New Jersey",2,SAINC45,100,"...","  Vegetables","Thousands of dollars",68578,70676,68989,70417,84346,98505,91296,94586,80635,101484,103150,108801,127446,136810,118294,116536,128021,129838,116124,111432,112119,104278,114251,139696,159053,186359,170901,178328,170831,201492,135079,193737,174832,175007,157330,169475,163397,182219,189385,144040,147738,136449,148687,158975,140518,151007,173682,177905,139450,125046
 "34000","New Jersey",2,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",25126,23212,26356,21955,36070,35907,35815,36673,47973,51317,49616,60177,64223,77847,72437,65543,85547,78686,66621,65870,65984,56866,79170,80841,83256,84659,88831,108206,110147,85016,80154,81390,88343,99269,97308,94294,123436,164637,173918,148194,150119,144149,180815,178865,117160,144696,136683,132509,159477,104731
 "34000","New Jersey",2,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",38204,38514,38838,39797,43042,47599,48955,42403,55866,57479,59699,82630,92583,98803,132864,161424,161165,166287,206890,222142,235856,245587,219409,196366,230027,275884,269377,261907,274582,285147,296803,329885,323681,364626,387972,384028,413405,436265,478413,510531,484238,479096,469619,462090,464113,467261,519679,518144,517300,517687
 "34000","New Jersey",2,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",402,593,1711,2049,3023,3764,4400,4000,5080,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "34000","New Jersey",2,SAINC45,113,"...","  Tobacco","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000","New Jersey",2,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000","New Jersey",2,SAINC45,115,"...","  Other crops","Thousands of dollars",269,599,281,360,641,641,648,629,590,596,596,596,591,161,172,300,300,360,324,900,1200,2426,4081,4753,4051,4835,4813,4944,5244,5517,4510,4501,4495,3947,5176,4861,4555,4215,3816,4072,3862,3821,3746,3686,3702,3727,4145,4133,4126,4283
 "34000","New Jersey",2,SAINC45,120,"...","Other income","Thousands of dollars",8787,8386,6970,8289,8523,8151,9775,11611,11406,16695,24796,26647,29676,26661,31285,34192,31556,32276,33119,30359,37634,29399,18245,29996,25861,25211,22869,17240,20465,25603,42322,68617,49019,60651,67640,92592,88490,79736,99106,158332,149307,196436,187266,181077,211396,138391,105586,80399,114671,97664
 "34000","New Jersey",2,SAINC45,130,"..."," Government payments","Thousands of dollars",4889,4292,2661,3676,2074,660,668,833,1116,1957,806,869,1465,1076,4372,7303,3954,6495,11386,10833,21483,15744,4051,10695,7298,7596,5491,3250,3629,5564,10258,22481,16404,6428,12301,10298,26414,17868,10563,17220,17485,22029,17143,11927,9703,6578,8498,12235,12278,9942
