GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",92948,97785,104269,125631,164839,145458,146827,167615,171180,204047,250693,274337,232160,250610,243567,267603,240959,233460,271904,271408,280341,326898,297672,287658,338694,325664,308249,308720,333723,356058,347210,397471,434979,368892,399947,475217,479515,501777,531886,585786,539901,575403,713293,716721,693239,875953,738630,571056,635490,653890
 "32000","Nevada",8,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",78732,82600,90484,109737,136752,115979,110677,123446,122350,154820,192444,185633,150758,181373,170240,190808,161736,164661,203774,186327,178804,211485,215577,214570,217476,213495,181772,170291,194957,207032,221536,247396,281574,220613,261503,311538,313391,290620,322006,309924,281345,350834,413724,457930,463477,609351,548787,421629,454216,471358
 "32000","Nevada",8,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",70999,74319,82135,101155,126784,101764,96036,105544,103355,135608,170090,158412,121499,152069,140451,159662,131321,134680,171449,153221,140269,169013,175593,171368,175108,162559,131006,107724,138687,138219,160125,195485,219103,167436,207662,236311,234144,221870,219723,194825,207555,234312,270917,317410,320665,426587,411653,304831,318086,337002
 "32000","Nevada",8,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",65466,68864,76839,93818,118654,93548,83994,95679,95142,126226,159797,148016,106986,139047,125960,143697,122320,128084,162647,146072,133147,160334,167610,162227,160128,147454,113448,89416,120459,123040,143696,177866,202198,149879,189908,217126,213699,202422,199855,185168,192441,217776,251071,293185,295708,402512,387928,282988,297957,316274
 "32000","Nevada",8,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",654,649,620,793,1447,1085,1767,1389,1373,1856,1724,1572,1273,1811,2055,1901,1657,2166,2861,2330,2223,2957,2910,2124,1999,2063,2025,2202,2633,876,1046,1615,890,784,704,1077,1286,918,1431,737,1056,1144,744,1085,1381,1054,798,494,171,181
 "32000","Nevada",8,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",4879,4806,4676,6544,6683,7131,10275,8476,6840,7526,8569,8824,13240,11211,12436,14064,7344,4430,5941,4819,4899,5722,5073,7017,12981,13042,15533,16106,15595,14303,15383,16004,16015,16773,17050,18108,19159,18530,18437,8920,14058,15392,19102,23140,23576,23021,22927,21349,19958,20547
 "32000","Nevada",8,SAINC45,40,"...","  Dairy products","Thousands of dollars",7606,8193,8300,8527,9824,14047,14487,17738,18906,19137,22310,27178,29212,29260,29748,31050,30336,29890,32250,33033,38426,42372,39904,43152,42189,50750,50520,62310,56049,68586,61200,51700,62270,52965,53648,74947,77720,67250,99554,109343,69198,111202,136827,124740,128499,169880,117351,106602,125837,119392
 "32000","Nevada",8,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",127,88,49,55,144,168,154,164,89,75,44,43,47,44,41,96,79,91,75,73,109,100,80,50,179,186,246,257,221,227,211,211,201,212,193,280,1527,1500,2729,5756,4592,5320,5980,15780,14313,12884,19783,10196,10293,14964
 "32000","Nevada",8,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",14216,15185,13785,15894,28087,29479,36150,44169,48830,49227,58249,88704,81402,69237,73327,76795,79223,68799,68130,85081,101537,115413,82095,73088,121218,112169,126477,138429,138766,149026,125674,150075,153405,148279,138444,163679,166124,211157,209880,275862,258556,224569,299569,258791,229762,266602,189843,149427,181274,182532
 "32000","Nevada",8,SAINC45,70,"...","  Total grains","Thousands of dollars",1153,1574,1396,1585,2969,4861,5264,4231,4508,3778,6182,8493,7221,7140,4493,6520,6741,5969,5235,5488,5241,3897,2860,3365,3455,3237,3966,7065,7529,4799,4135,4062,2099,1710,2258,3321,3255,4257,7435,7083,5526,3613,5946,9263,7941,7408,4063,2890,4762,5803
