GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",616754,633375,630539,743391,1008020,1146992,1119479,1161826,1139452,1276129,1705740,1768064,1811518,1818076,1694074,1917860,1806435,1931483,2037505,2344922,2452910,2574742,2730371,2604410,2684375,2776371,2860676,2960211,3324571,3031007,3111650,3198402,3333049,3292264,3566464,3911254,3946312,4404676,4372758,4796833,4312529,4212333,4878685,5094818,5191408,5538177,5271224,4898508,5072188,4779955
 "41000","Oregon",8,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",314423,316437,316633,370673,453871,382851,442661,445881,444769,533869,850612,690590,741049,765997,674552,744017,739049,764863,795855,815403,883927,942653,971741,904439,870632,852984,781791,792229,927257,858027,924092,991605,1012661,987995,1042970,1313801,1329880,1324016,1258404,1358592,1173868,1295766,1681084,1731011,1796624,2213739,2093390,1739657,1824847,1702315
 "41000","Oregon",8,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",223756,222264,222759,266001,330154,249488,306017,293550,289572,362333,653338,477153,501530,524297,427788,500654,486491,508947,542332,555331,579141,625236,661921,566118,562065,542735,486403,456682,612764,529572,607799,694492,645813,642804,681706,844974,889904,909146,743752,800120,741584,742845,1010521,1067740,1091237,1374304,1389067,1120265,1166605,1040128
 "41000","Oregon",8,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",197751,196487,201824,239386,294269,212027,266035,250191,248750,314104,597141,421331,439336,453012,358212,419541,407783,424445,444812,467750,483687,540366,582838,494022,493670,471242,416894,389038,549114,472313,557323,642707,592489,587959,597314,762344,802401,823129,661072,714960,641417,647472,920579,978799,1009831,1290112,1307338,1034873,1073107,945734
 "41000","Oregon",8,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",11037,10800,8399,11155,16549,16834,19143,20115,17812,20276,23570,22494,23025,30484,31220,32608,29728,35871,34662,27065,24066,23489,19413,16228,17215,13583,13406,11183,11586,7952,6466,7844,9668,6599,7636,8024,7392,7880,7531,8435,6084,6526,6848,4042,2961,2226,2557,2792,1833,2147
 "41000","Oregon",8,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",14968,14977,12536,15460,19336,20627,20839,23244,23010,27953,32627,33328,39169,40801,38356,48505,48980,48631,62858,60516,71388,61381,59670,55868,51180,57910,56103,56461,52064,49307,44010,43941,43656,48246,76756,74606,80111,78137,75149,76725,94083,88847,83094,84899,78445,81966,79172,82600,91665,92247
 "41000","Oregon",8,SAINC45,40,"...","  Dairy products","Thousands of dollars",52048,56246,61048,62978,72568,84819,88637,101001,103641,114622,133327,151472,166840,178532,188021,179404,184927,183182,183213,181880,200468,213011,203610,225642,214577,218897,212901,236999,218120,249280,244360,207488,264895,259250,271125,359520,355448,326340,404613,408822,305099,411567,525798,493218,528304,649953,470580,465532,496584,469370
 "41000","Oregon",8,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",38619,37927,32826,41694,51149,48544,48007,51330,51556,56914,63947,61965,72679,63168,58743,63959,67631,72734,70310,78192,104318,104406,106210,112679,93990,91352,82487,98548,96373,79175,71933,89625,101953,85941,90139,109307,84528,88530,110039,149650,127185,141354,144765,170053,177083,189482,233743,153860,161658,192817
 "41000","Oregon",8,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",302331,316938,313906,372718,554149,764141,676818,715945,694683,742260,855128,1077474,1070469,1052079,1019522,1173843,1067386,1166620,1241650,1529519,1568983,1632089,1758630,1699971,1813743,1923387,2078885,2167982,2397314,2172980,2187558,2206797,2320388,2304269,2523494,2597453,2616432,3080660,3114354,3438241,3138661,2916567,3197601,3363807,3394784,3324438,3177834,3158851,3247341,3077640
 "41000","Oregon",8,SAINC45,70,"...","  Total grains","Thousands of dollars",48313,73555,62711,91711,155712,277483,211903,207597,142418,175372,206136,336738,297730,282037,268469,307889,217403,240974,184581,281859,313384,209784,232294,209008,207686,249704,326323,304964,275517,215505,122468,167671,144570,135155,189671,243262,181426,201187,306376,374460,336940,359950,472863,576565,484740,409147,289786,186350,290647,322860
 "41000","Oregon",8,SAINC45,71,"...","   Corn","Thousands of dollars",623,799,587,552,1073,1557,1048,1283,1376,1445,1989,2360,4695,6368,12828,24477,14163,9497,5983,7262,7159,6374,5232,4504,5911,7206,8593,13896,14202,12281,10167,9149,6686,6278,9206,10397,7517,9357,16591,23217,24256,32107,50450,72994,53269,33139,26507,25579,33443,33381
 "41000","Oregon",8,SAINC45,72,"...","   Oats","Thousands of dollars",1905,2718,2702,2923,5920,5083,4911,4589,3321,3877,5165,6730,6299,7299,9281,10064,8742,8152,7604,10210,9848,6216,5214,6401,4004,5223,5274,5113,4762,4195,3167,2232,3784,3528,3402,2621,486,2640,1101,2981,2719,3996,2632,5598,2717,6274,432,3699,900,1283
 "41000","Oregon",8,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "41000","Oregon",8,SAINC45,74,"...","   Wheat","Thousands of dollars",32918,53408,44601,75078,128041,247437,186172,179626,125465,152044,182850,299931,259254,248293,207928,243302,166270,191050,144286,230256,270278,174237,192156,172886,178398,209950,284537,254956,228645,180196,91553,136913,117716,113436,163036,216358,161841,178058,268414,331911,295483,303592,395671,463912,398824,345637,242515,145821,242215,276581
 "41000","Oregon",8,SAINC45,75,"...","   Soybeans","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "41000","Oregon",8,SAINC45,76,"...","   Other grains","Thousands of dollars",12867,16630,14821,13158,20678,23406,19772,22099,12256,18006,16132,27717,27482,20077,38432,30046,28228,32275,26708,34131,26099,22957,29692,25217,19373,27325,27919,30999,27908,18833,17581,19377,16384,11913,14027,13886,11582,11132,20270,16351,14482,20255,24110,34061,29930,24097,20332,11251,14089,11615
 "41000","Oregon",8,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",10092,12705,15520,18254,26866,33166,37306,41389,34968,35836,43412,78183,155598,180141,178941,193783,215715,227993,276581,336412,311806,353651,392701,363130,414377,450967,454175,568937,641726,552320,567528,562416,580404,548583,539615,618330,634602,752889,669603,600960,544651,485222,411215,329119,364338,386760,326231,320272,312755,328713
 "41000","Oregon",8,SAINC45,100,"...","  Vegetables","Thousands of dollars",98121,73292,71838,82663,121844,185548,164223,158281,158306,177084,203575,199634,255626,234288,206624,290958,230704,234914,269971,270260,301531,339170,317927,325556,417781,378456,389692,332034,411696,364085,357146,357633,362701,359778,378840,279659,325809,391838,395014,331887,399713,328319,325571,384618,385848,358394,382526,387012,371015,332693
 "41000","Oregon",8,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",68881,62760,57522,65831,82575,85330,75867,85931,100061,118396,137440,132712,129004,144347,135261,126891,165334,182552,200599,208755,188474,202544,235465,254456,219537,234750,238208,262223,312774,244358,285160,251015,264448,243104,306888,348251,359526,413584,481589,468885,428611,460730,551555,601627,659555,700575,684173,727500,752175,565226
 "41000","Oregon",8,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",26591,29687,31600,34535,32300,36400,50250,64506,77032,94678,116370,156065,157465,150387,163627,191755,172186,205740,230789,270512,297260,400112,450627,415789,424033,460289,510022,537710,588847,638801,703496,718018,830938,887190,986817,981266,984973,1182659,1122435,1478510,1270970,1140737,1277776,1309339,1334625,1307279,1330013,1367907,1352813,1353824
 "41000","Oregon",8,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",8038,7221,6800,10379,15200,24050,22505,31085,34935,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "41000","Oregon",8,SAINC45,113,"...","  Tobacco","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "41000","Oregon",8,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "41000","Oregon",8,SAINC45,115,"...","  Other crops","Thousands of dollars",42295,57718,67915,69345,119652,122164,114764,127156,146963,140894,148195,174142,75046,60879,66600,62567,66044,74447,79129,161721,156528,126828,129616,132032,130329,149221,160465,162114,166754,157911,151760,150044,137327,130459,121663,126685,130096,138503,139337,183539,157776,141609,158621,162539,165678,162283,165105,169810,167936,174324
 "41000","Oregon",8,SAINC45,120,"...","Other income","Thousands of dollars",44947,44281,42930,49357,47376,34664,39105,44376,67301,136524,123359,122288,140312,160623,205275,237273,249869,324704,363333,339386,400169,406337,381241,547669,723563,638077,579129,557197,485419,459296,513769,327868,327179,261441,326691,274097,399842,388633,414098,395511,566509,413918,615952,421842,559916,598600,537266,530315,486691,438395
