GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",1620863,1693652,1736420,1944857,2412563,2584111,2784122,3159930,3265351,3830427,4488613,4864566,5403345,5157978,5229730,5230805,5139200,5002050,5348994,5484495,5698801,6018034,5755716,5996619,5735862,5629209,6022738,6314465,5959186,6247563,5837331,5638500,6211903,5734698,6360317,7434598,7360754,7431717,9149096,9524681,7752478,9266610,11544102,12277574,12292691,13171332,11515201,10858389,11506928,10995598
 "55000","Wisconsin",3,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",1414278,1473523,1506216,1658102,2000635,2050380,2248423,2629484,2713689,3161334,3788827,3999660,4393703,4310405,4340920,4289897,4241956,4233242,4468846,4472289,4580560,4860733,4413918,4594196,4418141,4296375,4202925,4569003,4306198,4705361,4421006,4108596,4748524,4001451,4265098,5342991,5365883,5014862,6580446,6439843,4986726,5988499,7509561,7544465,8168020,9817017,8254231,7414655,8097607,7610432
 "55000","Wisconsin",3,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",499621,493632,474083,560518,681275,555686,632943,707584,703613,909914,1153697,1113500,1261864,1188150,1139662,1130026,1120727,1159969,1373738,1387571,1263430,1476486,1423823,1322204,1326400,1237757,1112410,1062699,1115674,977951,1045290,1184098,1247022,1111280,1183234,1377969,1549940,1604158,1555761,1610523,1496498,1601245,2027384,2030942,2322338,2739291,2758193,2146523,2369543,2258630
 "55000","Wisconsin",3,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",281758,288485,287831,347972,411901,300126,331716,418086,405598,531661,788529,747559,889237,798273,766975,767360,768596,785295,952465,1050094,948762,1116790,1081607,1013215,965492,921558,814947,730883,781096,755428,797842,904836,899611,814180,906648,1036559,1150373,1162662,1073411,1031262,916941,1063001,1479574,1529501,1838813,2278042,2392942,1822795,2044958,1935251
 "55000","Wisconsin",3,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",187368,179722,164424,191421,241739,226466,268960,254293,253493,326480,307017,307764,321182,335562,324245,307095,299190,310751,353620,278588,268759,316155,303369,269622,314133,268898,245300,257468,265074,154777,125784,145165,163979,106560,134285,150150,153078,140334,141672,140469,117192,143362,165229,153587,162663,162862,126552,117014,145748,146666
 "55000","Wisconsin",3,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",30495,25425,21828,21125,27635,29094,32267,35205,44522,51773,58151,58177,51445,54315,48442,55571,52941,63923,67653,58889,45909,43541,38847,39367,46775,47301,52163,74348,69504,67746,121664,134097,183432,190540,142301,191260,246489,301162,340678,438792,462365,394882,382581,347854,320862,298387,238699,206714,178837,176713
 "55000","Wisconsin",3,SAINC45,40,"...","  Dairy products","Thousands of dollars",851741,915772,970059,1035142,1201337,1394412,1500541,1810417,1890352,2127573,2507337,2770120,3007567,3000715,3075808,3007555,2973747,2926196,2968593,2951087,3169156,3212986,2815538,3097803,2906048,2873682,2915917,3261815,2948196,3496490,3146262,2688309,3244752,2662650,2838258,3687242,3527784,3075625,4594365,4571532,3270677,4147199,5233137,5229464,5541494,6745095,5121238,5014800,5444480,5002800
 "55000","Wisconsin",3,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",62916,64119,62074,62442,118023,100282,114939,111483,119724,123847,127793,116040,124272,121540,125450,152316,147482,147077,126515,133631,147974,171261,174557,174189,185693,184936,174598,244489,242328,230920,229454,236189,256750,227521,243606,277780,288159,335079,430320,257788,219551,240055,249040,284059,304188,332631,374800,253332,283584,349002
 "55000","Wisconsin",3,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",206585,220129,230204,286755,411928,533731,535699,530446,551662,669093,699786,864906,1009642,847573,888810,940908,897244,768808,880148,1012206,1118241,1157301,1341798,1402423,1317721,1332834,1819813,1745462,1652988,1542202,1416325,1529904,1463379,1733247,2095219,2091607,1994871,2416855,2568650,3084838,2765752,3278111,4034541,4733109,4124671,3354315,3260970,3443734,3409321,3385166
 "55000","Wisconsin",3,SAINC45,70,"...","  Total grains","Thousands of dollars",50585,79329,82127,102129,173796,239384,218992,199792,165606,363883,364512,502359,570896,419311,460396,472701,398195,328385,383132,486713,443127,417731,618050,660795,559402,544951,1047881,974967,845580,817023,771374,844572,662196,909888,943218,942924,862783,1287680,1508567,1838560,1638989,2226513,2883346,3509479,2812946,2184415,2164365,2368187,2267767,2315702
 "55000","Wisconsin",3,SAINC45,71,"...","   Corn","Thousands of dollars",38206,56338,58816,73655,132249,173094,163545,155515,120690,302267,286904,406157,463294,310614,341203,348046,296134,251845,293268,376560,332935,288202,474123,498049,393837,348369,767855,693524,589047,595071,552612,594085,468617,613254,669281,681645,563340,923063,1020455,1230223,943999,1353168,2100897,2287737,1816705,1378247,1343143,1305917,1308075,1359714
 "55000","Wisconsin",3,SAINC45,72,"...","   Oats","Thousands of dollars",3241,9399,13501,12810,18429,19352,19534,16173,9664,12441,15806,20924,15575,15360,11219,13171,14531,9845,17562,17506,12731,13141,11499,14839,13775,9782,9527,12860,12061,7324,9289,5224,6025,9653,6976,8243,11493,9315,11820,14099,10609,10608,10034,10905,10711,15256,13842,5987,7103,7616
 "55000","Wisconsin",3,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "55000","Wisconsin",3,SAINC45,74,"...","   Wheat","Thousands of dollars",615,1363,1278,1226,3063,9987,8401,5738,7005,3955,7873,13361,18188,16940,16086,28408,24054,19477,11533,16558,32131,26288,18279,10631,12617,23750,32876,28829,28074,20675,18261,20371,28250,39695,38424,42810,33467,64085,94982,94554,97033,77948,99455,142456,101005,87428,65336,66765,55760,55087
 "55000","Wisconsin",3,SAINC45,75,"...","   Soybeans","Thousands of dollars",7793,11139,7497,13573,19179,35427,25202,20591,26473,43437,52103,58702,70521,73451,88731,81836,61021,45273,58987,74172,63559,85095,103546,123877,126575,148508,222273,224022,207868,187532,185193,219483,155221,243600,223743,204492,248729,285632,375503,487847,577024,777279,664060,1059644,874420,689426,725898,983902,889951,884537
 "55000","Wisconsin",3,SAINC45,76,"...","   Other grains","Thousands of dollars",730,1090,1035,865,876,1524,2310,1775,1774,1783,1826,3215,3318,2946,3157,1240,2455,1945,1782,1917,1771,5005,10603,13399,12598,14542,15350,15732,8530,6421,6019,5409,4083,3686,4794,5734,5754,5585,5807,11837,10324,7510,8900,8737,10105,14058,16146,5616,6878,8748
 "55000","Wisconsin",3,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",9275,13467,16449,17670,23027,24368,39432,38758,61621,29608,28171,21089,41930,47345,51314,52335,78926,64630,63569,95784,107950,93611,71075,89179,113341,84836,80636,48989,74667,55262,40198,47417,52391,61043,81051,91773,141628,104220,76423,108297,76321,77571,77675,108024,176909,183098,109063,84447,95262,113322
 "55000","Wisconsin",3,SAINC45,100,"...","  Vegetables","Thousands of dollars",104879,86453,87341,92879,117837,161547,170659,161852,182520,173387,193832,215781,260622,229010,228548,266272,262808,225166,275766,262709,373831,385261,369659,348572,341857,384715,360467,376291,363103,364048,339056,380822,412700,377286,547273,491863,501248,509496,435236,447361,452818,387070,450905,470367,542268,448451,457701,439075,512760,459797
 "55000","Wisconsin",3,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",19304,13373,14310,16771,18364,20183,18894,22762,27931,32367,36433,47201,53677,73931,73231,81972,79453,73677,77799,83023,72602,78592,96466,88189,86205,105594,115868,146713,171148,136584,83223,70720,83037,124037,145112,138650,158611,187951,232473,283053,192530,199656,226832,257361,224814,180650,176800,203242,184547,144592
 "55000","Wisconsin",3,SAINC45,111,"...","  Greenhouse, nursery and mushroom products","Thousands of dollars",10309,13800,13780,22000,24350,28300,26940,29500,34336,37847,41474,38323,42339,43210,46595,41324,53620,59787,64608,67227,87755,141930,142749,183358,188813,191278,194152,178481,179509,149839,165360,172001,228084,234459,308928,356515,265489,266620,255090,329058,327062,312696,319544,313162,296898,288798,285035,281598,281761,281972
 "55000","Wisconsin",3,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",3679,3600,3500,20500,39745,39745,39850,51250,55200,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "55000","Wisconsin",3,SAINC45,113,"...","  Tobacco","Thousands of dollars",5210,5504,9426,12356,9074,11492,13872,15998,13848,20127,22224,29414,30264,29149,20981,17615,17398,11076,8370,8633,16872,20019,22980,22224,19070,9516,8506,9019,7671,8565,6335,4198,3496,5971,6680,7430,6197,0,0,0,0,0,0,0,0,0,0,0,0,0
 "55000","Wisconsin",3,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "55000","Wisconsin",3,SAINC45,115,"...","  Other crops","Thousands of dollars",3344,4603,3271,2450,5735,8712,7060,10534,10600,11874,13140,10739,9914,5617,7745,8689,6844,6087,6904,8117,16104,20157,20819,10106,9033,11944,12303,11002,11310,10881,10779,10174,21475,20563,62957,62452,58915,60888,60861,78509,78032,74605,76239,74716,70836,68903,68006,67185,67224,69781
 "55000","Wisconsin",3,SAINC45,120,"...","Other income","Thousands of dollars",106566,110601,94288,120021,110870,103815,105730,102060,106946,187428,216679,192412,201036,260100,370139,465269,387444,491173,637658,635801,769624,438211,421019,390777,557099,492106,442786,537783,583921,677544,904617,881492,791902,589513,838007,626345,917690,818283,625949,942250,1259075,801857,699403,1233742,1359895,906539,1337775,910299,971369,902164
 "55000","Wisconsin",3,SAINC45,130,"..."," Government payments","Thousands of dollars",56346,51656,36857,57106,39794,13298,14083,14282,26338,44116,28473,12373,16877,46463,165990,237814,152222,266424,405969,409371,522332,181243,149950,166027,310168,236401,184350,158153,176552,256082,503046,603774,415123,332382,488810,298217,585758,414084,207974,229991,405870,259289,196018,281827,221822,92142,305627,285304,134422,300846
 "55000","Wisconsin",3,SAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",50220,58945,57431,62915,71076,90517,91647,87778,80608,143312,188206,180039,184159,213637,204149,227455,235222,224749,231689,226430,247292,256968,271069,224750,246931,255705,258436,379630,407369,421462,401571,277718,376779,257131,349197,328128,331932,404199,417975,712259,853205,542568,503385,951915,1138073,814397,1032148,624995,836947,601318
