GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",52070093,55282796,56439211,66148294,93699668,97460522,93516784,99713786,97722343,118862245,140773250,146883721,145728331,141698058,144701536,150810679,140590521,141380148,152731433,166579773,173057694,179972886,178761308,180126920,189922742,187493289,199659918,206162318,213862740,203116651,198505693,208236358,214019067,207945742,230323444,257186313,259789973,260004662,308223291,332607520,307292833,338188339,384513203,418930210,421455306,444955365,396504012,373707301,386605668,387823201
 "00000","United States", ,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",32444020,33504197,34476700,40139502,51560170,46010828,47707132,51341085,52679936,65481208,77520731,75583185,76313270,77760125,76791753,80105826,76439285,78247606,83740447,87862739,92071457,98968077,95789872,95367963,100529416,97259334,95355214,100206839,104449874,102290598,105135116,111690859,120181463,107077042,121348639,141518983,144239791,137550070,157907210,158388419,135405690,157441137,183306885,187264168,200500775,233415891,208736791,179003993,192563424,193396021
 "00000","United States", ,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",21871265,22729488,23712205,28821825,36560272,30337590,30974358,32757343,33715742,44647202,53955707,50058482,48268967,50006543,48063440,49929285,47175889,47822930,54498318,57362638,57336868,63526455,62629714,60104202,63908768,58795356,56399869,54966647,61249923,55217588,58993917,69250142,70862791,65352528,76367781,84747377,88700917,87577508,89340371,87566233,79432114,91378612,108354740,111911192,115855957,135790882,125888135,105856724,112033333,112093174
 "00000","United States", ,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",15609758,16757170,18231041,21907164,26860991,21347708,20849052,23042401,24059122,33086396,41708990,37928600,35093029,35437275,34265576,36137162,34110912,33970130,39608972,43656260,43341299,47082862,46768425,45151644,47589047,43498185,40429988,36096102,41668081,39696539,44199337,50186260,50921387,48615821,58077734,61378408,64142872,63870670,64618690,61829838,55334275,63677717,76287567,79512587,80970093,97573892,94871138,76668427,80329897,80393582
 "00000","United States", ,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",5574856,5325915,4864180,6202328,8792350,8127730,9205916,8756713,8492706,10234419,10658821,10417546,11385780,12517879,11560652,11363848,10542100,11323511,12054938,10746127,11011563,13492976,12966880,11754963,12831272,11618731,12007332,14704086,15360558,11274441,10380651,14451819,15522195,12223773,13630861,18502689,19418935,18387865,19403763,20548044,18364378,22036659,26105577,26115040,28044685,31337571,24336943,22553682,24910027,24897274
 "00000","United States", ,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",686651,646403,616984,712333,906931,862152,919390,958229,1163914,1326387,1587896,1712336,1790158,2051389,2237212,2428275,2522877,2529289,2834408,2960251,2984006,2950617,2894409,3197595,3488449,3678440,3962549,4166459,4221284,4246608,4413929,4612063,4419209,4512934,4659186,4866280,5139110,5318973,5317918,5188351,5733461,5664236,5961596,6283565,6841179,6879419,6680054,6634615,6793409,6802318
 "00000","United States", ,SAINC45,40,"...","  Dairy products","Thousands of dollars",6195672,6526563,6812035,7135682,8090160,9453647,9922533,11428455,11751730,12724074,14641918,16364999,18095226,18233554,18747732,17931425,18054865,17723533,17726646,17631666,19357305,20152604,18006612,19736250,19261516,19983347,19879611,22785017,20940261,24105134,23189113,20586629,24685667,20582238,21231059,27366855,26704863,23412552,35453399,34846236,24321032,31372346,39531306,37064731,40276790,49345108,35710758,34540225,37934571,35238223
 "00000","United States", ,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",4377083,4248146,3952460,4181995,6909738,6219591,6810241,7155287,7212464,8109932,8923106,9159704,9949077,9520028,9980581,12245116,11208531,12701143,11515483,12868435,15377284,15289018,15153546,15527511,17359132,18480631,19075734,22455175,22259690,22967876,22952086,21854088,24633005,21142276,23749799,29404751,28834011,26560010,33113440,35975950,31652544,34690179,35420839,38288245,44368028,48279901,47137898,38607044,42595520,46064624
 "00000","United States", ,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",19626073,21778599,21962511,26008792,42139498,51449694,45809652,48372701,45042407,53381037,63252519,71300536,69415061,63937933,67909783,70704853,64151236,63132542,68990986,78717034,80986237,81004809,82971436,84758957,89393326,90233955,104304704,105955479,109412866,100826053,93370577,96545499,93837604,100868700,108974805,115667330,115550182,122454592,150316081,174219101,171887143,180747202,201206318,231666042,220954531,211539474,187767221,194703308,194042244,194427180
 "00000","United States", ,SAINC45,70,"...","  Total grains","Thousands of dollars",9400189,11324855,10696948,13483028,25379522,31619683,26396657,27505318,23207875,28676412,36705519,41870754,38379285,32931720,36685747,36622877,32169965,29721786,31166393,39487434,36854688,34879751,37039536,36985541,38705122,37134014,49733326,49777443,50517445,43466642,37752498,38722758,36552135,41317428,45807965,49683029,46303970,52158206,75269214,97420379,96906943,101049922,116943168,140533158,126856030,116582542,98098207,104828969,99662281,102712902
