GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01000","Alabama",5,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2616982,2513436,2811323,3277192,3486968,3642760,3516498,3980303,4269910,4538490,4732834,4977031,5188262,5360086,5634112,5984079,6497590,7052426,7563851,7991770,8737454,9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99953288,103453058,108355099,112154930,115191809,120211076,128739879,136327338,145175833,152327005,157366824,155145273,161516561,167942757,172804075,174415510,180457769,187544435,190814674,197283188,206455011
 "01000","Alabama",5,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",152508,137007,156277,238785,263004,282474,247671,294119,331321,368734,383748,409263,446046,440281,498859,527145,538809,600917,702897,744620,873599,1087017,1034913,1095974,1306413,1473283,1661822,1686304,2025592,2256921,2611155,3033877,3414456,3859052,3755619,4019615,4252210,4833877,5105419,5662435,5700205,6483954,6829968,6986569,7317798,7733112,8445364,9110235,9814033,10612417,11224497,11730462,12163118,12519154,11101169,10672170,10978927,12881442,14711087,15738340,15953250,12435908,13206758,15046831,14827642,16122198,16515927,17951041,18692633,19469733,19663954
 "01000","Alabama",5,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",2464474,2376429,2655046,3038407,3223964,3360286,3268827,3686184,3938589,4169756,4349086,4567768,4742216,4919805,5135253,5456934,5958781,6451509,6860954,7247150,7863855,8650698,9593405,10603367,11692685,13165584,14579233,16413812,18298464,20137972,22728767,25117534,27622667,30606460,32640475,34950887,38617974,41264855,43684895,45989516,49858626,53911756,57409802,60943371,65721979,68664933,72403082,76363365,79535966,83368962,88728791,91722596,96191981,99635776,104090640,109538906,117760952,123445896,130464746,136588665,141413574,142709365,148309803,152895926,157976433,158293312,163941842,169593394,172122041,177813455,186791057
 "01000","Alabama",5,SAINC50,20,"...","Population (persons) 1/","Number of persons",2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
 "01000","Alabama",5,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",881,838,919,1071,1137,1193,1167,1305,1390,1460,1496,1553,1585,1616,1695,1782,1914,2048,2184,2311,2536,2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34997,35884,36107,37266,38644,39224,40467,42238
 "01000","Alabama",5,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",830,792,868,993,1051,1101,1085,1209,1283,1341,1375,1426,1448,1484,1545,1625,1755,1874,1981,2096,2282,2515,2781,3032,3303,3677,4019,4460,4896,5324,5928,6491,7082,7811,8315,8884,9772,10388,10944,11454,12391,13377,14175,14867,15821,16294,16995,17772,18364,19087,20144,20704,21606,22302,23234,24323,25992,27013,28184,29230,29972,29994,30992,31861,32805,32770,33855,34945,35382,36474,38215
 "01000","Alabama",5,SAINC50,60,"...","Personal current taxes","Thousands of dollars",152508,137007,156277,238785,263004,282474,247671,294119,331321,368734,383748,409263,446046,440281,498859,527145,538809,600917,702897,744620,873599,1087017,1034913,1095974,1306413,1473283,1661822,1686304,2025592,2256921,2611155,3033877,3414456,3859052,3755619,4019615,4252210,4833877,5105419,5662435,5700205,6483954,6829968,6986569,7317798,7733112,8445364,9110235,9814033,10612417,11224497,11730462,12163118,12519154,11101169,10672170,10978927,12881442,14711087,15738340,15953250,12435908,13206758,15046831,14827642,16122198,16515927,17951041,18692633,19469733,19663954
 "01000","Alabama",5,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",137868,119338,137450,219356,245992,264060,229841,270008,300068,335971,352031,368580,402685,397705,448151,477575,463842,512610,614350,626460,746540,929149,871520,920141,1093729,1229589,1412007,1403299,1708832,1895725,2187618,2563710,2906076,3208589,3145682,3335948,3486324,3951165,4068770,4491039,4544587,5178502,5445560,5565219,5800972,6148684,6763737,7273671,7881580,8558198,9029800,9349893,9701986,10062049,8671437,8216997,8335490,9879999,11401388,12239683,12462577,9244089,10161952,11731967,11353490,12389813,12820194,14022286,14647928,15283225,15204672
 "01000","Alabama",5,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",137868,119338,137450,219356,245992,264060,229841,270008,300068,335971,352031,368580,402685,397705,448151,477575,463842,512610,614350,626460,746540,929149,871520,920141,1093729,1229589,1412007,1403299,1708832,1895725,2187618,2563710,2906076,3208589,3145682,3335948,3486324,3951165,4068770,4491039,4544587,5178502,5445560,5565219,5800972,6148684,6763737,7273671,7881580,8558198,9029800,9349893,9701986,10062049,8671437,8216997,8335490,9879999,11401388,12239683,12462577,9244089,10161952,11731967,11353490,12389813,12820194,14022286,14647928,15283225,15204672
 "01000","Alabama",5,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",152360,137438,150602,233367,264243,285385,254146,295339,328646,367039,388262,408792,444381,444976,497626,534236,525855,566284,680727,721057,853964,1046725,1031574,1090977,1275383,1511420,1732143,1863322,2158294,2375873,2677687,3088638,3615850,3997731,4055461,4269364,4450001,4955040,5169240,5610975,5718947,6369297,6672633,6865950,7127538,7395141,8027855,8702900,9416505,10206495,10761826,11427898,11920313,12458283,11405652,10931346,11165576,12693090,14503846,15475167,16857360,13320427,14033319,15354652,15106815,15905531,16224468,17377897,18153981,18804004,18823751
