GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",934549,958724,1064356,1316832,1497577,1589959,1647676,1809276,2039556,2232056,2372202,2618350,2855803,3109852,3349780,3521554,3777103,4003816,4359710,4739343,5437349,6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118057588,124654410,135387478,141344453,146505245,155175020,169638742,188136505,209126960,220735917,223345839,211975307,215523641,226365302,236846094,242855587,257410031,271132762,282477649,299613018,317912916
 "04000","Arizona",6,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",70928,58117,77990,110974,151112,141301,140558,158167,188606,209163,218426,256092,292648,303772,339913,355188,323833,344370,396472,453530,555792,736740,807654,838497,1044245,1106004,1312465,1144772,1376449,1657249,2098087,2611559,2928384,3582460,3668500,3750242,4182164,4844485,5224229,5721799,5875202,6565586,6937203,7164369,7360744,8035359,8991270,9875000,11630727,12903928,14569132,15598126,17236250,17277186,14858216,14579975,16131157,19986767,22822540,23953702,22296841,16327761,17408475,21075087,21565596,23870692,25088221,27915678,29041519,30370781,31372469
 "04000","Arizona",6,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",863621,900607,986366,1205858,1346465,1448658,1507118,1651109,1850950,2022893,2153776,2362258,2563155,2806080,3009867,3166366,3453270,3659446,3963238,4285813,4881557,5590331,6408479,7417069,8420404,9828207,11023629,12172986,13436732,14989536,17461523,20375062,23549226,26664596,28528864,31702362,35873438,39725822,43515129,46796594,50843227,54296903,56883776,60010208,64331385,69005650,75352397,82114409,88076911,95119151,103488456,109056284,118151228,124067267,131647029,140595045,153507585,168149738,186304420,196782215,201048998,195647546,198115166,205290215,215280498,218984895,232321810,243217084,253436130,269242237,286540447
 "04000","Arizona",6,SAINC50,20,"...","Population (persons) 1/","Number of persons",690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1354,1343,1408,1677,1779,1778,1766,1833,1937,1984,1988,2076,2162,2210,2277,2315,2427,2528,2701,2879,3233,3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
 "04000","Arizona",6,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1252,1261,1305,1536,1599,1620,1615,1673,1758,1798,1805,1873,1940,1994,2046,2082,2219,2310,2456,2604,2902,3218,3570,3912,4192,4624,4956,5324,5723,6175,6935,7722,8602,9489,9872,10678,11696,12479,13153,13615,14382,14990,15440,15840,16429,16974,17750,18526,19202,20080,21192,21708,22895,23527,24396,25515,27158,28797,30901,31905,32012,30844,30918,31712,32834,33005,34501,35591,36490,38196,39955
 "04000","Arizona",6,SAINC50,60,"...","Personal current taxes","Thousands of dollars",70928,58117,77990,110974,151112,141301,140558,158167,188606,209163,218426,256092,292648,303772,339913,355188,323833,344370,396472,453530,555792,736740,807654,838497,1044245,1106004,1312465,1144772,1376449,1657249,2098087,2611559,2928384,3582460,3668500,3750242,4182164,4844485,5224229,5721799,5875202,6565586,6937203,7164369,7360744,8035359,8991270,9875000,11630727,12903928,14569132,15598126,17236250,17277186,14858216,14579975,16131157,19986767,22822540,23953702,22296841,16327761,17408475,21075087,21565596,23870692,25088221,27915678,29041519,30370781,31372469
 "04000","Arizona",6,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",65907,52714,71755,103024,141918,131691,130909,147711,175736,195503,204741,238394,270843,278724,310476,326938,291418,307923,349241,397746,487479,644654,688487,719265,889912,947639,1089645,927336,1127036,1375370,1765208,2220547,2525779,3035097,3092616,3107274,3417574,3971386,4241925,4709495,4764652,5334208,5608839,5585828,5807414,6404320,7261631,8160096,9687654,10868970,12358797,13216913,14544736,14664415,12394311,11972169,13116148,16595784,18749042,19599822,18395261,13406499,14314623,17626696,17952095,19899643,20979992,23429086,24739437,25806533,26183475
 "04000","Arizona",6,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",65907,52714,71755,103024,141918,131691,130909,147711,175736,195503,204741,238394,270843,278724,310476,326938,291418,307923,349241,397746,487479,644654,688487,719265,889912,947639,1089645,927336,1127036,1375370,1765208,2220547,2525779,3035097,3092616,3107274,3417574,3971386,4241925,4709495,4764652,5334208,5608839,5585828,5807414,6404320,7261631,8160096,9687654,10868970,12358797,13216913,14544736,14664415,12394311,11972169,13116148,16595784,18749042,19599822,18395261,13406499,14314623,17626696,17952095,19899643,20979992,23429086,24739437,25806533,26183475
 "04000","Arizona",6,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",71752,61193,77564,110178,150485,143797,143115,161920,191301,213441,225748,261789,297969,311455,346721,368834,337534,345552,393910,458782,564581,733446,816385,873521,1056031,1214191,1383532,1347222,1466547,1730045,2150339,2631466,3090397,3677359,3849310,3969375,4243904,4920696,5246351,5704529,5823018,6283394,6619720,6646362,6876397,7389879,8286460,9353873,10957993,12235658,13837536,15112341,16617067,17034329,15293815,14881913,16138838,19609734,22134236,23410215,23885577,18600733,19026393,21817054,22225419,23999026,25043874,27518469,29169709,30426565,30932499
 "04000","Arizona",6,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",5845,8479,5809,7154,8567,12106,12206,14209,15565,17938,21007,23395,27126,32731,36245,41896,46116,37629,44669,61036,77102,88792,127898,154256,166119,266552,293887,419886,339511,354675,385131,410919,564618,642262,756694,862101,826330,949310,1004426,995034,1058366,949186,1010881,1060534,1068983,985559,1024829,1193777,1270339,1366688,1478739,1895428,2072331,2369914,2899504,2909744,3022690,3013950,3385194,3810393,5490316,5194234,4711770,4190358,4273324,4099383,4063882,4089383,4430272,4620032,4749024
 "04000","Arizona",6,SAINC50,120,"..."," State governments","Thousands of dollars",3517,3730,4444,6035,7127,7384,7270,7926,10421,11317,11074,13064,16499,19138,20851,18706,22335,25586,35690,42801,53997,75989,100817,97986,130218,133058,196368,187971,219303,252368,297086,352307,360856,500930,523713,582906,703861,802737,894108,918099,1001583,1107357,1208522,1452400,1419369,1492623,1577144,1573056,1778097,1853418,2027257,2160241,2459119,2317986,2154243,2296940,2661556,3000586,3636156,3861693,3435577,2530219,2719460,3105329,3290996,3621287,3731859,4078308,3863699,4104293,4712323
 "04000","Arizona",6,SAINC50,130,"...","  Income taxes","Thousands of dollars",2772,2895,3428,4634,5271,5289,5144,5662,7794,8583,8106,9458,12375,14443,15301,12290,15004,15201,24819,28528,39858,57862,81056,75910,105225,103694,163488,151625,173748,204653,246560,298291,303220,427634,428675,476779,576464,662364,745061,799890,886257,978325,1082185,1336741,1324111,1397946,1476268,1468889,1673352,1743263,1922330,2049521,2344077,2203617,2033097,2175272,2532870,2859094,3470566,3683244,3267800,2376450,2560198,2944284,3128631,3452240,3559162,3894328,3677513,3917051,4510552
 "04000","Arizona",6,SAINC50,150,"...","  Motor vehicle licenses","Thousands of dollars",492,544,600,756,1037,1181,1237,1359,1710,1955,2139,2519,2993,3485,4172,4767,5429,8395,8923,9659,11133,13947,15681,17574,19912,23068,26220,30149,35936,38641,41581,42681,45220,59656,75508,85549,98172,113831,123119,87357,95662,109115,109391,94789,71573,71630,75126,82131,84957,88725,88828,94308,97014,94199,100229,102916,108684,120338,139457,148453,139749,127218,131712,134078,133788,140216,142537,151627,154157,152798,158442
 "04000","Arizona",6,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",253,291,416,645,819,914,889,905,917,779,829,1087,1131,1210,1378,1649,1902,1990,1948,4614,3006,4180,4080,4502,5081,6296,6660,6197,9619,9074,8945,11335,12416,13640,19530,20578,29225,26542,25928,30852,19664,19917,16946,20870,23685,23047,25750,22036,19788,21430,16099,16412,18028,20170,20917,18752,20002,21154,26133,29996,28028,26551,27550,26967,28577,28831,30160,32353,32029,34444,43329
 "04000","Arizona",6,SAINC50,180,"..."," Local governments","Thousands of dollars",84,88,85,75,69,71,81,156,181,232,149,317,286,218,251,377,349,232,405,798,913,1198,1621,1986,2413,2583,3128,3442,3929,3970,5532,5797,6320,6775,6745,8119,9959,10745,9272,9842,11390,12058,11614,12639,9054,11844,16626,16847,16707,17978,21574,26587,24471,30659,36529,41767,60604,76365,72309,99069,77986,53163,54981,61248,59570,60439,61938,61399,76749,79610,82636
 "04000","Arizona",6,SAINC50,190,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "04000","Arizona",6,SAINC50,200,"...","  Motor vehicle licenses","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),222,334,513,938,1032,912,1030,1041,1097,1727,1887,1887,1664,928,1128,1286,1298,1338,1422,1664,1704,1745,1719,1795,2674,3261,3271,1717,1791,1316,1012,302,359,431,362,328,221,1505,13138,12127,10552,11758,12910,7246,1104,1004,1078,1193,1224,1248
 "04000","Arizona",6,SAINC50,210,"...","  Other taxes","Thousands of dollars",84,88,85,75,69,71,81,156,181,232,149,317,286,218,251,377,349,232,405,798,913,976,1287,1473,1475,1551,2216,2412,2888,2873,3805,3910,4433,5111,5817,6991,8673,9447,7934,8420,9726,10354,9869,10920,7259,9170,13365,13576,14990,16187,20258,25575,24169,30300,36098,41405,60276,76144,70804,85931,65859,42611,43223,48338,52324,59335,60934,60321,75556,78386,81388
 "04000","Arizona",6,SAINC50,230,"..."," State and local personal property taxes","Thousands of dollars",1420,1585,1706,1840,1998,2155,2298,2374,2268,2111,2462,4317,5020,5692,8335,9167,9731,10629,11136,12185,13403,14899,16729,19260,21702,22724,23324,26023,26181,25541,30261,32908,35429,39658,45426,51943,50770,59617,78924,84363,97577,111963,108228,113502,124907,126572,135869,125001,148269,163562,161504,194385,207924,264126,273133,269099,292849,314032,365033,393118,388017,337880,319411,281814,262935,289323,314432,346885,361634,380345,394035
"Note: See the included footnote file."
"SAINC50: Personal Current Taxes "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
