GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",523921,570035,668168,717720,770138,825009,857022,988860,1141261,1148952,1181043,1231571,1290082,1331177,1413502,1516729,1641209,1805658,1902563,2030582,2215200,2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5716943,6430508,7094131,7634123,8131632,8972541,9733839,10356846,11194189,12256360,13630691,14367121,15196277,15854345,16466756,17165308,18171954,19433856,20342252,22502296,24170220,26663812,29402432,30386818,31094568,32376705,33303111,35265500,36340552,35993238,36284168,36725658,39825621,40338442,40949449,42888279,45150728,46042107,48188958,50783109
 "10000","Delaware",2,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",89824,89715,115867,124752,139167,145400,144510,179047,185496,192012,183199,198312,206254,205659,232418,238049,255092,282554,291865,303855,344594,414799,426727,443086,494510,555552,590934,586077,694567,743233,813791,936641,1059660,1212786,1216986,1211093,1285600,1393839,1500104,1572479,1661997,1868055,1978165,1962672,2021968,2120544,2293196,2420512,2720830,3054794,3309199,3447441,3611155,3823478,3343721,3210306,3434469,3995019,4246395,4433841,4397155,3447375,3558676,4304788,4278276,4578917,4733971,5155836,5281051,5709972,5900492
 "10000","Delaware",2,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",434097,480320,552301,592968,630971,679609,712512,809813,955765,956940,997844,1033259,1083828,1125518,1181084,1278680,1386117,1523104,1610698,1726727,1870606,2026394,2173204,2401002,2630438,2906748,3156133,3443148,3709415,3997888,4387799,4780302,5370848,5881345,6417137,6920539,7686941,8340000,8856742,9621710,10594363,11762636,12388956,13233605,13832377,14346212,14872112,15751442,16713026,17287458,19193097,20722779,23052657,25578954,27043097,27884262,28942236,29308092,31019105,31906711,31596083,32836793,33166982,35520833,36060166,36370532,38154308,39994892,40761056,42478986,44882617
 "10000","Delaware",2,SAINC50,20,"...","Population (persons) 1/","Number of persons",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899595,907316,915188,923638,932596,941413,949216,957078,967171
 "10000","Delaware",2,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1679,1804,2082,2168,2258,2350,2329,2542,2797,2697,2728,2793,2873,2888,3014,3140,3302,3561,3687,3868,4148,4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29479,31188,33907,36952,37693,38013,38970,39405,41041,41687,40722,40690,40825,43894,44077,44335,45988,47961,48505,50350,52507
 "10000","Delaware",2,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1391,1520,1721,1791,1850,1936,1936,2082,2343,2246,2304,2343,2414,2441,2518,2647,2789,3004,3122,3289,3503,3753,3949,4248,4584,5020,5412,5848,6258,6721,7335,7983,9028,9868,10710,11430,12569,13489,14113,15106,16359,17869,18503,19373,19905,20310,20726,21585,22555,23004,25144,26739,29315,32147,33545,34088,34836,34678,36099,36601,35747,36824,36869,39149,39402,39377,40912,42484,42942,44384,46406
 "10000","Delaware",2,SAINC50,60,"...","Personal current taxes","Thousands of dollars",89824,89715,115867,124752,139167,145400,144510,179047,185496,192012,183199,198312,206254,205659,232418,238049,255092,282554,291865,303855,344594,414799,426727,443086,494510,555552,590934,586077,694567,743233,813791,936641,1059660,1212786,1216986,1211093,1285600,1393839,1500104,1572479,1661997,1868055,1978165,1962672,2021968,2120544,2293196,2420512,2720830,3054794,3309199,3447441,3611155,3823478,3343721,3210306,3434469,3995019,4246395,4433841,4397155,3447375,3558676,4304788,4278276,4578917,4733971,5155836,5281051,5709972,5900492
 "10000","Delaware",2,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",86741,83648,106770,117045,134414,137228,131378,163573,168908,173364,158698,169380,177044,172663,189506,199802,213438,240332,233408,246898,279215,341428,344303,339649,381028,427489,446678,423119,506394,535343,582559,684030,782085,906716,886703,835969,878730,986440,1051724,1178932,1216221,1382930,1453822,1453206,1462984,1541540,1659359,1765482,2003116,2284078,2458694,2608887,2862411,2956228,2557413,2407347,2531788,2977287,3125197,3294790,3257660,2441156,2546742,3065961,3082202,3382429,3553032,3912722,4034999,4209966,4147090
 "10000","Delaware",2,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",86741,83648,106770,117045,134414,137228,131378,163573,168908,173364,158698,169380,177044,172663,189506,199802,213438,240332,233408,246898,279215,341428,344303,339649,381028,427489,446678,423119,506394,535343,582559,684030,782085,906716,886703,835969,878730,986440,1051724,1178932,1216221,1382930,1453822,1453206,1462984,1541540,1659359,1765482,2003116,2284078,2458694,2608887,2862411,2956228,2557413,2407347,2531788,2977287,3125197,3294790,3257660,2441156,2546742,3065961,3082202,3382429,3553032,3912722,4034999,4209966,4147090
 "10000","Delaware",2,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",93987,95126,116229,128269,144888,149430,144644,178536,186663,191484,178089,188308,196133,192845,210277,222730,238733,264377,256256,271794,306078,368256,378514,378603,420310,485760,511901,510160,572763,608666,669999,772475,883119,1013975,1013103,995838,1066369,1177586,1246071,1364192,1412978,1590477,1655551,1679633,1688670,1755738,1878346,2012281,2258473,2549106,2741307,2961821,3238023,3362382,3108175,2917974,3076100,3493837,3694312,3908751,4093553,3231416,3279057,3728313,3759741,4040986,4186878,4551784,4724537,4941232,4898773
