GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "93000","Great Lakes",3,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",47750865,45996380,51213074,58155268,61664814,67239722,66584931,72013974,77180916,80391333,80303909,85593768,88933535,91138475,96685177,101230543,108769545,118705576,129095556,135847266,148258013,162016453,170705346,183694680,200707947,224429140,243765554,263253058,289628254,321433802,356577578,392787569,425780552,464803916,486801253,512202883,565477871,600323939,632500058,664885862,712815807,767369624,810354132,830740648,890729131,930987691,987885479,1041548883,1099478726,1161498574,1234908855,1287392493,1372185965,1412677883,1429246087,1463048908,1519364605,1569123660,1651211467,1723294935,1773871231,1707918938,1764135407,1869911210,1952368557,1981816597,2071441686,2160930148,2205721629,2282040432,2393394368
 "93000","Great Lakes",3,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",4509611,3817628,4333042,6434506,7485931,8239317,7043090,7688720,8731205,9068990,8341258,9137449,10082014,9850238,10895755,11534790,11137886,12574428,14471432,15596745,18530101,22547094,22013058,21519235,26005274,28123052,31303743,30681062,36368486,41879035,48058157,54436405,56527994,63356597,60677193,62128807,66296683,72393662,75391251,83206892,86417218,96246339,100454299,99945584,103638835,111799293,121363277,130454816,143494652,156724466,171474386,178386357,188344846,187594719,164815136,154975748,156614974,172336648,188425250,204570023,206664551,157764399,168887476,200514231,208671261,227050961,234880138,253139595,257261404,267681285,269213747
 "93000","Great Lakes",3,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",43241254,42178752,46880032,51720762,54178883,59000405,59541841,64325254,68449711,71322343,71962651,76456319,78851521,81288237,85789422,89695753,97631659,106131148,114624124,120250521,129727912,139469359,148692288,162175445,174702673,196306088,212461811,232571996,253259768,279554767,308519421,338351164,369252558,401447319,426124060,450074076,499181188,527930277,557108807,581678970,626398589,671123285,709899833,730795064,787090296,819188398,866522202,911094067,955984074,1004774108,1063434469,1109006136,1183841119,1225083164,1264430951,1308073160,1362749631,1396787012,1462786217,1518724912,1567206680,1550154539,1595247931,1669396979,1743697296,1754765636,1836561548,1907790553,1948460225,2014359147,2124180621
 "93000","Great Lakes",3,SAINC50,20,"...","Population (persons) 1/","Number of persons",29832000,30324000,30530000,30883000,31498000,32166000,33063000,33779000,34404000,34967000,35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46438539,46513075,46586913,46693513,46768031,46784467,46820090,46878905,46931883
 "93000","Great Lakes",3,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1601,1517,1677,1883,1958,2090,2014,2132,2243,2299,2257,2382,2451,2489,2618,2710,2872,3091,3314,3453,3740,4060,4234,4522,4916,5481,5940,6404,7032,7773,8590,9440,10212,11160,11732,12382,13661,14494,15257,15987,17085,18326,19252,19549,20762,21513,22663,23713,24853,26105,27609,28628,30347,31115,31377,32009,33142,34149,35840,37310,38333,36844,37989,40202,41908,42443,44292,46189,47111,48679,50997
 "93000","Great Lakes",3,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1449,1391,1536,1675,1720,1834,1801,1904,1990,2040,2023,2128,2173,2220,2323,2401,2578,2763,2943,3056,3272,3495,3688,3992,4279,4794,5177,5658,6149,6760,7432,8131,8856,9639,10270,10880,12059,12746,13439,13986,15014,16028,16866,17197,18346,18930,19879,20743,21609,22582,23776,24661,26182,26983,27759,28618,29726,30399,31750,32881,33867,33440,34352,35891,37429,37581,39270,40778,41616,42969,45261
 "93000","Great Lakes",3,SAINC50,60,"...","Personal current taxes","Thousands of dollars",4509611,3817628,4333042,6434506,7485931,8239317,7043090,7688720,8731205,9068990,8341258,9137449,10082014,9850238,10895755,11534790,11137886,12574428,14471432,15596745,18530101,22547094,22013058,21519235,26005274,28123052,31303743,30681062,36368486,41879035,48058157,54436405,56527994,63356597,60677193,62128807,66296683,72393662,75391251,83206892,86417218,96246339,100454299,99945584,103638835,111799293,121363277,130454816,143494652,156724466,171474386,178386357,188344846,187594719,164815136,154975748,156614974,172336648,188425250,204570023,206664551,157764399,168887476,200514231,208671261,227050961,234880138,253139595,257261404,267681285,269213747
 "93000","Great Lakes",3,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",4350407,3640494,4134621,6208781,7241690,7975048,6753491,7363597,8370765,8676203,7919919,8624624,9534145,9282426,10266169,10756776,10182970,11560773,13326141,14292847,16794602,20346796,19159495,18290340,21867970,23478514,26162616,25248835,30131069,34893406,39893510,45748447,47548726,53411377,49946659,49010823,51618435,57476363,59401136,66446229,67639346,75559322,78472032,77492027,79869639,86023740,94551271,101435208,112307043,123357034,135508612,140430300,148703546,148690777,126186682,116498190,116323677,129546697,143557320,157869022,158300598,115145707,125145370,149997103,154925642,170320759,180146758,197090712,202210228,210954411,209557468
 "93000","Great Lakes",3,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",4350407,3640494,4134621,6208781,7241690,7975048,6753491,7363597,8370765,8676203,7919919,8624624,9534145,9282426,10266169,10756776,10182970,11560773,13326141,14292847,16794602,20346796,19159495,18290340,21867970,23478514,26162616,25248835,30131069,34893406,39893510,45748447,47548726,53411377,49946659,49010823,51618435,57476363,59401136,66446229,67639346,75559322,78472032,77492027,79869639,86023740,94551271,101435208,112307043,123357034,135508612,140430300,148703546,148690777,126186682,116498190,116323677,129546697,143557320,157869022,158300598,115145707,125145370,149997103,154925642,170320759,180146758,197090712,202210228,210954411,209557468
 "93000","Great Lakes",3,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",4773387,4208030,4537414,6630850,7760710,8602296,7486489,8110454,9154641,9539383,8862665,9547243,10492929,10360429,11357456,11957252,11448054,12607588,14617058,16028048,18791097,22474458,21952636,21249609,24750044,27938413,30995410,31962921,35251562,40530260,46106911,52522875,56220547,62369794,60026146,59342525,62946910,69062275,71512179,78308573,79719563,86882633,90436725,90505571,92769666,98369511,107481697,115814561,127264104,139035171,152235175,161589249,171424051,173584593,155937284,145655248,146581785,158343086,174302969,189546705,201173557,155586004,162057736,183252798,189236557,203674492,213345939,230372579,237712463,247648333,247275889
