GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",15540313,14654588,16097008,17938601,18859644,20149728,20292952,21584785,23564054,24576036,24822685,26350264,27209572,28282092,29885177,31095615,33241199,36068148,39098546,41606124,44581780,48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,367350200,383422716,412423055,427473310,432411991,439954703,457435410,476560054,508470324,538060086,551530997,525210738,540492620,567967515,593239141,607670820,637279309,662760794,670504220,689723793,724189111
 "17000","Illinois",3,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",1607372,1323205,1471069,2127901,2419574,2522922,2283222,2283535,2783311,2883281,2771470,2949358,3229436,3265061,3540567,3608662,3448467,3824045,4423260,4848826,5634525,6922508,7117840,6892602,8155873,8728479,9840315,9739638,11377731,12743829,14351067,16492379,17641501,19768402,18725496,18615250,19687478,21216436,22074682,25096835,25854055,28843868,30483661,29934031,31015748,33132353,35890624,38630533,42831298,47482701,52239298,55137963,59342669,58652196,50972110,47128739,47966274,54345578,61105442,68174405,69223388,51456753,55113007,67049189,70774726,77532492,80734303,86348095,84091122,87613501,88538252
 "17000","Illinois",3,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",13932941,13331383,14625939,15810700,16440070,17626806,18009730,19301250,20780743,21692755,22051215,23400906,23980136,25017031,26344610,27486953,29792732,32244103,34675286,36757298,38947255,41562016,44406431,48424768,51874049,58239178,63376039,70126620,75454541,82715838,90990601,99077144,107569462,119108568,128286207,134404750,149029668,155993344,164330789,172086135,186788652,198073330,210317650,215937911,234721292,242230238,254164052,269178781,284721627,298856443,315110902,328284753,353080386,368821114,381439881,392825964,409469136,422214476,447364882,469885681,482307609,473753985,485379613,500918326,522464415,530138328,556545006,576412699,586413098,602110292,635650859
 "17000","Illinois",3,SAINC50,20,"...","Population (persons) 1/","Number of persons",8552000,8670000,8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
 "17000","Illinois",3,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1817,1690,1842,2041,2106,2223,2193,2288,2473,2542,2511,2639,2698,2792,2907,2989,3142,3373,3608,3801,4055,4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42092,44140,46044,47113,49444,51519,52273,53943,56839
 "17000","Illinois",3,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1629,1538,1674,1799,1836,1944,1947,2046,2181,2244,2231,2343,2378,2470,2563,2642,2816,3015,3200,3358,3542,3765,3992,4321,4608,5172,5622,6202,6642,7252,7958,8674,9407,10408,11230,11781,13059,13684,14431,15107,16399,17360,18363,18665,20072,20511,21336,22416,23527,24525,25678,26562,28396,29533,30453,31286,32524,33483,35382,37011,37837,37021,37800,38930,40551,41102,43180,44807,45717,47091,49890
 "17000","Illinois",3,SAINC50,60,"...","Personal current taxes","Thousands of dollars",1607372,1323205,1471069,2127901,2419574,2522922,2283222,2283535,2783311,2883281,2771470,2949358,3229436,3265061,3540567,3608662,3448467,3824045,4423260,4848826,5634525,6922508,7117840,6892602,8155873,8728479,9840315,9739638,11377731,12743829,14351067,16492379,17641501,19768402,18725496,18615250,19687478,21216436,22074682,25096835,25854055,28843868,30483661,29934031,31015748,33132353,35890624,38630533,42831298,47482701,52239298,55137963,59342669,58652196,50972110,47128739,47966274,54345578,61105442,68174405,69223388,51456753,55113007,67049189,70774726,77532492,80734303,86348095,84091122,87613501,88538252
 "17000","Illinois",3,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",1569538,1281635,1425792,2077148,2365249,2465971,2221155,2215654,2712030,2803881,2686659,2834626,3108608,3142700,3423123,3485707,3328319,3703300,4304477,4719965,5491948,6536297,6185935,5861369,7026042,7524084,8481855,8304280,9761827,10979481,12376902,14334330,15331566,17288128,16161840,15676749,16420685,18101602,18780840,21468933,21924629,24397130,25322583,24860070,25651559,27566431,30011369,32322621,36110520,40139729,44464233,46859044,50758132,50246515,42351632,38862174,39468326,44908392,50916573,57435072,57797927,41128733,44266655,52237080,53965735,59474273,63571522,69929766,69215137,72196369,71945483
 "17000","Illinois",3,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",1569538,1281635,1425792,2077148,2365249,2465971,2221155,2215654,2712030,2803881,2686659,2834626,3108608,3142700,3423123,3485707,3328319,3703300,4304477,4719965,5491948,6536297,6185935,5861369,7026042,7524084,8481855,8304280,9761827,10979481,12376902,14334330,15331566,17288128,16161840,15676749,16420685,18101602,18780840,21468933,21924629,24397130,25322583,24860070,25651559,27566431,30011369,32322621,36110520,40139729,44464233,46859044,50758132,50246515,42351632,38862174,39468326,44908392,50916573,57435072,57797927,41128733,44266655,52237080,53965735,59474273,63571522,69929766,69215137,72196369,71945483
 "17000","Illinois",3,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",1724296,1487217,1568450,2223092,2539363,2671374,2448764,2459643,2949939,3082566,2991828,3146566,3422537,3488918,3781912,3872429,3720991,4026304,4690468,5236443,6091644,7164243,6994496,6718712,7853831,8809371,9865386,10249665,11261446,12627028,14167009,16236650,17805373,19863885,19032564,18548182,19608699,21319544,22085551,24647256,25377084,27677915,28772776,28695234,29438127,31189296,33827824,36512721,40426517,44669343,49316220,52925071,57335880,57491837,51202357,47529167,48500717,53462274,60106751,67034021,71000057,53936147,55643731,62412841,64597867,69726281,73964192,80384428,80317047,83515228,83580366
