GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",437906,423106,450582,515573,528676,554297,562077,584920,639661,663135,676296,727094,768301,800756,840471,871256,933673,1022246,1159800,1256075,1382449,1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4015134,4505299,5069132,5502286,5907740,6496255,7040967,7574217,8217480,8976787,9917053,10298043,10499432,11241667,11680869,12247126,12890172,13585552,14333084,15410745,16394183,17745584,18821934,19226811,19983748,21147342,21726842,23108837,24319664,25530398,25164294,25939055,27455225,28395737,28768741,29886705,30998720,31678529,32460613,33928572
 "50000","Vermont",1,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",31388,27656,30619,43627,49496,49509,44475,52169,62726,61230,62718,70398,75345,77473,80779,91791,91711,94181,122005,133545,159652,196180,206584,180336,230026,230979,249800,260737,277692,324798,375689,446574,516765,599069,597600,626540,674992,764224,853618,985473,1037576,1173678,1200181,1161850,1208524,1261638,1306486,1368444,1522688,1710052,1882007,2007783,2241119,2265412,2016027,1857627,1921977,2191397,2449108,2694254,2708870,2072775,2160244,2596972,2591941,2877386,3037381,3209774,3311937,3455459,3478177
 "50000","Vermont",1,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",406518,395450,419963,471946,479180,504788,517602,532751,576935,601905,613578,656696,692956,723283,759692,779465,841962,928065,1037795,1122530,1222797,1319255,1457347,1621955,1759041,1952903,2114227,2331048,2598324,2795298,3197723,3568560,3988534,4470063,4904686,5281200,5821263,6276743,6720599,7232007,7939211,8743375,9097862,9337582,10033143,10419231,10940640,11521728,12062864,12623032,13528738,14386400,15504465,16556522,17210784,18126121,19225365,19535445,20659729,21625410,22821528,23091519,23778811,24858253,25803796,25891355,26849324,27788946,28366592,29005154,30450395
 "50000","Vermont",1,SAINC50,20,"...","Population (persons) 1/","Number of persons",359000,369000,379000,378000,375000,379000,377000,375000,377000,376000,380000,387000,389000,390000,393000,397000,399000,404000,413000,423000,430000,437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625880,626979,626063,626212,625218,625197,623644,624525,626299
 "50000","Vermont",1,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1220,1147,1189,1364,1410,1463,1491,1560,1697,1764,1780,1879,1975,2053,2139,2195,2340,2530,2808,2969,3215,3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43790,45356,45941,47802,49582,50796,51976,54173
 "50000","Vermont",1,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1132,1072,1108,1249,1278,1332,1373,1421,1530,1601,1615,1697,1781,1855,1933,1963,2110,2297,2513,2654,2844,3019,3265,3570,3797,4168,4469,4857,5356,5679,6417,7057,7782,8670,9448,10092,11053,11842,12584,13386,14441,15677,16108,16422,17517,18034,18739,19561,20318,21136,22532,23792,25433,27043,27965,29337,31013,31447,33167,34685,36564,36957,37993,39648,41216,41346,42944,44448,45485,46444,48620
 "50000","Vermont",1,SAINC50,60,"...","Personal current taxes","Thousands of dollars",31388,27656,30619,43627,49496,49509,44475,52169,62726,61230,62718,70398,75345,77473,80779,91791,91711,94181,122005,133545,159652,196180,206584,180336,230026,230979,249800,260737,277692,324798,375689,446574,516765,599069,597600,626540,674992,764224,853618,985473,1037576,1173678,1200181,1161850,1208524,1261638,1306486,1368444,1522688,1710052,1882007,2007783,2241119,2265412,2016027,1857627,1921977,2191397,2449108,2694254,2708870,2072775,2160244,2596972,2591941,2877386,3037381,3209774,3311937,3455459,3478177
 "50000","Vermont",1,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",26806,22315,24520,34941,38943,39682,34874,40977,49584,47180,47858,53696,57557,59180,61934,70515,68763,70481,90733,99384,126175,151365,153027,129422,172930,168993,186275,196693,204993,238057,297478,343693,408994,478174,470617,486999,514983,588435,657940,758847,829551,919594,902582,867648,883998,933967,993820,1057395,1197875,1340888,1482454,1570243,1757854,1787385,1516741,1389169,1427368,1632098,1842925,2033473,2021930,1509583,1590492,1965181,1919955,2141627,2292278,2418994,2514506,2621956,2595784
 "50000","Vermont",1,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",26806,22315,24520,34941,38943,39682,34874,40977,49584,47180,47858,53696,57557,59180,61934,70515,68763,70481,90733,99384,126175,151365,153027,129422,172930,168993,186275,196693,204993,238057,297478,343693,408994,478174,470617,486999,514983,588435,657940,758847,829551,919594,902582,867648,883998,933967,993820,1057395,1197875,1340888,1482454,1570243,1757854,1787385,1516741,1389169,1427368,1632098,1842925,2033473,2021930,1509583,1590492,1965181,1919955,2141627,2292278,2418994,2514506,2621956,2595784
 "50000","Vermont",1,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",29594,25805,26970,37434,41855,43044,38525,44794,53895,52250,53002,59181,63555,65864,69154,78250,77603,78130,99514,112528,142002,169742,177326,156914,197426,209859,227944,253415,251942,283611,344298,397443,478778,553189,553585,566039,609481,688593,775452,886496,972697,1059582,1047892,1035403,1044292,1079825,1141294,1220008,1368006,1518327,1669707,1807160,2010306,2062282,1863290,1725557,1781245,1967013,2198520,2403832,2521316,2001557,2039459,2370820,2343868,2546115,2689137,2818030,2947235,3078191,3064757
