GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States *", ,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",192363.0,192342.0,213991.6,235454.7,248561.8,264125.9,270324.0,289463.3,309674.5,327325.2,337794.3,358209.8,371767.0,388943.0,412591.0,433368.0,470690.0,506937.0,546533.0,584097.0,634507.0,687425.0,753099.0,823437.0,893321.0,1001571.0,1094397.0,1215359.0,1323488.0,1454268.0,1626753.0,1805001.0,2014396.0,2248034.0,2426023.0,2616717.0,2902515.0,3093703.0,3282912.0,3458192.0,3763033.0,4043179.0,4304512.0,4479825.0,4798176.0,5000936.0,5247927.0,5538573.0,5836986.0,6156053.0,6570164.0,6890679.0,7415075.0,7763912.0,8104480.0,8478455.0,8981157.0,9382761.0,10017121.0,10511373.0,10932716.0,10900400.0,11305991.0,11863823.0,12490913.0,12501275.0,13200377.0,13773169.0,14157321.0,14826143.0,15737171.0
 "00000","United States *", ,SAINC51,52,"...","Population (persons) 1/","Number of persons",146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
 "00000","United States *", ,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1317,1294,1409,1529,1590,1662,1670,1754,1842,1912,1940,2022,2066,2126,2221,2300,2463,2620,2796,2959,3183,3415,3695,3981,4269,4739,5130,5641,6083,6618,7324,8038,8865,9797,10472,11192,12308,13003,13671,14273,15391,16381,17244,17708,18705,19240,19945,20800,21667,22579,23818,24694,26279,27245,28177,29225,30673,31750,33572,34895,35952,35533,36550,38076,39796,39554,41460,42941,43821,45598,48101
 "01000","Alabama",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",2464.5,2376.4,2655.0,3038.4,3224.0,3360.3,3268.8,3686.2,3938.6,4169.8,4349.1,4567.8,4742.2,4919.8,5135.3,5456.9,5958.8,6451.5,6861.0,7247.1,7863.9,8650.7,9593.4,10603.4,11692.7,13165.6,14579.2,16413.8,18298.5,20138.0,22728.8,25117.5,27622.7,30606.5,32640.5,34950.9,38618.0,41264.9,43684.9,45989.5,49858.6,53911.8,57409.8,60943.4,65722.0,68664.9,72403.1,76363.4,79536.0,83369.0,88728.8,91722.6,96192.0,99635.8,104090.6,109538.9,117761.0,123445.9,130464.7,136588.7,141413.6,142709.4,148309.8,152895.9,157976.4,158293.3,163941.8,169593.4,172122.0,177813.5,186791.1
 "01000","Alabama",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",2969000,3000000,3058000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3274000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
 "01000","Alabama",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",830,792,868,993,1051,1101,1085,1209,1283,1341,1375,1426,1448,1484,1545,1625,1755,1874,1981,2096,2282,2515,2781,3032,3303,3677,4019,4460,4896,5324,5928,6491,7082,7811,8315,8884,9772,10388,10944,11454,12391,13377,14175,14867,15821,16294,16995,17772,18364,19087,20144,20704,21606,22302,23234,24323,25992,27013,28184,29230,29972,29994,30992,31861,32805,32770,33855,34945,35382,36474,38215
 "02000","Alaska *",8,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),724.1,720.2,745.4,805.4,919.7,978.7,1044.2,1137.2,1223.4,1368.7,1589.2,1762.6,1900.7,2226.3,2634.4,3552.8,4167.1,4345.8,4558.8,4768.6,5506.6,6129.5,7614.2,8386.9,9027.2,9827.4,10047.9,9547.3,10017.3,10796.5,11369.7,11978.7,12814.8,13496.0,13911.8,14327.5,14689.5,15432.3,16146.1,16688.1,17919.5,18922.0,20208.0,21317.8,22452.7,23805.2,25306.8,27049.7,29657.5,30431.9,32623.4,34746.4,36117.4,35482.8,37548.2,38633.3,37960.2,38284.5,40139.0
 "02000","Alaska *",8,SAINC51,52,"...","Population (persons) 1/","Number of persons",(NA),(NA),135000,158000,189000,205000,215000,222000,224000,231000,224000,224000,229000,238000,246000,256000,263000,271000,271000,278000,285000,296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713906,722038,730399,737045,736307,737547,741504,739786,737438
 "02000","Alaska *",8,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3162,3026,3030,3146,3497,3612,3853,4091,4293,4624,5222,5569,5822,6681,7643,9577,10600,10937,11335,11817,13586,14647,16935,17172,17573,18455,18461,17703,18483,19732,20549,21008,21767,22515,23059,23705,24138,25176,26045,26710,28536,29859,31460,32877,34056,35693,37475,39761,43141,43543,45697,48123,49449,48142,50995,52381,51194,51751,54430
 "04000","Arizona",6,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",863.6,900.6,986.4,1205.9,1346.5,1448.7,1507.1,1651.1,1851.0,2022.9,2153.8,2362.3,2563.2,2806.1,3009.9,3166.4,3453.3,3659.4,3963.2,4285.8,4881.6,5590.3,6408.5,7417.1,8420.4,9828.2,11023.6,12173.0,13436.7,14989.5,17461.5,20375.1,23549.2,26664.6,28528.9,31702.4,35873.4,39725.8,43515.1,46796.6,50843.2,54296.9,56883.8,60010.2,64331.4,69005.6,75352.4,82114.4,88076.9,95119.2,103488.5,109056.3,118151.2,124067.3,131647.0,140595.0,153507.6,168149.7,186304.4,196782.2,201049.0,195647.5,198115.2,205290.2,215280.5,218984.9,232321.8,243217.1,253436.1,269242.2,286540.4
 "04000","Arizona",6,SAINC51,52,"...","Population (persons) 1/","Number of persons",690000,714000,756000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1252,1261,1305,1536,1599,1620,1615,1673,1758,1798,1805,1873,1940,1994,2046,2082,2219,2310,2456,2604,2902,3218,3570,3912,4192,4624,4956,5324,5723,6175,6935,7722,8602,9489,9872,10678,11696,12479,13153,13615,14382,14990,15440,15840,16429,16974,17750,18526,19202,20080,21192,21708,22895,23527,24396,25515,27158,28797,30901,31905,32012,30844,30918,31712,32834,33005,34501,35591,36490,38196,39955
 "05000","Arkansas",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",1525.7,1439.3,1541.1,1733.7,1798.5,1801.1,1776.7,1944.6,1996.1,2062.0,2143.6,2333.4,2351.3,2560.8,2712.1,2874.2,3164.4,3323.9,3655.1,3882.9,4153.4,4588.7,5062.6,5704.1,6412.9,7568.0,8387.9,9398.8,10250.3,11440.0,13248.1,14419.6,15501.5,17587.1,18367.6,19686.0,22115.2,23421.4,24691.6,25608.9,27535.0,29447.2,30959.3,32856.8,35847.5,37584.0,39796.8,42274.9,44817.1,46798.7,49519.9,51586.2,54104.4,57065.4,59356.4,63543.8,67767.1,70843.0,75233.1,79630.6,82497.1,82689.5,85550.5,90528.0,97535.2,96926.6,102744.5,105779.9,108206.8,112440.2,118053.8
 "05000","Arkansas",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
 "05000","Arkansas",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",836,781,808,912,979,1012,1025,1127,1171,1190,1242,1329,1314,1418,1464,1533,1668,1755,1925,2043,2184,2399,2623,2893,3178,3676,3993,4355,4726,5183,5912,6355,6773,7669,8006,8538,9533,10065,10588,10933,11754,12550,13137,13787,14838,15301,15957,16674,17424,17992,18855,19453,20199,21202,21936,23320,24645,25473,26662,27954,28699,28545,29278,30788,33039,32750,34621,35516,36185,37443,39171
 "06000","California",8,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",16422.1,17029.3,18994.4,21517.5,23600.7,25509.2,26515.2,28992.7,31859.3,34142.3,35986.1,39212.7,41297.8,43781.8,47106.9,50357.9,55413.0,59226.7,64053.3,68608.2,74321.6,80909.1,88696.5,95640.1,103193.2,114302.3,126995.2,142188.2,156188.0,172077.6,194344.8,218823.1,248346.5,279731.4,301925.0,327046.4,363016.2,390127.6,419192.1,446458.4,489727.3,522102.1,560582.5,586642.5,623681.3,639159.8,658421.4,688273.7,723365.6,761912.3,823461.7,866990.3,938515.8,993174.5,1046531.5,1105966.0,1178646.5,1229377.3,1318387.4,1366273.2,1394628.1,1392483.4,1450285.8,1529157.4,1628144.1,1632730.6,1744748.1,1861883.1,1944816.9,2034720.6,2167721.0
 "06000","California",8,SAINC51,52,"...","Population (persons) 1/","Number of persons",10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
 "06000","California",8,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1632,1647,1779,1933,2028,2082,2080,2208,2323,2394,2418,2535,2602,2654,2759,2850,3053,3187,3397,3578,3832,4105,4430,4701,5013,5477,5998,6602,7121,7699,8509,9410,10434,11518,12165,12896,14046,14755,15467,16073,17205,17869,18711,19253,20135,20437,20913,21714,22592,23454,24963,25881,27613,28805,30011,31372,33132,34313,36600,37690,38100,37674,38860,40624,42890,42651,45171,47798,49601,51644,54800
 "08000","Colorado",7,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",1721.6,1759.6,1927.9,2251.7,2395.9,2428.7,2523.5,2758.2,3013.0,3338.0,3399.7,3657.8,3864.0,4157.7,4393.6,4601.9,4964.2,5287.4,5644.2,6057.9,6650.5,7383.1,8450.1,9583.1,10704.4,12286.4,13711.9,15358.1,16806.3,18613.9,21393.9,24358.8,27893.9,31904.3,34991.7,38709.9,42355.6,44775.6,46686.9,48254.9,51195.3,54754.5,57786.7,61378.4,66691.0,71993.9,77212.5,83917.8,89863.2,95959.8,105661.4,113760.5,125716.5,133456.9,137072.0,141261.8,146521.4,154743.1,165881.1,175525.8,182427.0,178805.8,183642.2,197108.2,209932.0,219136.8,238092.1,248185.5,252066.8,271481.1,292780.1
