GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",118057588,124654410,135387478,141344453,146505245,155175020,169638742,188136505,209126960,220735917,223345839,211975307,215523641,226365302,236846094,242855587,257410031,271132762,282477649,299613018,317912916
 "04000","Arizona",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
 "04000","Arizona",6,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",86135847,92221671,100790169,104944956,108532134,114295135,124975811,137528773,152576251,159264708,156856419,145557336,146275244,152291732,159469640,166847274,173927648,182172384,190104048,201273424,213234030
 "04000","Arizona",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",9786016,10487608,11419040,11946096,12345684,12824161,13891737,15247857,16722166,17692604,17903581,17067994,17245535,15978553,16522656,19313529,19980213,21006655,21910898,23197456,24716711
 "04000","Arizona",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",5029953,5431735,5906779,6151764,6359086,6639672,7217130,7984513,8783288,9232304,9325192,8997278,9147909,7576131,7817658,10317869,10812230,11383100,11918766,12647363,13582001
 "04000","Arizona",6,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4756063,5055873,5512261,5794332,5986598,6184489,6674607,7263344,7938878,8460300,8578389,8070716,8097626,8402422,8704998,8995660,9167983,9623555,9992132,10550093,11134710
 "04000","Arizona",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",405885,466286,524999,637767,695772,796320,946475,1058007,1091791,1174866,1214028,1224121,1248968,1248199,1348811,1345007,1454322,1516833,1604935,1652462,1744341
 "04000","Arizona",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",76755716,82200349,89896128,93636627,96882222,102267294,112030549,123338923,136945876,142746970,140166866,129713463,130278677,137561378,144295795,148878752,155401757,162682562,169798085,179728430,190261660
 "04000","Arizona",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",26171837,26338452,28463462,28395154,28109445,29432655,31833059,36310388,41048952,44204948,43818786,38251369,37359222,40981012,44698158,44440006,49236537,53377629,55444081,59158629,64150445
