GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11000","District of Columbia",2,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",21533672,22559330,24794523,25677464,25869790,26177753,28501723,30163906,32001079,34480237,35462270,35798825,38481501,41786280,43426932,44189323,47259881,50940464,53192420,54938168,57604817
 "11000","District of Columbia",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455
 "11000","District of Columbia",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",38097,39563,43344,44695,45136,46047,50201,53186,56075,60028,61117,60448,63597,67441,68418,67939,71334,75439,77475,78969,82005
 "11000","District of Columbia",2,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",40635376,44067009,46750045,50025721,52651937,55164930,59956281,63302277,65684929,69568203,71891319,73246239,78016079,81592589,82523692,83740894,87975695,92696812,96461606,99714790,104461911
 "11000","District of Columbia",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3742371,4084010,4309966,4922142,5233272,5453401,5835906,6160656,6523511,6876650,7402914,7630832,8047422,7369154,7611309,8863440,9281928,9662406,9971922,10342354,10826364
 "11000","District of Columbia",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1783705,1957362,2067845,2343655,2490013,2608518,2794369,2960868,3158728,3343650,3596564,3683089,3887237,3035165,3147987,4295609,4509367,4690604,4868344,5055143,5317728
 "11000","District of Columbia",2,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1958666,2126648,2242121,2578487,2743259,2844883,3041537,3199788,3364783,3533000,3806350,3947743,4160185,4333989,4463322,4567831,4772561,4971802,5103578,5287211,5508636
 "11000","District of Columbia",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-22791052,-24874111,-25485667,-27224796,-29486162,-31608559,-34103362,-36175951,-37314567,-39185554,-40872448,-41095370,-43310828,-45566653,-45343851,-44926211,-46273090,-47705326,-49557567,-51187695,-53720855
 "11000","District of Columbia",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",14101953,15108888,16954412,17878783,17932503,18102970,20017013,20965670,21846851,23505999,23615957,24520037,26657829,28656782,29568532,29951243,32420677,35329080,36932117,38184741,39914692
 "11000","District of Columbia",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4692941,4714456,5023531,4883348,4728776,4811569,5188959,5629196,6532128,7095420,7572666,6532945,6402411,7364963,8200491,8261015,8956902,9489854,9699195,10089477,10875537
