GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",22502296,24170220,26663812,29402432,30386818,31094568,32376705,33303111,35265500,36340552,35993238,36284168,36725658,39825621,40338442,40949449,42888279,45150728,46042107,48188958,50783109
 "10000","Delaware",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899595,907316,915188,923638,932596,941413,949216,957078,967171
 "10000","Delaware",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29479,31188,33907,36952,37693,38013,38970,39405,41041,41687,40722,40690,40825,43894,44077,44335,45988,47961,48505,50350,52507
 "10000","Delaware",2,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",18597249,20613193,22518510,25074167,25776614,26269634,27150896,27785406,29110592,29371426,28224890,27964277,28256447,30528151,30602136,31222581,32653340,34249637,34313848,35517613,36813834
 "10000","Delaware",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1996563,2133679,2236879,2294727,2398919,2500273,2689736,2819731,3000733,3083806,3191919,3121673,3143862,2846533,2980473,3483310,3676059,3826111,3863498,4003230,4179530
 "10000","Delaware",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1003989,1077627,1130197,1169459,1226804,1282112,1378359,1453753,1551790,1603400,1657735,1625833,1640583,1305247,1372838,1833600,1915901,2006230,2053932,2137954,2263191
 "10000","Delaware",2,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",992574,1056052,1106682,1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1760158,1819881,1809566,1865276,1916339
 "10000","Delaware",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1455860,-1695988,-1789987,-1809296,-1760700,-1800416,-1940173,-2088683,-2320772,-2166173,-2216268,-1541088,-1734269,-2154167,-2165278,-2100617,-2469421,-2628447,-2285639,-2382121,-2096627
 "10000","Delaware",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",15144826,16783526,18491644,20970144,21616995,21968945,22520987,22876992,23789087,24121447,22816703,23301516,23378316,25527451,25456385,25638654,26507860,27795079,28164711,29132262,30537677
 "10000","Delaware",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4657977,4572336,5101680,5064644,5141390,5229961,5661654,5904270,6580193,6911725,7058949,6351161,6188926,6825464,7234093,7273111,7885797,8309998,8458230,9072424,9781617
 "10000","Delaware",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2699493,2814358,3070488,3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037684,8494622,9045651,9419166,9984272,10463815
