GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13000","Georgia",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",205702412,219456642,237444851,249221073,256188816,265611887,280261986,297505555,317584337,332135843,334334519,327516282,335268373,358538631,368868130,374489147,400696073,424356326,439942976,463755656,488964103
 "13000","Georgia",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
 "13000","Georgia",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26159,27275,28861,29751,30111,30803,31960,33331,34687,35523,35175,34042,34522,36580,37254,37549,39795,41681,42693,44536,46482
 "13000","Georgia",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",162831621,176615972,190314824,199208762,203534375,211055830,223622570,234461123,247332843,253965751,249905534,243352042,247331832,257811045,266463546,275964337,292893487,309572932,323199634,340405228,356655641
 "13000","Georgia",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16838819,18150696,19381844,20150584,20554810,21153556,23014697,23998878,25477473,26199749,27303347,26537380,27011221,24828327,25731148,30209028,31723724,33341457,34688787,36398204,37994527
 "13000","Georgia",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8830492,9547956,10174303,10556128,10817266,11139107,11806303,12439033,13334078,13836359,14430804,14038059,14268849,11582278,11985453,15979130,16859798,17754772,18575620,19634949,20737582
 "13000","Georgia",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",8008327,8602740,9207541,9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14863926,15586685,16113167,16763255,17256945
 "13000","Georgia",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-585243,-599869,-732404,-776716,-820969,-839974,-798643,-781521,-786394,-776990,-696680,-924886,-948045,-1183071,-1339045,-1514173,-1608135,-1562347,-1812181,-1754877,-1806563
 "13000","Georgia",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",145407559,157865407,170200576,178281462,182158596,189062300,199809230,209680724,221068976,226989012,221905507,215889776,219372566,231799647,239393353,244241136,259561628,274669128,286698666,302252147,316854551
 "13000","Georgia",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",37633562,37682756,41320603,42440869,41779789,43708276,45059758,49202718,55034996,60492757,61002279,55095842,53920465,61824922,65183669,63618845,71203690,76564924,77673143,83644414,90259028
 "13000","Georgia",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",22661291,23908479,25923672,28498742,32250431,32841311,35392998,38622113,41480365,44654074,51426733,56530664,61975342,64914062,64291108,66629166,69930755,73122274,75571167,77859095,81850524
 "13000","Georgia",5,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",121166254,130922882,141824901,145820293,146630131,150824647,158364432,167388833,177133954,186674049,188018370,178941842,180994228,187600952,195336726,200728603,212152512,224102657,234754166,246239475,258244080
 "13000","Georgia",5,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",23881742,25387015,27087341,28677046,30566826,32713720,35150275,36975944,39063017,40155382,40830585,42384213,42546119,44253882,44787692,48231268,50196224,51719841,53754095,55423834,58030532
 "13000","Georgia",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",15873415,16784275,17879800,19082590,20829282,22699271,23941881,25416099,26919622,27791992,27958042,29884892,29803747,31007833,31041997,34001370,35332298,36133156,37640928,38660579,40773587
 "13000","Georgia",5,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",8008327,8602740,9207541,9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14863926,15586685,16113167,16763255,17256945
 "13000","Georgia",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",17783625,20306075,21402582,24711423,26337418,27517463,30107863,30096346,31135872,27136320,21056579,22025987,23791485,25956211,26339128,27004466,30544751,33750434,34691373,38741919,40381029
 "13000","Georgia",5,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1502667,1680411,1565235,1863584,1313411,1752494,1815812,2080407,1250502,1449121,1718677,1580914,1034912,1301595,1974000,2243573,1557852,1948379,1228836,1779877,1705891
 "13000","Georgia",5,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",16280958,18625664,19837347,22847839,25024007,25764969,28292051,28015939,29885370,25687199,19337902,20445073,22756573,24654616,24365128,24760893,28986899,31802055,33462537,36962042,38675138
 "13000","Georgia",5,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1803166,1944686,1844571,2217970,1645019,2050742,2163432,2479740,1581212,1880553,2184485,1934399,1382522,1612088,2460429,2610802,2000451,2372754,1665691,2236710,2116717
