GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",367350200,383422716,412423055,427473310,432411991,439954703,457435410,476560054,508470324,538060086,551530997,525210738,540492620,567967515,593239141,607670820,637279309,662760794,670504220,689723793,724189111
 "17000","Illinois",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
 "17000","Illinois",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42092,44140,46044,47113,49444,51519,52273,53943,56839
 "17000","Illinois",3,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",280617034,298437312,319418964,332949048,338837372,345163983,359740107,370187199,390790971,407859269,411450382,388621145,398739564,417723153,434255385,453704763,469485364,484231070,491364251,503706504,525202552
 "17000","Illinois",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",29383571,30781624,32338178,33139974,33647887,34517623,36573790,38658374,40456615,42264958,43039488,41144546,41808422,39295837,41008443,47039808,48529443,50006595,51000394,52495944,54766309
 "17000","Illinois",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",14950850,15712908,16491582,16939880,17240601,17581993,18388093,19200566,20388944,21583059,22309049,21576204,21756247,17781499,18182342,24158234,25192623,26105773,26844743,27702322,29251199
 "17000","Illinois",3,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",14432721,15068716,15846596,16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23336820,23900822,24155651,24793622,25515110
 "17000","Illinois",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1034060,-1146227,-1379543,-1561546,-1668772,-1593237,-1631573,-1769991,-1832827,-2307070,-1771158,-2092785,-2139538,-2570136,-2412011,-2678041,-2344059,-2523218,-2648338,-3112240,-3288749
 "17000","Illinois",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",250199403,266509461,285701243,298247528,303520713,309053123,321534744,329758834,348501529,363287241,366639736,345383814,354791604,375857180,390834931,403986914,418611862,431701257,437715519,448098320,467147494
 "17000","Illinois",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",75592238,74703145,81832326,80789399,76792077,76603644,79641920,85034176,97156575,105421838,108605763,94120235,92446911,102840434,113033801,110498422,124034687,131351169,132592854,138346859,150390978
 "17000","Illinois",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",41558559,42210110,44889486,48436383,52099201,54297936,56258746,61767044,62812220,69351007,76285498,85706689,93254105,89269901,89370409,93185484,94632760,99708368,100195847,103278614,106650639
 "17000","Illinois",3,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",210272378,222634968,236918335,242225035,242962271,245880657,256636045,267015631,282717712,297875054,303356416,286703028,290793786,302711458,314743587,320099420,333327916,350159785,355627526,367462897,382942059
 "17000","Illinois",3,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",43344433,45734765,48429664,52851282,56199548,58743590,61947948,65814715,68510409,70882768,72041801,72062095,71762957,74923523,77371801,80287560,79965873,80951102,82819060,85246887,88937204
 "17000","Illinois",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",28911712,30666049,32583068,36651188,39792262,41807960,43762251,46356907,48442738,50200869,51311362,52493753,51710782,53409185,54545700,57405986,56629053,57050280,58663409,60453265,63422094
 "17000","Illinois",3,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",14432721,15068716,15846596,16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23336820,23900822,24155651,24793622,25515110
 "17000","Illinois",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",27000223,30067579,34070965,37872731,39675553,40539736,41156114,37356853,39562850,39101447,36052165,29856022,36182821,40088172,42139997,53317783,56191575,53120183,52917665,50996720,53323289
 "17000","Illinois",3,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1146635,704247,1434086,1278325,609301,1399633,3081947,1281796,1525605,2668508,3888354,2042835,2053866,4735252,2534823,7482458,3044025,-273484,2051813,1774840,2410281
 "17000","Illinois",3,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",25853588,29363332,32636879,36594406,39066252,39140103,38074167,36075057,38037245,36432939,32163811,27813187,34128955,35352920,39605174,45835325,53147550,53393667,50865852,49221880,50913008
 "17000","Illinois",3,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1536752,1082770,1809843,1691395,996782,1891219,3667806,1779641,1977255,3238457,4481838,2565306,2558249,5361787,3060706,7957882,3552756,293032,2633394,2268388,2973406
 "17000","Illinois",3,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",279080282,297354542,317609121,331257653,337840590,343272764,356072301,368407558,388813716,404620812,406968544,386055839,396181315,412361366,431194679,445746881,465932608,483938038,488730857,501438116,522229146
 "17000","Illinois",3,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",241396001,257620475,275793357,285218048,288782170,292334052,302436514,312879293,331525668,345532774,345855315,322996116,330269027,346654767,365457960,377306571,396967352,414614023,420236655,432014878,451052924
 "17000","Illinois",3,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",195920,185566,212204,230786,220624,209054,195077,218016,267343,246695,249410,241913,313332,300091,365169,334976,406425,458727,461040,474619,497075
 "17000","Illinois",3,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),9824,10035,9794,9825,10499,13376,11007,7144,5405,9218,6386,7411,8980,8126,6531,5437,4869,4937
 "17000","Illinois",3,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),2971,3299,3164,1890,1522,2291,172,-1092,-1155,-536,-1476,-108,-1488,-1318,-11,32,478,638
 "17000","Illinois",3,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",183629,172707,198309,217991,207290,196096,183362,205995,251676,235516,243358,237663,304650,295181,357866,327484,399617,452207,455571,469272,491500
 "17000","Illinois",3,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",2382583,2266245,3181961,4727758,4817791,4931769,3976057,3138895,2521793,1622287,2870450,1641620,1538386,1330054,1282860,1293675,1355675,1039854,845041,1032928,1133186
 "17000","Illinois",3,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",1793002,1680697,2635448,4141260,4251189,4364223,3391162,2502447,1829203,910899,2169351,980487,837894,560461,488390,536998,545973,256815,164587,284517,332371
 "17000","Illinois",3,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",546978,547110,498481,526549,516175,517420,528020,570414,606705,618660,576466,568951,617523,630016,664125,619857,665240,672429,639092,638102,664367
 "17000","Illinois",3,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",42603,38438,48032,59949,50427,50126,56875,66034,85885,92728,124633,92182,82969,139577,130345,136820,144462,110610,41362,110309,136448
 "17000","Illinois",3,SAINC5N,300,"22","   Utilities","Thousands of dollars",2784820,3001019,3074771,3553411,3460852,3160452,3567100,3501756,3657607,3154453,3352877,3011329,3130967,3601523,3480367,3698361,4033309,4199380,4189230,4668479,4807575
 "17000","Illinois",3,SAINC5N,400,"23","   Construction","Thousands of dollars",15383538,17429972,19219143,19892754,20494297,21391625,22188079,23054208,24600459,24226845,22918900,18734555,18919771,18706052,18209971,20554546,22226199,23892615,24041009,24996297,26046882
 "17000","Illinois",3,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",3545193,4012268,4460167,4595413,4893484,5353526,5751158,6027999,6175029,5991511,5321119,3644628,4862899,4423796,3473369,5422972,5717131,5603982,5649714,6068319,6461226
 "17000","Illinois",3,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1465253,1665288,1815105,1846516,1981552,2184618,2292097,2380236,2604739,2731071,2985509,2556058,2110917,2167484,2276535,2400039,2700404,3351068,3241432,3173897,3308123
 "17000","Illinois",3,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",10373092,11752416,12943871,13450825,13619261,13853481,14144824,14645973,15820691,15504263,14612272,12533869,11945955,12114772,12460067,12731535,13808664,14937565,15149863,15754081,16277533
