GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22000","Louisiana",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",98943993,101397141,107072494,114459006,117698461,121131961,126295608,135921323,143643335,157374298,168069987,163751636,171098211,177105109,186589357,189197094,198233896,200748457,199879233,205227413,215488654
 "22000","Louisiana",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978
 "22000","Louisiana",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38710,40556,40911,42684,43034,42726,43938,46242
 "22000","Louisiana",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",71525160,73947489,78158188,83629559,86666273,90123143,93010152,97082303,104028882,109757143,117822918,115721098,121580904,123463754,128701204,133486329,141303892,139442737,135453626,139420488,145515832
 "22000","Louisiana",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7529900,7650556,7906080,8344845,8644175,8884961,9166859,9386593,10064220,10738629,11404668,11365562,11720989,10832089,11163519,13013630,13558792,13806120,13769701,14182040,14822375
 "22000","Louisiana",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3922603,4001730,4126046,4377263,4550432,4681364,4847541,5029001,5450730,5813782,6191444,6191408,6406229,5247428,5405711,7067514,7406152,7513986,7602936,7873500,8326529
 "22000","Louisiana",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3607297,3648826,3780034,3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6152640,6292134,6166765,6308540,6495846
 "22000","Louisiana",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-236281,-216713,-229986,-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410647,-561462,-598211,-755358,-969854,-915746
 "22000","Louisiana",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",63758979,66080220,70022122,75012672,77723383,80889539,83460712,87334586,93540475,98566531,105921585,103871578,109346081,112217529,117189484,120062052,127183638,125038406,120928567,124268594,129777711
 "22000","Louisiana",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18371998,18066064,19362045,19162685,18602425,18820822,19185006,20867167,24542549,32214029,31860979,27769155,27262053,29941090,33686665,32176930,34375726,35009970,35849580,36741186,39694338
