GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",206428151,220404974,245253198,255085099,254408842,259978783,273462549,285642536,307519297,323111290,335841387,332020585,348423277,365742666,382009395,385191923,405505861,432102283,446918261,468299707,494764638
 "25000","Massachusetts",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149
 "25000","Massachusetts",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",32914,34889,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53061,55305,57332,57372,59954,63583,65473,68233,71683
 "25000","Massachusetts",1,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",160568424,175166721,196653749,203141126,201989101,204878500,218075918,224483237,237072529,248612357,254459587,252410013,267178413,275868451,285943448,293292427,304221318,322251573,332977517,350803003,368568389
 "25000","Massachusetts",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",17059783,18308472,20252907,20769057,20728829,20950918,22740745,23801368,24663032,25846393,26683459,26302163,26858985,25046116,25913592,30058347,31528232,32699698,33850041,35631183,37262824
 "25000","Massachusetts",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8654385,9336615,10311264,10555034,10632416,10776598,11346595,11908734,12472750,13196837,13673425,13443090,13688313,11224665,11593073,15478540,16331689,17198207,17849273,18820537,19766826
 "25000","Massachusetts",1,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",8405398,8971857,9941643,10214023,10096413,10174320,11394150,11892634,12190282,12649556,13010034,12859073,13170672,13821451,14320519,14579807,15196543,15501491,16000768,16810646,17495998
 "25000","Massachusetts",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3601829,-4185353,-5049904,-5196823,-5088234,-5090974,-5588404,-5426385,-5697144,-6110632,-6077682,-5472377,-5996489,-6648946,-7380130,-7341547,-6940150,-7815416,-8638727,-9245418,-10530487
 "25000","Massachusetts",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",139906812,152672896,171350938,177175246,176172038,178836608,189746769,195255484,206712353,216655332,221698446,220635473,234322939,244173389,252649726,255892533,265752936,281736459,290488749,305926402,320775078
 "25000","Massachusetts",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",40969460,41274250,46018046,47426846,45154542,46194251,47351611,51327119,59874252,63828724,65471514,58067614,57955664,65163193,72588996,71973396,80641444,87074220,90701658,96038610,104550500
 "25000","Massachusetts",1,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",25551879,26457828,27884214,30483007,33082262,34947924,36364169,39059933,40932692,42627234,48671427,53317498,56144674,56406084,56770673,57325994,59111481,63291604,65727854,66334695,69439060
 "25000","Massachusetts",1,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",121961433,132671526,149369747,151752080,148692375,150527751,158670697,163382972,172745038,184209823,189831902,181837492,187421072,195638259,203708747,209944627,221938380,235484139,242559029,254886663,267923243
 "25000","Massachusetts",1,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",23675057,25446281,28326598,29329815,30087140,30987319,33853439,35554920,36698066,38843303,40256792,39632635,42077645,44681865,46298622,47417354,47974709,50969258,51496752,54367313,57234612
 "25000","Massachusetts",1,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",15269659,16474424,18384955,19115792,19990727,20812999,22459289,23662286,24507784,26193747,27246758,26773562,28906973,30860414,31978103,32837547,32778166,35467767,35495984,37556667,39738614
 "25000","Massachusetts",1,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",8405398,8971857,9941643,10214023,10096413,10174320,11394150,11892634,12190282,12649556,13010034,12859073,13170672,13821451,14320519,14579807,15196543,15501491,16000768,16810646,17495998
 "25000","Massachusetts",1,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",14931934,17048914,18957404,22059231,23209586,23363430,25551782,25545345,27629425,25559231,24370893,30939886,37679696,35548327,35936079,35930446,34308229,35798176,38921736,41549027,43410534
 "25000","Massachusetts",1,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",4938,14613,23751,-1386,-5275,6960,25356,26229,19706,-779,66425,42456,49230,64178,66705,40818,-24937,-10448,-30594,-12641,-19393
 "25000","Massachusetts",1,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",14926996,17034301,18933653,22060617,23214861,23356470,25526426,25519116,27609719,25560010,24304468,30897430,37630466,35484149,35869374,35889628,34333166,35808624,38952330,41561668,43429927
 "25000","Massachusetts",1,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",107774,108198,131152,110012,131449,130494,146186,124709,131542,132411,193411,164389,165526,165065,230941,208174,152654,137276,137848,125554,119783
 "25000","Massachusetts",1,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",160460650,175058523,196522597,203031114,201857652,204748006,217929732,224358528,236940987,248479946,254266176,252245624,267012887,275703386,285712507,293084253,304068664,322114297,332839669,350677449,368448606
 "25000","Massachusetts",1,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",140646780,153992628,174413932,179819487,177552027,179601381,191565702,196930823,208036433,218207658,222740940,219942853,233815640,241714038,250385557,256151950,265520628,281999766,292230578,309214664,325438809
 "25000","Massachusetts",1,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",283357,328617,402042,445526,450732,458820,490722,586690,653732,430060,438445,545192,1008975,844412,873048,698933,534575,626112,622203,658097,681056
 "25000","Massachusetts",1,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",17561,17792,22234,21687,17513,28137,45160,104563,144351,-1266,40593,132338,492118,380605,390344,260340,111675,120132,94879,89497,96405
 "25000","Massachusetts",1,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",196968,233110,291286,326705,327939,320265,314398,343764,352119,285206,251700,271427,364500,393623,419031,380284,361697,429956,444334,481454,491828
 "25000","Massachusetts",1,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",68828,77715,88522,97134,105280,110418,131164,138363,157262,146120,146152,141427,152357,70184,63673,58309,61203,76024,82990,87146,92823
 "25000","Massachusetts",1,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",146838,143571,185909,285793,294041,264387,159997,136139,155748,155402,198114,136942,130150,68319,161124,181380,444070,301812,266305,128297,141571
 "25000","Massachusetts",1,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",75132,70157,111541,201817,207442,162806,47907,23931,(D),(D),(D),(D),(D),3328,98177,114918,367367,222094,178073,(D),(D)
 "25000","Massachusetts",1,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",70898,72621,73372,(D),(D),96721,105937,107668,(D),99296,76108,69352,56733,57276,54506,54543,63744,66492,74657,86208,88371
 "25000","Massachusetts",1,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),4860,6153,4540,(D),(D),(D),(D),(D),7715,8441,11919,12959,13226,13575,(D),(D)
 "25000","Massachusetts",1,SAINC5N,300,"22","   Utilities","Thousands of dollars",980049,1034027,1098941,1264380,1186157,1211451,1132656,1200412,1576649,1627135,2414679,1412035,1707321,1765318,1593278,1848086,2005368,1978829,1819930,2597672,2711223
 "25000","Massachusetts",1,SAINC5N,400,"23","   Construction","Thousands of dollars",8642651,10146138,11811628,13156822,13818256,13609147,14132358,14495707,15057673,14505257,13700017,12440793,12883359,13665709,15331579,16205149,17185492,18745488,19614751,21045062,22604316
 "25000","Massachusetts",1,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2007565,2335170,2679644,3089171,3353943,3318775,3326916,3417978,3540190,3477428,3472557,3268481,3005248,3222168,3800427,4123311,4359705,4769231,4918781,5092797,5431687
 "25000","Massachusetts",1,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1100705,1291951,1461091,1528268,1670595,1298363,1180939,1098677,1078959,1154837,1151273,1013198,1098399,1167510,1355199,1355797,1347990,1467960,1590381,1870758,1925178
 "25000","Massachusetts",1,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",5534381,6519017,7670893,8539383,8793718,8992009,9624503,9979052,10438524,9872992,9076187,8159114,8779712,9276031,10175953,10726041,11477797,12508297,13105589,14081507,15247451
 "25000","Massachusetts",1,SAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",23310107,24751241,26741269,25815198,23575783,23428833,24741164,24699826,25231268,26479525,25690210,23750027,24807922,25504306,26162467,25552381,26209995,27110525,26645612,27557869,27938423
 "25000","Massachusetts",1,SAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",16646627,17958506,19542994,18714478,16996786,16520120,17287111,17142531,17406383,18411452,18188147,16514432,17725383,17916608,18179702,17564940,17906349,18306121,18897072,19584694,19641908
 "25000","Massachusetts",1,SAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",118010,128536,140209,143546,131519,138915,160492,160790,152917,119136,102783,115423,140948,149827,142118,(D),(D),174318,181009,183760,195141
 "25000","Massachusetts",1,SAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",416979,445999,472784,468240,428630,387922,406780,436746,444178,489746,465795,388145,396851,411970,408489,409195,420123,441615,445064,474344,487346
 "25000","Massachusetts",1,SAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",339429,359025,362007,327125,287463,267320,307852,302481,313640,333062,329466,262974,286892,276940,263524,251068,252069,224736,206911,215781,216424
 "25000","Massachusetts",1,SAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",2469751,2485373,2548935,2494049,2311254,2245466,2405789,2590169,2542304,2353204,2380464,2047488,2328835,2453676,2707084,2594626,2647843,2679968,2675853,2755372,2732370
 "25000","Massachusetts",1,SAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",2002871,1977777,2180699,1990355,1687780,1568274,1696694,1725048,1639117,1809679,1710602,1466256,1525318,1844964,1695907,1629991,1670690,1713851,1743379,1813092,1907333
 "25000","Massachusetts",1,SAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",7507185,8442814,9553043,8902342,7727477,7628920,7757913,7439829,7612230,8332680,7932956,7250967,7864367,7632057,7835569,7542542,7773204,7976119,8339114,8355612,8239733
 "25000","Massachusetts",1,SAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",921532,1003948,1124367,1083792,945587,958258,957716,974050,999195,1052400,1080497,937453,1002094,1065676,971580,949053,916433,936788,917288,969228,974890
 "25000","Massachusetts",1,SAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",133403,110662,123784,(D),119464,108897,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",1089646,1172780,1144588,(D),1269417,1279467,(D),(D),(D),(D),(D),(D),(D),(D),(D),1584491,1556673,(D),(D),(D),(D)
 "25000","Massachusetts",1,SAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",286597,309130,336140,321027,321344,304708,313915,321698,317903,326874,345597,276284,263359,268529,261551,268960,280593,286110,281940,296739,302253
 "25000","Massachusetts",1,SAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1361224,1522462,1556438,1656871,1766851,1631973,1862583,1830320,1897593,1963693,2149879,2113457,2236390,2146397,2212873,2103999,2143670,2224859,2357333,2760579,2724651
 "25000","Massachusetts",1,SAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",6663480,6792735,7198275,7100720,6578997,6908713,7454053,7557295,7824885,8068073,7502063,7235595,7082539,7587698,7982765,7987441,8303646,8804404,7748540,7973175,8296515
 "25000","Massachusetts",1,SAINC5N,531,"311","     Food manufacturing","Thousands of dollars",851101,869698,917607,915688,939209,974118,1035987,1122748,1162537,1162637,1173853,1257802,1388082,1447307,1536594,1592374,1685953,1597672,1504494,1565732,1567344
 "25000","Massachusetts",1,SAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",152294,165442,176885,178633,174015,167150,168689,165199,171070,179951,197960,188777,214750,223076,247279,235512,302306,321843,368891,371219,419049
 "25000","Massachusetts",1,SAINC5N,533,"313","     Textile mills","Thousands of dollars",550372,543100,557770,501953,473009,450055,433145,384697,335898,294278,237807,186378,213558,218320,235376,231710,234895,221710,213455,200875,203912
