GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",270151457,283993801,302644217,307686901,307192550,314558568,323431848,330450492,338507735,347961924,355102678,336954522,349577666,370676114,386568384,390199848,408617625,432391533,446521148,461485516,484029844
 "26000","Michigan",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
 "26000","Michigan",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37512,39059,39361,41147,43533,44868,46258,48423
 "26000","Michigan",3,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",207438191,220800626,235948679,237795063,238200642,242133937,248095114,251177994,253368614,254876788,251893313,232680094,240711471,252836143,263944861,271210743,280118443,294475461,304956861,317939299,330816386
 "26000","Michigan",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",24260305,25630699,26849398,26634050,26921842,27308210,28276578,29161803,29854423,30218783,30252514,28273608,28641053,26597874,27730160,32214541,33286160,34697148,35692563,37121473,38891443
 "26000","Michigan",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",11989518,12752311,13336593,13380836,13662979,13819288,14294525,14806260,15256329,15532915,15666157,14774871,14985117,12358061,12806738,16876322,17622389,18445773,19167161,20071895,21267256
 "26000","Michigan",3,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",12270787,12878388,13512805,13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15663771,16251375,16525402,17049578,17624187
 "26000","Michigan",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",992850,1080484,1098060,1188640,1216873,1272229,1368548,1444696,1630663,1676797,1682074,1516945,1579301,1727423,1911357,1918806,2075047,2095601,2219803,2330952,2367801
 "26000","Michigan",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",184170736,196250411,210197341,212349653,212495673,216097956,221187084,223460887,225144854,226334802,223322873,205923431,213649719,227965692,238126058,240915008,248907330,261873914,271484101,283148778,294292744
 "26000","Michigan",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",50734105,49971847,53403663,51862338,49634091,51159908,52927822,54540687,57369921,60385410,62067759,53609602,53243084,60168907,66313638,65901751,73322436,79118089,81466684,84777721,91960756
 "26000","Michigan",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",35246616,37771543,39043213,43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83383089,86387859,91399530,93570363,93559017,97776344
 "26000","Michigan",3,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",156280307,165325888,174162418,171959344,172325681,175569802,179139670,182331284,183864144,186808220,185467279,170005595,172681332,181926988,189590636,194929435,204256778,214599221,222534757,231772615,240365367
 "26000","Michigan",3,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",35018981,36998045,40567069,41536411,42017382,43169865,45603994,47281045,47577680,47513088,46842234,44985980,45908052,46212797,46449498,47009084,47309058,50843370,53464104,55112237,57885982
 "26000","Michigan",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",22748194,24119657,27054264,28283197,28758519,29680943,31621941,32925502,32979586,32827220,32255877,31487243,32252116,31972984,31526076,31670865,31645287,34591995,36938702,38062659,40261795
 "26000","Michigan",3,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",12270787,12878388,13512805,13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15663771,16251375,16525402,17049578,17624187
 "26000","Michigan",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",16138903,18476693,21219192,24299308,23857579,23394270,23351450,21565665,21926790,20555480,19583800,17688519,22122087,24696358,27904727,29272224,28552607,29032870,28958000,31054447,32565037
 "26000","Michigan",3,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",59467,290280,-6907,-29047,-27393,192602,566046,512763,615783,459221,723312,188385,866008,1942689,777894,1349544,402914,131454,-189589,-20201,62729
 "26000","Michigan",3,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",16079436,18186413,21226099,24328355,23884972,23201668,22785404,21052902,21311007,20096259,18860488,17500134,21256079,22753669,27126833,27922680,28149693,28901416,29147589,31074648,32502308
 "26000","Michigan",3,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",627895,820702,607208,564117,601799,714991,1154887,1047975,1150108,1242876,1367884,855354,1404701,2626949,1644147,2175084,1364531,1088730,894276,855983,1075366
 "26000","Michigan",3,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",206810296,219979924,235341471,237230946,237598843,241418946,246940227,250130019,252218506,253633912,250525429,231824740,239306770,250209194,262300714,269035659,278753912,293386731,304062585,317083316,329741020
 "26000","Michigan",3,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",179313874,190697845,204149901,204462812,203432821,205972081,210317953,212166896,213620365,214289741,210149191,190790721,196978464,209156703,221932475,228253681,238245745,250717418,260758160,272712585,283999229
 "26000","Michigan",3,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",219313,224544,257931,262268,244940,257358,292967,303354,310920,268382,252046,262361,306250,300481,344545,360973,424271,477015,510790,525770,551722
 "26000","Michigan",3,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",89951,89565,101815,100766,97553,103718,129050,141233,134139,108078,87002,74594,74530,74658,83595,95737,121717,151599,158700,153775,162103
 "26000","Michigan",3,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),8390,7152,4913,899,-272,1057,-2952,-5452,-3547,1831,1800,3463,3980,3917,5029,4692,5582,6212
 "26000","Michigan",3,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",123836,128786,149137,153112,140235,148727,163018,162393,175724,163256,170496,191314,229889,224023,257487,261256,298637,320387,347398,366413,383407
 "26000","Michigan",3,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",426610,438845,453191,468624,407127,453051,493799,622374,816903,740179,1298409,795854,1116814,1340220,1172349,1134187,1255033,807612,602038,597241,671339
 "26000","Michigan",3,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",56842,64422,66711,73210,66072,98332,112212,210090,378204,294627,810817,394559,689193,869571,686783,617549,711263,328127,181262,112821,134803
 "26000","Michigan",3,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",290145,301164,309303,310996,266569,279281,288446,315285,323704,316520,344216,288559,327955,336607,326808,338005,348086,322803,294363,316303,339889
 "26000","Michigan",3,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",79623,73259,77177,84418,74486,75438,93141,96999,114995,129032,143376,112736,99666,134042,158758,178633,195684,156682,126413,168117,196647
 "26000","Michigan",3,SAINC5N,300,"22","   Utilities","Thousands of dollars",1449007,1576384,1631648,1957964,1958142,2061280,2088057,2135583,2405474,2548925,2929988,2636845,2676002,2680667,2720519,2772364,2925934,3054808,3302325,3499044,3643753
 "26000","Michigan",3,SAINC5N,400,"23","   Construction","Thousands of dollars",11331783,13087432,14760544,14780263,14789930,14554896,14948605,14721138,14096474,12663525,10974382,9490708,10027974,10316586,12089606,12967487,14361839,15355620,16241493,17552447,18504051
 "26000","Michigan",3,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",2877142,3322368,3807647,3919324,4096083,3996716,3927679,3621458,3240685,2757206,2223988,2035633,2197036,1994334,2902260,3362391,3786843,4034908,4291469,4678723,5020954
 "26000","Michigan",3,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1087070,1265020,1515273,1458637,1399590,1311774,1411929,1425551,1336556,1180814,1031659,946177,1041511,1009136,1109689,1288319,1456974,1426502,1541923,1637914,1771471
 "26000","Michigan",3,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",7367571,8500044,9437624,9402302,9294257,9246406,9608997,9674129,9519233,8725505,7718735,6508898,6789427,7313116,8077657,8316777,9118022,9894210,10408101,11235810,11711626
 "26000","Michigan",3,SAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",52366980,53354928,55841693,53472950,49995569,50666035,50171201,49418519,48322142,47442337,43890626,34768731,35695109,39832726,42806703,43878403,44861521,47967658,49757992,53171071,55786641
 "26000","Michigan",3,SAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",43272574,44037758,46267604,42629763,40683067,40768419,40368411,39642144,38520690,37820781,34556682,26504317,27150266,30341176,32226561,33428451,34200721,36554851,38344662,41477454,43451839
 "26000","Michigan",3,SAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",550750,583372,595918,513595,488919,556449,580032,568045,540647,507369,506230,409672,417061,441382,488378,642406,749172,749038,732751,655957,688833
 "26000","Michigan",3,SAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",1070659,1175962,1233725,1160561,1152834,1150826,1067012,1065806,1012566,986137,911794,755277,769478,785226,686100,692712,734204,821588,910633,1009601,1070310
 "26000","Michigan",3,SAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",1904202,2001721,1988161,1836046,1778095,1725135,1927316,1936439,1916868,1874854,1870281,1245821,1455898,1721255,1814824,1762776,1771402,1770210,1722088,1946040,1989599
 "26000","Michigan",3,SAINC5N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",4360951,4690948,4811999,4368013,4321442,4307593,4589663,4758507,4790357,4732375,4587809,3514113,3949629,4524836,5029298,4988149,5311132,5517312,5540072,5676983,5914741
 "26000","Michigan",3,SAINC5N,515,"333","     Machinery manufacturing","Thousands of dollars",5856278,6087155,6203019,5492067,5018047,4957273,5197741,5458981,5428102,5193743,5109184,4329471,4357083,4867316,5371894,5627514,5823525,6101974,6191038,6584464,6734051
 "26000","Michigan",3,SAINC5N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",1210686,1268385,1301785,1327649,1292167,1240709,1294223,1432268,1487163,1564087,1579028,1411633,1401614,1102310,1028940,810475,1428,-196887,763517,1806175,1943888
 "26000","Michigan",3,SAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",867233,951653,943659,969990,992759,1064469,1122599,1083232,1001880,959142,1013426,878230,1076211,1105190,1112158,1220216,1219672,1446574,1475045,1608400,1571097
 "26000","Michigan",3,SAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",23694009,23443832,25262522,23210550,22160017,22440554,21432275,20151282,19078135,18528718,15412424,10898898,10688686,12623851,13311604,13822949,14667768,15963803,16397633,17123815,17933940
 "26000","Michigan",3,SAINC5N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",616597,612710,630936,603810,634873,668286,407346,404050,438073,494486,350358,305293,390420,513563,688864,885260,618881,835640,740185,874493,1050090
 "26000","Michigan",3,SAINC5N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",1916630,1919210,1979718,1842874,1566480,1411012,1434854,1499762,1512463,1586037,1573657,1264328,1190328,1279272,1318142,1358337,1427123,1531505,1609916,1703253,1751018
 "26000","Michigan",3,SAINC5N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",1224579,1302810,1316162,1304608,1277434,1246113,1315350,1283772,1314436,1393833,1642491,1491581,1453858,1376975,1376359,1617657,1876414,2014094,2261784,2488273,2804272
 "26000","Michigan",3,SAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",9094406,9317170,9574089,10843187,9312502,9897616,9802790,9776375,9801452,9621556,9333944,8264414,8544843,9491550,10580142,10449952,10660800,11412807,11413330,11693617,12334802
 "26000","Michigan",3,SAINC5N,531,"311","     Food manufacturing","Thousands of dollars",1573791,1604932,1571748,1593949,1645401,1638619,1646975,1690758,1759781,1657824,1730660,1786672,1873097,1849973,1903377,1996736,2056233,2122438,2239716,2371253,2486289
 "26000","Michigan",3,SAINC5N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",284548,303770,282127,270302,253391,251115,263134,273130,271903,282140,280296,287059,293584,347568,381381,405603,436810,412447,478621,448074,464705
 "26000","Michigan",3,SAINC5N,533,"313","     Textile mills","Thousands of dollars",45494,46753,42784,37085,33196,30244,29344,30847,33903,34166,33205,23215,23355,27382,31799,31040,30109,30261,35214,33129,34090
 "26000","Michigan",3,SAINC5N,534,"314","     Textile product mills","Thousands of dollars",91315,96835,108464,108043,120518,111350,105922,102979,112388,108837,93943,74715,83565,91799,108308,109955,114553,114091,114950,116492,118567
 "26000","Michigan",3,SAINC5N,535,"315","     Apparel manufacturing","Thousands of dollars",48781,53150,39891,36315,38497,30496,33763,46143,50516,56216,57987,50643,46709,46805,62147,62848,83074,99320,110927,99191,106009
 "26000","Michigan",3,SAINC5N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",94784,116178,121876,149288,75157,83485,74608,70189,72270,62999,68744,50095,58742,60177,64262,57883,74022,131852,61751,50981,50003
