GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "28000","Mississippi",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",56601880,58501645,61638176,64992885,66139059,68806622,72778583,77596415,80873344,85999513,89844970,88333012,91795431,95795189,99386424,101176748,103310764,104670148,106423507,108749235,112991668
 "28000","Mississippi",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
 "28000","Mississippi",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32163,33309,33852,34545,35022,35613,36375,37834
 "28000","Mississippi",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",39685848,41393847,42964350,44730363,45366094,47579007,50666934,52767665,54620042,56575131,58336277,56286592,58360399,59680804,62403048,65003119,65698737,65324491,66060501,68203564,70285971
 "28000","Mississippi",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4579182,4782857,4926115,5012801,5213514,5375431,5697919,5914163,6398930,6670899,6889340,6799149,6890766,6403696,6617230,7551224,7739269,7944283,8117493,8347302,8537647
 "28000","Mississippi",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2398000,2516436,2590849,2653737,2767915,2861781,3021686,3187482,3494763,3677392,3803644,3757849,3816734,3115809,3207117,4162657,4302649,4423305,4569368,4720481,4899418
 "28000","Mississippi",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2181182,2266421,2335266,2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3436620,3520978,3548125,3626821,3638229
 "28000","Mississippi",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989724,3048597,3196305,3256115,3262969,3414267
 "28000","Mississippi",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",36294380,37897516,39516052,41258253,41735979,43870437,46746638,48748950,50333790,52172583,53856166,51853324,53897130,55925964,58635908,60441619,61008065,60576513,61199123,63119231,65162591
 "28000","Mississippi",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",9888348,9872906,10596180,10867665,10588212,10495917,10508937,11387942,12956215,15459028,15197514,14251809,13808487,14934605,15835684,15267439,16066133,16781439,17046302,17346710,18553255
