GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",445327058,472726177,521195939,546214833,549585496,562945799,593093393,618914746,664359442,700903764,731718266,722099598,753784407,786208351,813572108,811871014,851130356,892108407,917117025,955172678,1008436168
 "91000","New England",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",13733828,13837653,13949721,14041043,14122441,14182454,14206683,14216656,14245540,14279205,14340115,14403575,14469783,14529652,14589870,14644797,14703653,14729548,14759146,14802967,14853290
 "91000","New England",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",32426,34162,37362,38901,38916,39693,41747,43534,46636,49086,51026,50133,52094,54111,55763,55438,57886,60566,62139,64526,67893
 "91000","New England",1,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",330708335,358223620,397232910,416039958,419316759,427472965,451222032,466335453,491323518,512634745,527103044,525517608,550200506,563133775,575232201,583446177,603184478,629021043,645619676,673376371,702157409
 "91000","New England",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",35667851,37881694,41129087,42478564,43106221,44051299,47107011,49066732,51069455,53392198,55036026,54100656,55130067,51191012,52763513,61077809,63561046,65951753,67897287,70893293,73570746
 "91000","New England",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",18247737,19509587,21141969,21914641,22310620,22845530,24100186,25242178,26579265,27983416,28894597,28290347,28703362,23551788,24150468,31963499,33486081,35054620,36278522,38025876,39818499
 "91000","New England",1,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",17420114,18372107,19987118,20563923,20795601,21205769,23006825,23824554,24490190,25408782,26141429,25810309,26426705,27639224,28613045,29114310,30074965,30897133,31618765,32867417,33752247
 "91000","New England",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",6550409,6507314,6760200,6808135,6899569,6968955,8000385,8821345,9945058,11516767,12569636,9806066,11706585,12183200,13874249,12988723,13404624,13625786,13068407,15142405,17758019
 "91000","New England",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",301590893,326849240,362864023,380369529,383110107,390390621,412115406,426090066,450199121,470759314,484636654,481223018,506777024,524125963,536342937,535357091,553028056,576695076,590790796,617625483,646344682
 "91000","New England",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",88640653,88989324,98285475,100639010,96285483,99163440,103645960,110787458,127763476,138616447,142648605,126509698,126447302,140617684,154976042,152540453,169504795,179653186,186135917,195074858,212349556
 "91000","New England",1,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",55095512,56887613,60046441,65206294,70189906,73391738,77332027,82037222,86396845,91528003,104433007,114366882,120560081,121464704,122253129,123973470,128597505,135760145,140190312,142472337,149741930
 "91000","New England",1,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",246152313,264366232,291619018,299152717,296968451,303323516,319793829,330617962,348716513,369495919,377988158,361807027,370503265,384767991,398192760,408166548,427971957,448897997,459685604,477248772,496596063
 "91000","New England",1,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",49418933,52835581,58008949,61221166,63288228,66294376,72063089,75540972,77590741,81542165,84170863,83003622,86738116,90121365,91625700,94083373,95391036,100223170,101097922,105608392,110466599
 "91000","New England",1,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",31998819,34463474,38021831,40657243,42492627,45088607,49056264,51716418,53100551,56133383,58029434,57193313,60311411,62482141,63012655,64969063,65316071,69326037,69479157,72740975,76714352
 "91000","New England",1,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",17420114,18372107,19987118,20563923,20795601,21205769,23006825,23824554,24490190,25408782,26141429,25810309,26426705,27639224,28613045,29114310,30074965,30897133,31618765,32867417,33752247
