GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "31000","Nebraska",4,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",44860767,46968837,49735572,51961895,52767697,56024389,58602395,60790127,63584164,68466071,72259906,71173478,74864169,83613634,86293705,86913907,91999040,95687428,94730780,97151035,102759317
 "31000","Nebraska",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
 "31000","Nebraska",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26454,27552,29020,30213,30532,32223,33499,34510,35869,38390,40225,39264,40920,45429,46562,46592,48948,50588,49703,50663,53263
 "31000","Nebraska",4,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",33762107,35720571,37537815,39445872,40300632,43121568,45517169,46943966,48330065,51528983,53500961,53557480,56418211,63125724,64076841,66255020,69755834,71919235,70285209,72038459,75499774
 "31000","Nebraska",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3855713,4061095,4241847,4412232,4573984,4741959,4956799,5220559,5616727,5846951,6043761,6055412,6268516,5732734,5898622,6760731,7097968,7384541,7583781,7973796,8251627
 "31000","Nebraska",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2005988,2110558,2202888,2283029,2359417,2443822,2565516,2702769,2901908,3059598,3174178,3203047,3250865,2650549,2749192,3594584,3769723,3923675,4055152,4282574,4480046
 "31000","Nebraska",4,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1849725,1950537,2038959,2129203,2214567,2298137,2391283,2517790,2714819,2787353,2869583,2852365,3017651,3082185,3149430,3166147,3328245,3460866,3528629,3691222,3771581
 "31000","Nebraska",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-714336,-799680,-867561,-874746,-902384,-937852,-944017,-940977,-856260,-947330,-979478,-956869,-898194,-963208,-998510,-968879,-936458,-1008950,-1064770,-1214542,-1167209
 "31000","Nebraska",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",29192058,30859796,32428407,34158894,34824264,37441757,39616353,40782430,41857078,44734702,46477722,46545199,49251501,56429782,57179709,58525410,61721408,63525744,61636658,62850121,66080938
 "31000","Nebraska",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",10157747,10282637,11197008,11082890,10797441,11128911,11176366,11739647,12793917,14310477,15200448,13575112,13744284,15091354,16930190,16054622,17378325,18627805,19047194,19598108,21170614
