GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",287244012,300854626,330957156,342304134,347456776,356314862,373078596,387392659,415890939,440165578,453018872,439087868,452466405,474015532,491662022,496465021,520079392,542097272,556439938,577080564,607884477
 "34000","New Jersey",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
 "34000","New Jersey",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51419,53696,55583,56045,58655,61110,62701,64924,68236
 "34000","New Jersey",2,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",201798426,213357244,234153627,242111326,249787233,257236755,268301034,277308091,290109473,300403475,305490285,300804102,306929632,313040879,325057257,335300449,346994248,358143988,365703577,381242360,395856387
 "34000","New Jersey",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",22685478,23765518,25554912,26592891,27298962,27735899,29106383,30543159,31791701,33660139,34557185,33747394,34242763,31436044,32108163,37383583,38484048,39795851,40482035,42222130,43293141
 "34000","New Jersey",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",11448130,12065743,12938158,13490987,14007838,14372869,15132393,15988795,16884321,17734211,18193104,17776731,17929870,14538664,14660467,19410927,20159843,20913219,21525127,22722629,23591185
 "34000","New Jersey",2,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18882632,18956908,19499501,19701956
 "34000","New Jersey",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40740039,43679772,46412418,47794356,49582514,54770309
 "34000","New Jersey",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",198709199,211087991,233145750,240699828,245294051,252554113,265317210,275330937,292170815,307018850,310478292,298167621,307720713,320701525,332691246,338656905,352189972,364760555,373015898,388602744,407333555
 "34000","New Jersey",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",56819935,56727360,62549785,62406551,59760568,60882560,64306762,66302108,74032689,81091901,83812755,75655858,74027441,81860242,88647751,86826823,93945984,100494452,103799899,107410096,116742938
 "34000","New Jersey",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",31714878,33039275,35261621,39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70981293,73943436,76842265,79624141,81067724,83807984
 "34000","New Jersey",2,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",150785679,159052400,174304126,177042075,179853579,184596020,192500126,199918283,210433596,219859775,224221733,214770059,217103826,221455462,228013420,233951798,240539836,250992416,256817765,265548523,275448185
 "34000","New Jersey",2,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",31287921,32412167,35128320,37151266,39968449,42036919,44654036,47673981,47527518,49049754,49622926,50646792,50771443,51428032,53035653,55180828,57040006,56186528,55841522,57971668,59938139
 "34000","New Jersey",2,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",20050573,20712392,22511566,24049362,26677325,28673889,30680046,33119617,32620138,33123826,33258845,34676129,34458550,34530652,35587957,37208172,38715801,37303896,36884614,38472167,40236183
 "34000","New Jersey",2,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18882632,18956908,19499501,19701956
 "34000","New Jersey",2,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",19724826,21892677,24721181,27917985,29965205,30603816,31146872,29715827,32148359,31493946,31645626,35387251,39054363,40157385,44008184,46167823,49414406,50965044,53044290,57722169,60470063
 "34000","New Jersey",2,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",88170,65867,127646,62303,30067,72019,94919,142536,157549,124607,91718,109617,98934,149199,156395,125236,33975,139887,48812,20492,-18469
