GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",334639484,348920120,373357070,388047055,395409363,408889660,432741604,451950374,475815289,505303602,523556674,511617927,534469857,563434875,587521891,592973388,619388021,644119451,659803448,679731095,720073441
 "42000","Pennsylvania",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
 "42000","Pennsylvania",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44210,46019,46411,48431,50378,51614,53144,56225
 "42000","Pennsylvania",2,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",242081729,256072351,272672491,284766797,291631040,301827246,322209692,334764226,346781964,363056377,369777165,359223438,375547689,392459733,406814955,422098081,436521302,452597943,459603403,473780120,495808236
 "42000","Pennsylvania",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",28148322,29402116,30863838,31934185,32820821,33631351,35353277,37148929,39022525,40565734,41793953,41263189,42359403,39418718,40325373,46661308,48217456,50106655,51043807,53509717,55033032
 "42000","Pennsylvania",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",14002894,14768937,15483011,16110140,16692197,17084206,18099995,18908791,20013484,21029489,21754354,21557256,22063561,18164199,18477721,24141079,25018429,26008388,26600201,27954194,29219260
 "42000","Pennsylvania",2,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24098267,24443606,25555523,25813772
 "42000","Pennsylvania",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",3270718,3556364,4055982,4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151906,8970890,8874296,9571923,9956127,10271505
 "42000","Pennsylvania",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",217204125,230226599,245864635,257149816,263401030,273276019,292725162,304507203,315100026,330715784,336559146,325291815,341191123,360907862,374718270,383588679,397274736,411365584,418131519,430226530,451046709
 "42000","Pennsylvania",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",65206270,64114961,69578798,69023193,66361099,67335270,69185209,71342213,80799218,89220877,91948112,82796984,82297157,91021021,101189136,96069763,104971964,109953855,112395187,119411736,129712621
 "42000","Pennsylvania",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",52229089,54578560,57913637,61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113314946,117141321,122800012,129276742,130092829,139314111
 "42000","Pennsylvania",2,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",175755250,184861731,195893879,201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296353875,308363976,312525564,325048748,339163814
 "42000","Pennsylvania",2,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",40032858,42853680,46291744,50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76037352,79096812,78443321,81322812,84407789
 "42000","Pennsylvania",2,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",25887430,28220501,30910917,34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52838325,54998545,53999715,55767289,58594017
 "42000","Pennsylvania",2,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24098267,24443606,25555523,25813772
 "42000","Pennsylvania",2,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",26293621,28356940,30486868,32836117,34204761,36297243,43217499,44236123,40924110,42613765,41375419,37763956,46165014,50365927,55394895,60836179,64130075,65137155,68634518,67408560,72236633
 "42000","Pennsylvania",2,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",421268,386311,612424,506024,26319,662912,974875,890581,603692,656894,739019,361775,763188,1277703,1379059,1628729,1936312,1031376,85925,858627,306858
 "42000","Pennsylvania",2,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",25872353,27970629,29874444,32330093,34178442,35634331,42242624,43345542,40320418,41956871,40636400,37402181,45401826,49088224,54015836,59207450,62193763,64105779,68548593,66549933,71929775
 "42000","Pennsylvania",2,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",892871,815228,1102993,1011296,641320,1227649,1544377,1365027,1139432,1324170,1372661,952128,1342080,1778780,2054500,2304887,2621958,1638859,784928,1530613,990758
 "42000","Pennsylvania",2,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",241188858,255257123,271569498,283755501,290989720,300599597,320665315,333399199,345642532,361732207,368404504,358271310,374205609,390680953,404760455,419793194,433899344,450959084,458818475,472249507,494817478
 "42000","Pennsylvania",2,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",208076719,220594776,234896349,243819739,248632541,256026801,273413600,284933577,294913628,308907364,314041278,302762875,316870662,333954872,349377418,362165686,375767393,391766799,399286933,411784464,432845289
 "42000","Pennsylvania",2,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",412230,411571,488147,510032,491490,501749,581941,606159,654100,498946,475628,467930,597894,562832,682334,698949,755465,841511,842145,881410,929520
 "42000","Pennsylvania",2,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",146481,144098,170366,(D),(D),(D),(D),257643,(D),(D),181909,167444,229247,225622,307299,323382,361465,416234,401175,424624,441363
 "42000","Pennsylvania",2,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),10643,(D),(D),(D),(D),2678,(D),(D),-1754,-2910,-434,123,793,123,-59,1089,867,1418,1383
 "42000","Pennsylvania",2,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",258804,260100,307138,334476,325903,321109,356914,345838,386442,303566,295473,303396,369081,337087,374242,375444,394059,424188,440103,455368,486774
 "42000","Pennsylvania",2,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1373356,1306156,1389137,1544359,1498789,1716589,2175395,2678971,3082513,2651406,4319953,2806064,3276849,3917947,4021119,4476871,5118614,3386881,2186526,3920361,4539579
 "42000","Pennsylvania",2,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",306042,281431,368757,466578,467246,678966,1001730,1327279,1606273,1196509,2819534,1434587,1596983,1512346,1408992,2135791,2583942,1258444,727636,1914878,2234624
 "42000","Pennsylvania",2,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",955479,913027,893382,941668,884445,884729,988963,1141842,1212605,1133170,1091029,920289,884969,1054275,1051719,786923,699899,619415,585474,826426,835590
 "42000","Pennsylvania",2,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",111835,111698,126998,136113,147098,152894,184702,209850,263635,321727,409390,451188,794897,1351326,1560408,1554157,1834773,1509022,873416,1179057,1469365
 "42000","Pennsylvania",2,SAINC5N,300,"22","   Utilities","Thousands of dollars",2437744,2534622,2704054,3182408,3192117,2941597,2702627,2670519,2743013,2897950,3127126,2925046,2877758,3192856,3009841,3128908,3206533,3627147,3725232,3731811,3906266
 "42000","Pennsylvania",2,SAINC5N,400,"23","   Construction","Thousands of dollars",14434043,16267515,17815994,19119297,19761186,20229013,20379781,21131401,23162605,23163237,22072073,18572196,20663313,21615892,21931726,22731495,24722327,26085630,26621423,28566527,30160912
 "42000","Pennsylvania",2,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",3983346,4546171,4919860,5405358,5808086,5709401,5256400,5342151,6044094,6060660,5952390,3392479,4429265,4466949,3643120,4315552,5249626,6194463,6649551,7005945,7381857
 "42000","Pennsylvania",2,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1521011,1654544,1798516,1965040,1959208,2059223,2122031,2286681,2558974,2674696,2671042,2753388,2964476,3415371,3637030,3420840,3642106,3420694,3318791,4144482,4627297
 "42000","Pennsylvania",2,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",8929686,10066800,11097618,11748899,11993892,12460389,13001350,13502569,14559537,14427881,13448641,12426329,13269572,13733572,14651576,14995103,15830595,16470473,16653081,17416100,18151758
 "42000","Pennsylvania",2,SAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",41596219,42327285,44381648,43596272,42092404,40743956,41545323,42924781,43777786,43632217,43785470,39475585,39801852,41053207,41946381,42672121,43854572,45342894,44174112,46392827,48479491
 "42000","Pennsylvania",2,SAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",25809946,26264979,27306587,26252342,25290205,24662621,25695505,26515977,27190713,27013319,27181735,23785276,23933250,25291104,25737940,25809692,26288022,27012802,26109613,27320272,28652124
