GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "94000","Plains",4,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",502897619,523455542,560295645,579856813,590908157,615671094,649865331,675196448,717073553,763551896,807975328,784970734,814191155,874230144,924061444,934446443,975636963,1008477230,1023813138,1056861464,1114270242
 "94000","Plains",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",18988053,19130836,19275412,19374967,19468009,19569167,19687933,19802730,19956982,20105697,20248815,20392583,20536210,20639556,20750024,20870622,20984207,21084672,21176827,21277130,21376861
 "94000","Plains",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26485,27362,29068,29928,30353,31461,33008,34096,35931,37977,39902,38493,39647,42357,44533,44773,46494,47830,48346,49671,52125
 "94000","Plains",4,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",380303195,400971851,427788433,441902639,452404447,472864983,502819916,520120796,543671707,572356717,597328780,578517138,599336620,636811103,669722047,694809648,714986709,733552156,738643768,760694338,794178924
 "94000","Plains",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",43758524,46128565,48646110,50180329,51454119,53396339,56026479,58723386,62087684,64930476,67567643,66211948,67454904,62812570,65078582,75793100,78652872,81597417,83251076,86230153,89581648
 "94000","Plains",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",22551960,23841584,25082123,25946949,26681162,27529436,28943445,30388925,32310911,34102661,35544592,34918754,35299919,29080122,30095035,39689143,41457052,43057182,44240581,45997871,48392204
 "94000","Plains",4,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",21206564,22286981,23563987,24233380,24772957,25866903,27083034,28334461,29776773,30827815,32023051,31293194,32154985,33732448,34983547,36103957,37195820,38540235,39010495,40232282,41189444
 "94000","Plains",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-3929727,-4236693,-4537135,-4636948,-4688847,-4853132,-5119478,-5408616,-5672474,-5688500,-6129477,-5252151,-5108252,-5333326,-5908360,-6334969,-7066236,-7286201,-7198374,-7238352,-7620009
 "94000","Plains",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",332614944,350606593,374605188,387085362,396261481,414615512,441673959,455988794,475911549,501737741,523631660,507053039,526773464,568665207,598735105,612681579,629267601,644668538,648194318,667225833,696977267
 "94000","Plains",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",106716969,106337487,114521054,114525656,110479643,113764928,116782194,122270409,136244877,149063758,156964222,140282127,140118948,155924474,175359911,168250487,185818910,196089095,202668287,212613785,230320508
