GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",28410408,29751387,32048854,33733623,35133397,36973990,38907815,39747476,41711703,43394632,44051491,42952560,45261024,47066997,48810328,48772692,50863477,52864975,53425535,55337496,57993810
 "44000","Rhode Island",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
 "44000","Rhode Island",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42945,44675,46283,46225,48165,50053,50541,52379,54850
 "44000","Rhode Island",1,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",19369472,20607633,22240977,23244151,24486338,25913995,27217979,28009041,29368890,29871416,29746729,28713361,30603690,31192617,32495196,33183036,34447326,35588910,35951026,36932187,38038266
 "44000","Rhode Island",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2471616,2588920,2756210,2866388,2960762,3118624,3285519,3403204,3592067,3700016,3749837,3691755,3791410,3498413,3580931,4115653,4289783,4491893,4605969,4761479,4897962
 "44000","Rhode Island",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1272442,1344030,1434692,1510830,1576702,1660690,1756370,1808857,1915661,1995900,2031321,1983712,2019312,1678189,1698568,2179890,2273883,2383876,2467331,2576196,2689597
 "44000","Rhode Island",1,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1199174,1244890,1321518,1355558,1384060,1457934,1529149,1594347,1676406,1704116,1718516,1708043,1772098,1820224,1882363,1935763,2015900,2108017,2138638,2185283,2208365
 "44000","Rhode Island",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1073521,1175150,1335349,1428973,1413529,1373016,1597522,1436712,1449434,1529512,1311280,1238865,1023580,1280148,1422999,1413166,1153738,1407539,1573506,2034074,2600494
 "44000","Rhode Island",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",17971377,19193863,20820116,21806736,22939105,24168387,25529982,26042549,27226257,27700912,27308172,26260471,27835860,28974352,30337264,30480549,31311281,32504556,32918563,34204782,35740798
 "44000","Rhode Island",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",5873477,5812050,6306516,6421977,6450066,6900836,7079617,7156104,7699408,8257409,8481761,7728655,7890919,8474771,8983379,8662770,9199318,9652430,9768973,10033027,10866420
