GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000","South Dakota",4,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",18150084,19005861,20280897,20948101,20939789,22890649,24579004,26112459,27544617,30604699,32691303,31794583,33596158,36741854,37659439,38108601,39872234,41547937,41959886,43274567,46066435
 "46000","South Dakota",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816165,823484,833496,842270,849088,853933,862890,873286,882235
 "46000","South Dakota",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44618,45183,45245,46959,48655,48627,49554,52216
 "46000","South Dakota",4,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",13131755,13834836,14674234,14921574,14925146,16572195,17980681,18899970,19480463,21510188,22655888,22159526,23556531,25856056,26079584,27205101,27994420,28818618,28651809,29465963,31188269
 "46000","South Dakota",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1385188,1481896,1567511,1617184,1677458,1753910,1847355,1937412,2081327,2214162,2321764,2317618,2427065,2225056,2328351,2684596,2842597,2947171,3030460,3131333,3258565
 "46000","South Dakota",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",763451,814885,858558,878499,910913,959185,1010166,1067597,1147660,1224697,1279895,1277481,1310840,1096755,1145649,1474394,1566838,1635751,1674385,1733861,1822352
 "46000","South Dakota",4,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",621737,667011,708953,738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275759,1311420,1356075,1397472,1436213
 "46000","South Dakota",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-232595,-249329,-267140,-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38565,-21501,-21230,-57025,-124375,-112928
 "46000","South Dakota",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",11513972,12103611,12839583,13039643,13010956,14593069,15912344,16791223,17257828,19156575,20230606,19773065,21058167,23517983,23679225,24481940,25130322,25850217,25564324,26210255,27816776
 "46000","South Dakota",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4247224,4418838,4783518,5034727,4863637,5132944,5329172,5747891,6405185,7287006,7726114,7043310,7159826,7753426,8504339,8020896,8808519,9518794,9963695,10407521,11275914
 "46000","South Dakota",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2388888,2483412,2657796,2873731,3065196,3164636,3337488,3573345,3881604,4161118,4734583,4978208,5378165,5470445,5475875,5605765,5933393,6178926,6431867,6656791,6973745
 "46000","South Dakota",4,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",8416334,9029033,9631622,10013729,10340108,10719482,11318653,11812080,12487547,13348539,14043928,13943470,14346751,14949889,15753600,16135987,17002592,17736376,18348925,19027737,19767859
 "46000","South Dakota",4,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",1902389,2042760,2197173,2172836,2356176,2555977,2708745,2885279,2898527,3108019,3275199,3264010,3503647,3728740,3729336,3813559,4142902,4323684,4387643,4714468,4953936
 "46000","South Dakota",4,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",1280652,1375749,1488220,1434151,1589631,1761252,1871556,2015464,1964860,2118554,2233330,2223873,2387422,2600439,2546634,2603357,2867143,3012264,3031568,3316996,3517723
 "46000","South Dakota",4,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",621737,667011,708953,738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275759,1311420,1356075,1397472,1436213
 "46000","South Dakota",4,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",2813032,2763043,2845439,2735009,2228862,3296736,3953283,4202611,4094389,5053630,5336761,4952046,5706133,7177427,6596648,7255555,6848926,6758558,5915241,5723758,6466474
 "46000","South Dakota",4,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",1041009,1045202,1208954,1001248,364683,1380013,1689662,1401005,466337,1528456,1989344,1574913,1500970,3428572,2171558,3129279,2024631,1417069,819525,709501,1225160
 "46000","South Dakota",4,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",1772023,1717841,1636485,1733761,1864179,1916723,2263621,2801606,3628052,3525174,3347417,3377133,4205163,3748855,4425090,4126276,4824295,5341489,5095716,5014257,5241314
 "46000","South Dakota",4,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1167430,1165194,1342341,1153245,505586,1493318,1856457,1568264,629310,1772165,2258619,1773195,1703285,3647494,2505197,3415879,2317942,1604037,1025930,956052,1472226
