GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "47000","Tennessee",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",140036988,145564589,154419504,158356794,162839346,169454802,179482356,187942269,200305081,209963551,217598576,216041812,226586583,240717683,253613069,256016043,266873405,280719455,290560382,301559853,317514933
 "47000","Tennessee",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
 "47000","Tennessee",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37627,39312,39427,40801,42593,43726,44950,46900
 "47000","Tennessee",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",110303791,115606593,121921922,124037951,128553375,133545969,142097921,147634582,156155731,160574890,162062976,159122867,164567866,173600576,183863459,188638547,196869985,206798022,215230892,223031141,233396474
 "47000","Tennessee",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11707894,12360800,12927670,13336813,13951719,14455489,15256754,15888777,16747649,17528759,17985573,17638661,17983394,16677575,17198836,19853377,20599829,21645327,22459866,23681515,24626123
 "47000","Tennessee",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6106700,6478622,6769394,7040087,7378828,7618897,8093325,8562412,9161142,9646179,9866359,9583638,9773522,8132833,8380803,10957551,11574565,12141967,12683868,13390502,14063392
 "47000","Tennessee",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",5601194,5882178,6158276,6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9025264,9503360,9775998,10291013,10562731
 "47000","Tennessee",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1174757,-1358853,-1549708,-1563074,-1548337,-1555383,-1639356,-1454069,-1382024,-1482005,-1383193,-968162,-746817,-759518,-1072824,-1241368,-1197317,-1318634,-1751996,-1713754,-1834611
 "47000","Tennessee",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",97421140,101886940,107444544,109138064,113053319,117535097,125201811,130291736,138026058,141564126,142694210,140516044,145837655,156163483,165591799,167543802,175072839,183834061,191019030,197635872,206935740
 "47000","Tennessee",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",22123477,22300833,23779918,23928459,22660117,23128363,23656734,24886505,27680810,30359440,32132720,29505871,30338402,33168023,36132682,35044639,37748970,39976080,41376447,44259316,47855739
