GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",514063952,541440219,589275374,625492927,633035683,655908038,687220241,745858720,820949930,873354038,954649795,910498605,966149670,1057757511,1132222114,1159745579,1248733047,1280251017,1274394916,1357465627,1445270436
 "48000","Texas",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
 "48000","Texas",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355
 "48000","Texas",6,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",409826731,437476646,476392598,508673770,512835903,527970854,553950281,591755573,649078210,680203590,725419557,688282491,730851109,790779249,848490032,888537042,952389280,963518170,957742386,1025066782,1088927753
 "48000","Texas",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",40840384,43359862,46650055,49028237,49635751,51831794,54535196,58075232,62119572,66491807,69842857,69360826,72174368,67989236,72069483,85197008,90377090,94437350,96902483,102654652,107360960
 "48000","Texas",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",21230023,22608868,24285563,25549897,25987803,26386925,27871030,29893256,32395036,34886813,37154170,36880826,37817769,31408014,33141925,44751777,47645292,49724192,51213020,54560347,57994885
 "48000","Texas",6,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",19610361,20750994,22364492,23478340,23647948,25444869,26664166,28181976,29724536,31604994,32688687,32480000,34356599,36581222,38927558,40445231,42731798,44713158,45689463,48094305,49366075
 "48000","Texas",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1058403,-1082765,-1180108,-1184953,-1134783,-1059545,-977475,-947660,-1033813,-1121288,-1190061,-1395910,-1527471,-1839812,-2207927,-2373332,-2439971,-2455587,-2140809,-1966083,-2087373
 "48000","Texas",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",367927944,393034019,428562435,458460580,462065369,475079515,498437610,532732681,585924825,612590495,654386639,617525755,657149270,720950201,774212622,800966702,859572219,866625233,858699094,920446047,979479420
 "48000","Texas",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",86740430,87271653,95925866,96070679,92910068,97330861,100742069,115571622,130797069,146241101,170034968,150186836,150385914,172584957,194297515,189239614,211051104,223688128,215911772,232481040,251738684
