GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "51000","Virginia",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",200071837,214308714,232313651,244410663,251068345,266236494,285300601,305046863,326087091,343153129,355931394,349712085,365041354,387003902,405863910,403199068,421874511,442331375,450870212,468177329,492312666
 "51000","Virginia",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
 "51000","Virginia",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",28992,30615,32693,33954,34455,36139,38164,40259,42494,44272,45437,44122,45496,47775,49585,48855,50754,52892,53605,55306,57799
 "51000","Virginia",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",147511278,159419000,175309707,184666498,189147480,199921359,216831775,230660222,241783315,251532722,255774979,253295218,263968855,272111810,283272799,285865781,293728289,307460874,310744669,322649732,336991245
 "51000","Virginia",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16045277,17282326,18640973,19663981,20319500,21346451,23261822,24880811,26493647,27640240,28545971,28610383,29525340,27123130,27997694,32386328,33130823,34658501,35361851,36954962,38191137
 "51000","Virginia",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8294384,8976267,9662257,10200996,10578618,11044781,11943454,12810602,13710106,14423064,14929856,14929484,15337139,12328968,12672802,16801339,17291151,18116122,18668465,19574083,20463628
 "51000","Virginia",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",7750893,8306059,8978716,9462985,9740882,10301670,11318368,12070209,12783541,13217176,13616115,13680899,14188201,14794162,15324892,15584989,15839672,16542379,16693386,17380879,17727509
 "51000","Virginia",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",6211405,7921652,6062516,6574707,8078647,8775344,9240646,9508370,10808535,11417185,13257987,13083855,14598242,16876250,16848375,16612456,18512415,18830636,19938248,20033886,20492023
 "51000","Virginia",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",137677406,150058326,162731250,171577224,176906627,187350252,202810599,215287781,226098203,235309667,240486995,237768690,249041757,261864930,272123480,270091909,279109881,291633009,295321066,305728656,319292131
 "51000","Virginia",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",43181071,44001238,47892387,48696244,48565711,51439598,53507333,58160163,65427444,71049251,73110724,66534052,66415313,73723109,81834074,79235652,86208462,90683909,93300627,97779526,105010791
 "51000","Virginia",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",19213360,20249150,21690014,24137195,25596007,27446644,28982669,31598919,34561444,36794211,42333675,45409343,49584284,51415863,51906356,53871507,56556168,60014457,62248519,64669147,68009744
 "51000","Virginia",5,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",112115317,120992031,132384492,138736575,140653883,147673610,158766228,169084477,178943852,188715664,193712827,191514951,196438818,202093437,208182170,210447707,215898310,225582838,230690778,240420124,251083214
 "51000","Virginia",5,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",23456824,25117406,27131261,28203482,30143016,33148026,36280176,38743245,38684970,40639953,42157129,44951665,45215681,45260223,46401979,48898299,50165612,53919605,53318395,55207685,57759660
 "51000","Virginia",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",15705931,16811347,18152545,18740497,20402134,22846356,24961808,26673036,25901429,27422777,28541014,31270766,31027480,30466061,31077087,33313310,34325940,37377226,36625009,37826806,40032151
 "51000","Virginia",5,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",7750893,8306059,8978716,9462985,9740882,10301670,11318368,12070209,12783541,13217176,13616115,13680899,14188201,14794162,15324892,15584989,15839672,16542379,16693386,17380879,17727509
 "51000","Virginia",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",11939137,13309563,15793954,17726441,18350581,19099723,21785371,22832500,24154493,22177105,19905023,16828602,22314356,24758150,28688650,26519775,27664367,27958431,26735496,27021923,28148371
 "51000","Virginia",5,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",225716,124653,383497,268221,109746,-11087,258349,354949,29987,-55654,97998,90367,76400,383788,322624,452964,323236,133115,-112875,53244,-137624
 "51000","Virginia",5,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",11713421,13184910,15410457,17458220,18240835,19110810,21527022,22477551,24124506,22232759,19807025,16738235,22237956,24374362,28366026,26066811,27341131,27825316,26848371,26968679,28285995
