GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",170382379,181940505,194509940,199204080,202617990,210856483,226359648,235828131,257120021,278686861,292402755,279749663,287760329,304986858,329258611,336333907,363327071,385687900,407654064,434758590,467399039
 "53000","Washington",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
 "53000","Washington",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44709,47768,48304,51518,53840,55884,58550,62026
 "53000","Washington",8,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",128638260,139694124,148773616,151171177,154082255,159192224,167586198,177030600,190045639,202951712,208009947,198666333,204073035,213737556,229958485,241117790,254008442,268004735,282232630,302968358,325562275
 "53000","Washington",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16245428,17001737,18407022,18148607,18542781,19320398,20549909,21864184,23187134,24437534,25047004,24818219,25467946,23940496,24700218,28901382,30392377,32072161,33581577,36150998,38087943
 "53000","Washington",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",7368796,7847343,8400551,8318550,8579845,8832430,9296057,9953241,10820592,11591170,12067283,11882024,11983758,9814827,10239055,13812426,14530487,15402872,16305092,17652237,18812570
 "53000","Washington",8,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",8876632,9154394,10006471,9830057,9962936,10487968,11253852,11910943,12366542,12846364,12979721,12936195,13484188,14125669,14461163,15088956,15861890,16669289,17276485,18498761,19275373
 "53000","Washington",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1891989,1958446,2281047,2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581822,3536791,3888465,4188051,4234626,4323935
 "53000","Washington",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",114284821,124650833,132647641,135398544,137971920,142440060,149803717,158201401,170300387,182179285,186644545,177242193,181846021,193322006,208867593,215798230,227152856,239821039,252839104,271051986,291798267
 "53000","Washington",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",36303815,36303933,39447399,38688583,37934394,40448575,48149346,47529706,54516847,61513597,65467194,57062899,55735585,61717094,70345193,69590430,80543803,88723691,93963998,100976980,109752033
