GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",143322190,149420728,159325995,167133292,171578065,176274512,184282831,190975843,202649291,211964861,219492838,215830801,221909662,234910041,246150786,247744896,258489368,268947729,274504689,285487389,299932678
 "55000","Wisconsin",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
 "55000","Wisconsin",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41178,43034,43184,44939,46681,47550,49290,51592
 "55000","Wisconsin",3,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",106642979,112950338,119592326,125490544,129847371,134041006,141069133,145223260,151738662,156864310,159728451,154493393,158381597,166803160,173641652,178415770,184157392,189954884,193627797,201179543,208851289
 "55000","Wisconsin",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12475711,13251364,13900504,14201539,14588706,15072128,15875021,16520297,17405915,17983502,18551811,18027333,18413271,17234439,17766273,20542561,21173802,21909359,22353654,23310330,23962838
 "55000","Wisconsin",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6286963,6722525,7040503,7250837,7499215,7731918,8138505,8490752,9020009,9403053,9683605,9395973,9526283,7817784,8043216,10562156,10954057,11372695,11782995,12411612,12945635
 "55000","Wisconsin",3,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6188748,6528839,6860001,6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10219745,10536664,10570659,10898718,11017203
 "55000","Wisconsin",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2306161,2476947,2707407,2839029,2923698,2999240,3104977,3298509,3422673,3683261,3727634,3290744,3242556,3357213,3296359,3254221,3487080,3652939,3757586,3798606,3962084
 "55000","Wisconsin",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",96473429,102175921,108399229,114128034,118182363,121968118,128299089,132001472,137755420,142564069,144904274,139756804,143210882,152925934,159171738,161127430,166470670,171698464,175031729,181667819,188850535
 "55000","Wisconsin",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29601793,29290649,31632606,31476256,30229896,30453845,31430060,32665384,36982031,39159390,40721639,36897600,36649415,41330789,45561419,44246673,47743567,51167812,52866792,55188054,59762126
 "55000","Wisconsin",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",17246968,17954158,19294160,21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42370793,44275131,46081453,46606168,48631516,51320017
 "55000","Wisconsin",3,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",78957245,83730825,88456938,90654202,93014858,96055554,100922657,103843620,108705179,113107377,115994305,110606812,112410739,116879505,121213348,124683037,129421665,135176179,138695047,143666931,149813143
 "55000","Wisconsin",3,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",18712598,19697896,21036386,22923183,23998136,25317435,26924278,28282220,29037529,30126453,31153087,32239626,31722577,33309622,34206524,34758532,35369888,35173766,36414303,38464253,40084033
 "55000","Wisconsin",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",12523850,13169057,14176385,15972481,16908645,17977225,19187762,20252675,20651623,21546004,22284881,23608266,22835589,23892967,24483467,24778127,25150143,24637102,25843644,27565535,29066830
 "55000","Wisconsin",3,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",6188748,6528839,6860001,6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10219745,10536664,10570659,10898718,11017203
 "55000","Wisconsin",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",8973136,9521617,10099002,11913159,12834377,12668017,13222198,13097420,13995954,13630480,12581059,11646955,14248281,16614033,18221780,18974201,19365839,19604939,18518447,19048359,18954113
 "55000","Wisconsin",3,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",736152,731117,209012,532108,400244,892533,1172765,974358,713918,1204496,809637,-5220,968188,2173353,1805475,2128343,2058095,1778043,707842,638570,-61523
 "55000","Wisconsin",3,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",8236984,8790500,9889990,11381051,12434133,11775484,12049433,12123062,13282036,12425984,11771422,11652175,13280093,14440680,16416305,16845858,17307744,17826896,17810605,18409789,19015636
 "55000","Wisconsin",3,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",1370407,1325227,893923,1192470,1098100,1562332,1912623,1669399,1402875,2130132,1798503,927397,1754239,2913483,2757521,3090957,3108968,2668707,1788135,1652822,1118653
 "55000","Wisconsin",3,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",105272572,111625111,118698403,124298074,128749271,132478674,139156510,143553861,150335787,154734178,157929948,153565996,156627358,163889677,170884131,175324813,181048424,187286177,191839662,199526721,207732636
 "55000","Wisconsin",3,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",89878998,95288866,101381320,105389111,108811693,111358683,117307670,121034784,127075796,130621650,132773614,127035840,129613272,136762950,143176627,147824170,152717695,158834237,162959861,170131435,177535154
 "55000","Wisconsin",3,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",247843,244652,282537,310218,303093,306452,336781,362486,391321,311620,300152,288882,365811,356631,464483,485169,529204,626772,656037,676963,706294
 "55000","Wisconsin",3,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",73223,71128,83306,85962,85181,93831,116576,153205,153165,106249,85843,69820,94820,101313,149552,159284,186947,244069,250175,238904,248741
 "55000","Wisconsin",3,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),2988,2875,2458,1748,858,1154,-713,-1712,-842,1038,-8,-714,-1428,-2190,-346,-491,174,774
 "55000","Wisconsin",3,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",171925,170673,195872,221268,215037,210163,218457,208423,237002,206084,216021,219904,269953,255326,315645,327313,344447,383049,406353,437885,456779
 "55000","Wisconsin",3,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",154684,154445,154447,181056,173984,181549,205282,210429,256695,268010,400521,300204,313684,605342,497236,509323,430585,310973,262446,311589,351339
 "55000","Wisconsin",3,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",10302,(T),14354,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",140353,141350,135945,156063,148268,155038,173860,174569,185990,176409,172686,149479,155998,162666,192853,204635,261496,269836,247925,303332,341484
 "55000","Wisconsin",3,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAINC5N,300,"22","   Utilities","Thousands of dollars",875580,931748,1017214,1156809,1143190,1125196,1188315,1174150,1305329,1317753,1673737,1469946,1422801,1494445,1418139,1533760,1594417,1623726,1571264,1676235,1678080
 "55000","Wisconsin",3,SAINC5N,400,"23","   Construction","Thousands of dollars",6646812,7441933,8059418,8466899,8652098,9019265,9560446,9752417,10057402,10016678,9550957,8631754,8369257,8278095,8955505,9582719,10451042,11219381,11664966,12484838,13288465
 "55000","Wisconsin",3,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",1716147,1948470,2120803,2261543,2385687,2434158,2476543,2513536,2581362,2546154,2519312,2249020,2022696,1959271,2325008,2481193,2689288,2911975,3061884,3196701,3399234
 "55000","Wisconsin",3,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",774914,832891,876346,889867,888551,962021,1024011,1039441,1124343,1356084,1411951,1330069,1099963,1043895,1082839,1186721,1380317,1446057,1373034,1488893,1575809
 "55000","Wisconsin",3,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",4155751,4660572,5062269,5315489,5377860,5623086,6059892,6199440,6351697,6114440,5619694,5052665,5246598,5274929,5547658,5914805,6381437,6861349,7230048,7799244,8313422
 "55000","Wisconsin",3,SAINC5N,500,"31-33","   Manufacturing","Thousands of dollars",27159789,27902911,29027124,28873026,28743711,28314263,29498196,29826975,31102670,31727892,32001185,28526094,29082357,31122645,32399835,33058677,33804927,34561740,34011499,35768221,37051926
 "55000","Wisconsin",3,SAINC5N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",17664117,18013761,18703058,18479167,18268793,17966853,18637314,19153902,19891525,20028717,20200546,17616623,17911335,19277200,20166050,20425857,20550185,20895205,20400844,21717832,22626323
 "55000","Wisconsin",3,SAINC5N,511,"321","     Wood product manufacturing","Thousands of dollars",894201,949043,974901,984249,977342,1027263,1103143,1135168,1119028,1066721,989514,757548,699104,740200,764822,801403,842620,872213,886550,932702,976630
 "55000","Wisconsin",3,SAINC5N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",449729,480215,497081,515571,524264,540440,574201,605149,603582,592946,576132,491317,493991,514593,512483,528485,566818,613623,631773,679445,725894
 "55000","Wisconsin",3,SAINC5N,513,"331","     Primary metal manufacturing","Thousands of dollars",1061940,1104613,1091988,1083934,1104071,1085457,1183529,1220828,1242719,1249756,1233894,903912,1041029,1219528,1277335,1199902,1234902,1229638,1163594,1215939,1295536
