GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "98000","Far West",8,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",869800905,944576512,1048926479,1075722115,1088326654,1134332794,1209038726,1276197180,1353846192,1428011691,1450705565,1383521066,1407775033,1470062820,1547108653,1609740374,1702163039,1816162297,1896596412,2010264004,2134934475
 "98000","Far West",8,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",716888052,780820956,868257072,881885289,883412453,911790967,966719065,1020885959,1091342438,1154489370,1170723795,1112945210,1129362246,1175926976,1247706547,1290955068,1369764762,1466873938,1535802462,1632564764,1738018715
 "98000","Far West",8,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",152912853,163755556,180669407,193836826,204914201,222541827,242319661,255311221,262503754,273522321,279981770,270575856,278412787,294135844,299402106,318785306,332398277,349288359,360793950,377699240,396915760
 "98000","Far West",8,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",98828058,106203824,117949807,128450190,137215941,150472169,163261266,172910487,178071030,188258091,194985453,188889780,195813324,207199135,208341081,224502316,233286291,244478198,252346174,263289265,277647849
 "98000","Far West",8,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",54084795,57551732,62719600,65386636,67698260,72069658,79058395,82400734,84432724,85264230,84996317,81686076,82599463,86936709,91061025,94282990,99111986,104810161,108447776,114409975,119267911
 "98000","Far West",8,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",41370,43716,47241,48217,49046,51070,53814,55831,58048,60597,62092,62680,64614,66805,67897,68714,70650,73310,74772,77823,80817
 "98000","Far West",8,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",6366433,7317023,7436944,7431162,7038119,7103766,7589506,8252875,8019455,7948582,8688837,9280491,8928949,7880026,9312773,10135638,9676705,9440011,9971114,11169893,10712772
 "98000","Far West",8,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",863434472,937259489,1041489535,1068290953,1081288535,1127229028,1201449220,1267944305,1345826737,1420063109,1442016728,1374240575,1398846084,1462182794,1537795880,1599604736,1692486334,1806722286,1886625298,1999094111,2124221703
 "98000","Far West",8,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",695530518,759060316,848896046,858073403,856127186,889233540,951628987,1007050314,1071360007,1127209964,1134175113,1061918770,1081020157,1139237671,1214922157,1265512685,1344381659,1442041773,1507012317,1606369002,1715154974
 "98000","Far West",8,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",4675651,4892488,5167918,(D),5363304,5591141,6253710,6291142,7106234,7404152,7499270,7421883,7686200,8235390,9172945,9585383,10218705,11076917,11786912,12168515,12959951
 "98000","Far West",8,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",871391,914584,905270,868399,(D),(D),978847,(D),(D),(D),(D),(D),754780,812587,(D),(D),(D),978851,(D),864857,(D)
 "98000","Far West",8,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",282787,321122,300982,238942,258374,(D),(D),(D),315547,314429,335846,(D),(D),(D),(D),(D),(D),293166,(D),(D),317297
 "98000","Far West",8,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",3521473,3656782,3961666,(D),(D),4424808,(D),5029139,(D),(D),(D),6379948,(D),(D),7915227,8346802,8945101,9804900,10513350,(D),(D)
 "98000","Far West",8,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",3906403,3633652,3815333,(D),3859127,3869541,4437926,4701444,5604419,6306513,7115002,6653868,7324309,7858283,8777511,8961426,9281261,8980692,7673019,7032409,7346677
 "98000","Far West",8,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",1171378,1091670,1159751,1391531,1363001,1372244,(D),(D),2058668,2380969,(D),(D),3127760,3192645,3650094,3739085,3941416,3934675,(D),(D),(D)
 "98000","Far West",8,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",1620285,1592862,1526971,(D),1435616,(D),(D),(D),(D),(D),2066007,1911053,2022296,2197843,2388230,2518220,2517383,2649336,2645921,(D),(D)
 "98000","Far West",8,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",1114740,949120,1128611,1282841,1060510,(D),1090526,1234250,(D),(D),(D),(D),2174253,2467795,2739187,2704121,2822462,2396681,(D),1918491,2000526
 "98000","Far West",8,SAINC6N,300,"22","   Utilities","Thousands of dollars",5412692,5583716,5815111,6774221,7035937,7337807,8223156,8336586,9287777,9515235,9995376,10383433,10285421,11113860,10985589,11799692,11738468,12371123,12902539,13286595,13346358
 "98000","Far West",8,SAINC6N,400,"23","   Construction","Thousands of dollars",45398528,51251449,57441002,59660478,60158758,62987403,70166831,78258411,84897203,88331022,83839670,67234811,59720480,59999035,63938306,69335229,75650571,84924642,92237865,100195285,110234902
 "98000","Far West",8,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",11310559,12788728,14255932,14876527,15265444,16261004,18274585,20832474,22839853,23478307,21756471,17082767,15087607,15043420,15907001,17142072,18800617,20977788,22882328,25205478,27850282
 "98000","Far West",8,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",7332972,8097509,8744192,9214431,9384721,9537950,10171681,11369371,12233418,12415738,11769195,10045546,9562122,10002295,10759956,11150614,11617825,12498508,12902072,13712798,15177258
 "98000","Far West",8,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",26754997,30365212,34440878,35569520,35508593,37188449,41720565,46056566,49823932,52436977,50314004,40106498,35070751,34953320,37271349,41042543,45232129,51448346,56453465,61277009,67207362
 "98000","Far West",8,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",128999613,138141711,155181315,147297947,137282672,137313055,144377452,150654338,158161578,162682485,160175135,148125318,151328269,157683807,164004344,166566453,175806045,183416700,189378207,199818074,209719751
 "98000","Far West",8,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",94812837,101949829,116510724,109136902,99674403,(D),103884477,108421448,115138547,117983965,115343128,104322177,108657273,114562818,118373913,119137612,126382135,132279113,137566639,146095816,155751690
 "98000","Far West",8,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",3873920,4077623,4252535,(D),(D),(D),(D),4689966,(D),(D),(D),(D),2857881,2854613,2974309,(D),(D),3780900,3739468,3834266,4088581
 "98000","Far West",8,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",2796916,2969558,3259083,3383811,3395181,3527392,3786569,4076324,(D),4225792,3813840,3010868,2890744,2911171,3002144,3126985,3361629,3603522,3720802,3924801,4151723
 "98000","Far West",8,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",2718617,2653755,2778669,(D),(D),(D),2410828,(D),2757618,2868191,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "98000","Far West",8,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",9091379,9152651,9880735,9572960,8859320,8820181,9440511,9902609,10365494,(D),(D),(D),9450584,10084657,10676956,10877155,11458088,11981700,12053788,12564998,13286700
