GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000","Iowa",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",46526119,48914622,51506498,53031414,54073286,56056437,59541048,62394377,65577975,69118888,71736638,70661467,71895064,74118398,77841725,80043215,84337473,87218221,90108407,92173296,95615876
 "19000","Iowa",4,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",38197432,40182058,41958028,42987825,43744456,45213217,47892131,50008032,52641178,55522152,57466395,56072611,57199134,59354406,62154133,63998856,67140766,70041036,71693412,73694455,76329669
 "19000","Iowa",4,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",8328687,8732564,9548470,10043589,10328830,10843220,11648917,12386345,12936797,13596736,14270243,14588856,14695930,14763992,15687592,16044359,17196707,17177185,18414995,18478841,19286207
 "19000","Iowa",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5292555,5563745,6258203,6702377,6935345,7270272,7918796,8492001,8846271,9320670,9792537,10189662,10057494,9879132,10677659,10941644,11997867,11903137,12848322,12764361,13463370
 "19000","Iowa",4,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",3036132,3168819,3290267,3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5198840,5274048,5566673,5714480,5822837
 "19000","Iowa",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31007,32157,33570,34841,35867,37371,39129,40370,41802,43747,45223,45856,46817,47787,49564,50259,52465,53618,55186,56534,58243
 "19000","Iowa",4,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",363942,352209,352980,392016,374098,485629,540950,449992,408957,687572,599580,595643,614954,589994,785652,694253,817511,681983,685658,851467,809384
 "19000","Iowa",4,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",46162177,48562413,51153518,52639398,53699188,55570808,59000098,61944385,65169018,68431316,71137058,70065824,71280110,73528404,77056073,79348962,83519962,86536238,89422749,91321829,94806492
 "19000","Iowa",4,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",37947815,39894520,41961133,42914631,43686322,45094931,48037822,50501563,53192281,55867125,57858136,55931771,56672745,58981185,62402311,64017459,67611376,70105564,72608193,74142464,77210109
 "19000","Iowa",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",66127,71868,78076,78174,80582,96956,128399,130158,148801,159206,174468,202759,220246,227301,277405,287427,289395,292071,304707,313014,331925
 "19000","Iowa",4,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",1668,1364,2077,1193,1347,1002,1024,1080,1209,1353,1160,1021,985,1160,(D),1612,1684,1881,1726,(D),3326
 "19000","Iowa",4,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),298,314,337,380,389,408,422,356,371,378,382,(D),489,900,1007,1030,(D),1341
 "19000","Iowa",4,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",62545,68352,73492,76683,78921,95617,126995,128689,147184,157431,172952,201367,218883,225759,275369,285326,286811,289183,301951,309079,327258
 "19000","Iowa",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",84687,89512,89223,97153,92240,92703,105927,111368,116127,117745,122914,119520,118667,123830,129951,134109,143673,152138,160478,174752,183995
 "19000","Iowa",4,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "19000","Iowa",4,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",82487,87118,85795,96498,(D),92033,105303,110235,115224,116942,120943,117703,116783,121738,128372,131955,141050,148545,157353,171231,180619
 "19000","Iowa",4,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),670,624,1133,903,803,1971,1817,1884,2092,1579,2154,2623,3593,3125,3521,3376
 "19000","Iowa",4,SAINC6N,300,"22","   Utilities","Thousands of dollars",514204,558610,554157,647433,707216,636775,686085,630856,665609,718060,746523,740000,717636,732817,723210,719313,776241,778107,821992,817367,845870
 "19000","Iowa",4,SAINC6N,400,"23","   Construction","Thousands of dollars",2469556,2676816,2683390,2733088,2813163,2936355,3165664,3452402,3765872,3832124,4035366,3589623,3419924,3541631,3847752,4137304,4863094,5351314,5827896,5211606,5445635
 "19000","Iowa",4,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",591918,645221,644814,639054,677194,686075,745331,827416,875088,907866,980620,791999,727155,783860,810997,861777,1075567,1156306,1191795,1098116,1136945
 "19000","Iowa",4,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",468333,498231,460709,455916,470331,512370,542466,623111,642250,627325,652748,616890,589819,643365,711705,729389,884697,1112939,1239585,883427,957778
 "19000","Iowa",4,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",1409305,1533364,1577867,1638118,1665638,1737910,1877867,2001875,2248534,2296933,2401998,2180734,2102950,2114406,2325050,2546138,2902830,3082069,3396516,3230063,3350912
 "19000","Iowa",4,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",10302710,10633399,11104424,11118832,10863827,11035361,11825526,12441734,12861115,13311221,13550396,12196625,12534445,13120651,13829392,14131407,14799049,14984613,15032177,15826628,16806283
 "19000","Iowa",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",6594401,6749967,7155145,7097553,6834456,6937624,7591766,8057574,8433072,8690871,8672068,7461280,7671747,8297795,8794188,8963440,9342437,9390987,9139240,9582364,10246292
 "19000","Iowa",4,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",345050,404231,451308,467202,478747,492275,530715,594760,579988,595926,566637,455463,438528,434428,429714,459099,485663,507347,541571,580358,607091
 "19000","Iowa",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",277647,296646,323446,341505,334795,312037,327842,326236,331790,316838,309166,263118,257387,269863,292241,296559,319020,367907,380647,402778,410939
 "19000","Iowa",4,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",432459,471687,464079,450104,423945,416823,482538,513675,515355,538985,558788,449478,493009,565281,596859,604087,613108,594388,570187,606413,637205
 "19000","Iowa",4,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",893746,903681,941702,896884,866730,855214,911153,959363,1038510,1082757,1112814,945660,940329,1016862,1128848,1178156,1227774,1258846,1245117,1291613,1399411
 "19000","Iowa",4,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",1926233,1838793,1919270,1901868,1783115,1827521,2074618,2235699,2405647,2576286,2701936,2458179,2551206,2887168,3136183,3137764,3237539,3193093,2941241,3138920,3401811
 "19000","Iowa",4,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",734060,752858,755244,832661,787611,798604,875572,1000500,1059625,1169047,1173824,1095723,1149017,1244969,1237451,1239664,1290889,1319362,1308729,1416825,1542023
 "19000","Iowa",4,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",552603,650159,737988,714941,668079,673613,657537,640022,687592,616584,522518,435346,439396,404692,393035,404483,412817,441760,471320,506526,554379
 "19000","Iowa",4,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",819625,749616,814804,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),802592,845663,905928,811244,(D),(D),717640
 "19000","Iowa",4,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",41501,66618,60395,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),172076,178787,209179,237112,240432,(D),212707
 "19000","Iowa",4,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",328006,351131,403497,374140,390025,405658,432109,468124,481346,492145,454400,336306,332297,338820,361918,375951,397541,411179,419649,442438,439364
 "19000","Iowa",4,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",243471,264547,283412,264743,231636,273583,281596,284429,280371,254517,273035,244438,234750,233608,243271,243227,242979,248749,(D),258854,323722
 "19000","Iowa",4,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",3708309,3883432,3949279,4021279,4029371,4097737,4233760,4384160,4428043,4620350,4878328,4735345,4862698,4822856,5035204,5167967,5456612,5593626,5892937,6244264,6559991
 "19000","Iowa",4,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",1877041,1976893,2018998,2095116,2146533,2216140,2316083,2397930,2398352,2508480,2629543,2678934,2743218,2732520,2845127,2904927,3037972,3161731,3343295,3541300,3759296
 "19000","Iowa",4,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",59613,60083,55561,57486,56819,65299,64488,64286,65446,66418,67110,71953,75848,78718,83370,86498,92522,99509,104495,115196,128705
 "19000","Iowa",4,SAINC6N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),7141,7095,7144,6415,5663,5490,5662,6089,5579,5115,5071,5291,5504,6472,6113,5944,5960,5805
 "19000","Iowa",4,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",23118,24204,26387,25570,24786,25265,22848,21357,19163,20898,21801,21830,23241,23706,26269,25447,25603,25312,24998,25746,26996
 "19000","Iowa",4,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",84675,92387,77562,71454,61859,58788,63127,58568,56034,54896,55709,46135,44656,43185,42729,41399,43025,43191,45830,46242,46250
 "19000","Iowa",4,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",26348,29163,32070,30748,27070,22038,21876,18708,15533,15079,13652,8131,8090,9406,9673,9723,10759,9670,10076,11036,11911
 "19000","Iowa",4,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",214357,254086,226980,270285,240306,243718,253417,256012,250189,249781,256627,237416,244535,246063,247838,250147,256299,253123,263529,275532,280790
 "19000","Iowa",4,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",376338,384573,392745,380582,355578,351449,349914,365045,366931,378396,382899,338626,330641,322984,331537,333908,335508,321616,331718,330856,336805
 "19000","Iowa",4,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",20244,21193,24327,32780,27223,29860,21675,27511,27325,23800,27254,30937,28966,37217,45443,42634,40199,36873,37175,38968,43964
 "19000","Iowa",4,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",374631,386056,427390,440224,439483,450419,492788,511708,560006,651009,767987,754042,808722,741446,779448,832959,943777,987170,1027047,1104600,1129198
 "19000","Iowa",4,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",645959,646971,658543,609893,642619,627617,621129,657372,663574,645931,649657,541762,549666,582540,618479,634821,664476,649318,698830,748828,790271
 "19000","Iowa",4,SAINC6N,600,"42","   Wholesale trade","Thousands of dollars",2749548,2953463,2900152,2994192,3047551,3046914,3239550,3479180,3605778,3818933,4072345,3954262,4018686,4268814,4566632,4661414,4823132,4809831,4858839,5017653,5129966
 "19000","Iowa",4,SAINC6N,700,"44-45","   Retail trade","Thousands of dollars",3937141,4112276,4365290,4241079,4325223,4431529,4531594,4576687,4658118,4748500,4866537,4827300,4771173,4942152,5111837,5143629,5308935,5479309,5745980,5856568,5931659
