GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",99203625,106154543,114622209,120920741,127021163,133009323,141437783,149579546,157205441,164477203,168849518,169140458,173419449,180355481,184796563,187420278,194023755,202481073,208440896,214071052,222179954
 "24000","Maryland",2,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",81897458,87495848,94526490,99865656,104280405,108724489,115067277,121409934,128331306,134318671,137461051,136268113,139248195,144310937,148855819,150129435,155246199,162485405,167321080,173274372,179617382
 "24000","Maryland",2,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",17306167,18658695,20095719,21055085,22740758,24284834,26370506,28169612,28874135,30158532,31388467,32872345,34171254,36044544,35940744,37290843,38777556,39995668,41119816,40796680,42562572
 "24000","Maryland",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11444290,12476751,13471121,13927251,15298258,16487068,17828440,19254565,19406120,20363481,21245649,22768447,23474654,24830090,24349124,25841830,27191546,27786084,28723565,28171453,29543812
 "24000","Maryland",2,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12209584,12396251,12625227,13018760
 "24000","Maryland",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",40233,42003,44396,46582,48543,50758,53512,55951,58035,60339,62204,64228,66126,68134,68858,69355,71143,73179,74343,75639,77729
 "24000","Maryland",2,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",124175,114949,135393,142292,176986,158525,156496,127390,142591,171499,163286,154943,148402,126952,181663,183526,195991,163289,187726,212513,210965
 "24000","Maryland",2,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",99079450,106039594,114486816,120778449,126844177,132850798,141281287,149452156,157062850,164305704,168686232,168985515,173271047,180228529,184614900,187236752,193827764,202317784,208253170,213858539,221968989
 "24000","Maryland",2,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",74081880,80021092,86776423,91480523,94075888,98238616,105031062,111009576,116471385,121513738,123875244,121867325,123593828,128616060,133078451,134744397,140057713,146457122,151364254,155491239,161705909
 "24000","Maryland",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",47038,50446,55963,53352,56934,63825,74021,75875,79726,70562,71697,73951,75421,71942,73385,73718,79174,86069,90298,90688,91218
 "24000","Maryland",2,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",13719,12422,11690,10284,10957,11001,13943,16818,17448,10589,9607,8046,7593,8568,9428,9006,9850,10127,10365,11115,11440
 "24000","Maryland",2,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",6143,7895,8935,6116,7145,8304,9882,9043,7026,7112,4988,5096,5158,4931,4390,3430,3782,4091,4676,4800,4263
 "24000","Maryland",2,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",27176,30129,35338,36952,38832,44520,50196,50014,55252,52861,57102,60809,62670,58443,59567,61282,65542,71851,75257,74773,75515
 "24000","Maryland",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",68803,70181,74228,96499,80403,83526,92436,105714,111542,104010,106256,97974,99763,104598,113855,98402,96244,98116,97267,100039,96431
 "24000","Maryland",2,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),162,173,180,173,(D),(D),(D),(D),500,(D),(D),2063,(D),(D)
 "24000","Maryland",2,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",64796,64993,67700,74995,69743,72497,80989,86989,86951,79946,80174,69242,65821,60968,64288,53133,51890,54961,57412,67902,74854
 "24000","Maryland",2,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),18563,24418,23884,25909,(D),(D),(D),(D),44769,(D),(D),37792,(D),(D)
 "24000","Maryland",2,SAINC6N,300,"22","   Utilities","Thousands of dollars",789926,840357,864833,994471,951166,1009866,1088907,1164739,1207628,1334747,1403734,1326742,1406071,1521737,1554493,1504598,1515952,1557874,1679500,1689493,1692102
 "24000","Maryland",2,SAINC6N,400,"23","   Construction","Thousands of dollars",6265621,7040883,7757141,8280181,8452832,8894994,9764240,10471525,11144862,11663477,11532155,10231943,9700054,9880331,10033090,10264980,10939274,11609967,12448611,12831104,13084205
 "24000","Maryland",2,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",1538114,1743765,1897658,2027249,2192321,2376186,2655271,2860425,3032373,3034274,2882411,2403086,2282182,2299386,2334432,2346156,2568953,2745302,3081107,3129720,3226287
 "24000","Maryland",2,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",753500,809854,856983,849097,825748,893438,950678,1010814,1049751,1125567,1144931,1072743,986818,1017562,1026972,1087139,1229237,1385095,1615873,1670535,1399758
