GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",18836662,20132001,21469064,22603241,23489828,24473167,25807290,26314370,27770357,28871928,29687267,28920340,29268869,29674171,30359138,31109943,32174531,33468253,34515502,35995964,37641782
 "23000","Maine",1,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",15306205,16338775,17349676,18234742,18896219,19675924,20688756,21004152,22062060,23021808,23764395,23056102,23332590,23792439,24325064,24896002,25782072,26813152,27653458,28716193,29991257
 "23000","Maine",1,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",3530457,3793226,4119388,4368499,4593609,4797243,5118534,5310218,5708297,5850120,5922872,5864238,5936279,5881732,6034074,6213941,6392459,6655101,6862044,7279771,7650525
 "23000","Maine",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2265308,2466987,2724015,2937665,3196054,3372601,3637016,3794178,4104284,4184351,4210782,4194551,4189661,4086883,4183242,4313838,4474535,4636523,4828774,5181267,5479250
 "23000","Maine",1,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1265149,1326239,1395373,1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1917924,2018578,2033270,2098504,2171275
 "23000","Maine",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31872,33183,34399,36031,37505,39022,40816,41914,43895,45434,46749,47184,48144,48739,49623,50566,51956,53561,54575,56396,58308
 "23000","Maine",1,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",79743,73512,85078,88820,109302,97691,95259,76876,85275,101133,96815,92164,88114,75584,132443,135157,143716,119888,136222,114239,114693
 "23000","Maine",1,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",18756919,20058489,21383986,22514421,23380526,24375476,25712031,26237494,27685082,28770795,29590452,28828176,29180755,29598587,30226695,30974786,32030815,33348365,34379280,35881725,37527089
 "23000","Maine",1,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",15074455,16146293,17238130,18085579,18648409,19312757,20386970,20699940,21867913,22740349,23380770,22525345,22816566,23412689,24057424,24681507,25444278,26549918,27398310,28735403,30108817
 "23000","Maine",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",115768,124568,136923,140191,141286,143079,168604,172626,196498,202237,(D),(D),200340,205280,(D),208640,225065,235270,226218,248859,265024
 "23000","Maine",1,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",86194,89125,98643,100879,100869,101745,119607,121203,135632,139787,135406,130786,133243,131983,135170,132100,141844,145232,132586,131680,137832
 "23000","Maine",1,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",11269,13714,14694,14838,17014,18105,21548,23827,29502,30933,27498,(D),31216,36826,41001,35250,38149,41289,44742,64947,71480
 "23000","Maine",1,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",18305,21729,23586,24474,23403,23229,27449,27596,31364,31517,(D),37518,35881,36471,(D),41290,45072,48749,48890,52232,55712
 "23000","Maine",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",(T),(T),(T),4493,4657,4600,4375,4716,5630,5556,(D),(D),12025,13389,(D),13008,13687,14133,15410,16274,17337
 "23000","Maine",1,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0
 "23000","Maine",1,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),5630,4870,6350,6135,(D),(D),12928,12505,(D),(D),(D),(D),(D)
 "23000","Maine",1,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),503,(D),(D),(D),(D),(D)
 "23000","Maine",1,SAINC6N,300,"22","   Utilities","Thousands of dollars",140772,132398,136243,160209,167991,152793,155075,159114,167446,175421,181328,174832,182684,173188,171682,180909,185569,184939,196837,214452,210580
 "23000","Maine",1,SAINC6N,400,"23","   Construction","Thousands of dollars",931783,1103496,1195598,1225944,1219356,1316923,1374549,1388622,1460757,1508326,1494808,1290536,1262451,1334289,1386696,1421505,1483149,1541421,1603025,1699510,1819626
 "23000","Maine",1,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",209192,266657,320509,293210,304664,333690,350724,358702,375783,371750,359686,289941,284110,298610,305046,307789,330207,349550,369907,393581,421267
 "23000","Maine",1,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",204155,247097,208782,212552,201021,221189,211079,189574,185152,197577,204533,182610,181535,194405,206538,218324,217003,217945,218854,225801,257663
 "23000","Maine",1,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",518436,589742,666307,720182,713671,762044,812746,840346,899822,938999,930589,817985,796806,841274,875112,895392,935939,973926,1014264,1080128,1140696
 "23000","Maine",1,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",3300356,3394240,3470219,3487550,3343429,3349225,3404858,3312708,3396503,3504467,3586200,3208769,3305892,3329901,3356346,3386171,3436764,3547441,3556157,3720082,3845590
 "23000","Maine",1,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1600223,1664515,1731608,1818882,1754541,1747628,1844636,1775723,1804312,1888563,1950220,1735260,1775192,1806574,1803669,1838194,1897876,1993338,2022632,2095852,2188276
 "23000","Maine",1,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",244593,256195,272846,263431,257869,252394,283055,289607,275115,269043,243831,183222,190474,198489,208806,220416,239065,242786,249257,258139,264377
 "23000","Maine",1,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",52406,56341,59917,67035,64702,66486,69303,70982,75443,75713,71724,60195,60861,63312,61921,66598,70493,74820,83032,89817,95117
 "23000","Maine",1,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",25720,21623,20277,21692,21644,20264,21830,20774,22737,24366,36422,21067,22700,23566,(D),(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",199245,208477,233530,233286,221982,213487,220797,239424,259135,281956,330655,307037,313760,307075,319374,310534,304313,310612,309382,319071,334848
 "23000","Maine",1,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",117174,123880,142814,145988,130863,125293,128403,128122,130800,137422,145241,141305,141938,154636,161322,162358,166324,184569,167610,172143,170394
 "23000","Maine",1,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",274564,292162,341789,322442,288235,267716,280754,222568,227648,234999,230657,206575,207657,221468,181296,185389,175679,175105,168109,176787,197969
 "23000","Maine",1,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",67813,73462,69949,63922,53263,56026,59824,58202,52572,48033,46132,31933,31477,29196,28053,30010,31035,34835,34713,35610,35812
 "23000","Maine",1,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",19824,19577,22504,26301,28746,30537,32022,31222,30397,28284,26727,19564,15839,15144,(D),(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",473830,478561,436464,534810,549878,580347,611466,567202,579742,635171,651929,610004,644303,636377,650239,667517,702042,759821,777000,786679,809082
 "23000","Maine",1,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",61661,69097,65827,70768,69627,65809,66115,61780,60395,63808,70325,59468,54597,58702,61512,60922,61614,66927,68821,73010,75039
 "23000","Maine",1,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",63393,65140,65691,69207,67732,69269,71067,85840,90328,89768,96577,94890,91586,98609,89091,91829,99421,99402,102951,112388,125503
 "23000","Maine",1,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",1700133,1729725,1738611,1668668,1588888,1601597,1560222,1536985,1592191,1615904,1635980,1473509,1530700,1523327,1552677,1547977,1538888,1554103,1533525,1624230,1657314
 "23000","Maine",1,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",194291,206114,234341,237253,233637,248176,255991,245630,251580,240925,241167,239356,236543,250636,243087,227363,236943,247557,258585,276791,278623
 "23000","Maine",1,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",19841,23999,24642,23773,22659,34314,41035,63437,71781,87763,81066,82283,83263,82073,102085,90207,91797,101544,113205,125947,136491
 "23000","Maine",1,SAINC6N,533,"313","     Textile mills","Thousands of dollars",127150,116432,111894,82093,79536,80782,63141,63234,65313,68181,66159,46346,47923,48940,54359,56005,63084,61900,60664,60160,54850
 "23000","Maine",1,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",45058,50968,55614,46876,37514,40754,44039,43071,45073,43912,45524,36131,31701,31940,33634,35668,35901,37027,39310,40875,43711
 "23000","Maine",1,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",28703,30281,29209,26726,25125,19018,16728,14093,13252,13374,13073,11030,12060,12110,19273,16886,13035,9606,8425,8964,9597
 "23000","Maine",1,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",179885,172019,154960,142896,91820,90985,90097,86848,93105,89438,86231,65968,65699,67102,74985,75986,80910,88330,85690,90956,90506
 "23000","Maine",1,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",803067,807682,800962,786974,772672,741530,702834,654129,652589,647686,654916,575600,588282,593905,581327,577505,539554,502292,430177,416559,420554
 "23000","Maine",1,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",84768,91495,98712,103807,99198,105127,106770,108747,106053,111330,107907,83099,74660,74161,73287,74944,74851,73315,78493,83042,87814
 "23000","Maine",1,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",14273,16693,17945,21584,24564,25812,21992,22482,23214,20819,25239,26608,37480,37307,34672,33349,34275,36501,38075,41098,39346
 "23000","Maine",1,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",91717,97667,95744,91073,100581,115811,110919,122185,140071,154994,173998,182284,233826,214965,225778,248918,255538,272187,296891,355154,364283
 "23000","Maine",1,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",111380,116375,114588,105613,101582,99288,106676,113129,130160,137482,140700,124804,119263,110188,110190,111146,113000,123844,124010,124684,131539
