GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29000","Missouri",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",96887349,102521911,108914468,111750283,114800162,118207655,123177827,128913282,135292940,141064024,146965914,141992181,142637545,144656571,150263533,154859475,159467098,167189330,171013358,177126391,184228979
 "29000","Missouri",4,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",80026069,84349291,89504202,91859770,93523371,95759629,99434505,103893111,108836745,113862699,118981424,113694862,113886441,116481438,121318793,123769887,128563501,134589671,137873897,143017613,148624132
 "29000","Missouri",4,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",16861280,18172620,19410266,19890513,21276791,22448026,23743322,25020171,26456195,27201325,27984490,28297319,28751104,28175133,28944740,31089588,30903597,32599659,33139461,34108778,35604847
 "29000","Missouri",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11089239,12115045,13015973,13322393,14582556,15520742,16599749,17501447,18515108,18935311,19341672,19943480,20447862,19578640,20075431,22011597,21594708,22777034,23166923,23960801,25252749
 "29000","Missouri",4,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",5772041,6057575,6394293,6568120,6694235,6927284,7143573,7518724,7941087,8266014,8642818,8353839,8303242,8596493,8869309,9077991,9308889,9822625,9972538,10147977,10352098
 "29000","Missouri",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34829,36308,38152,39470,40850,42201,43808,45401,47025,48754,50851,51088,52073,52698,54116,55135,56251,57921,58455,60048,62108
 "29000","Missouri",4,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",278590,260165,254926,275624,257464,274099,226178,256502,215557,329060,286785,304847,289072,290920,436437,301858,389141,332172,367656,358215,344490
 "29000","Missouri",4,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",96608759,102261746,108659542,111474659,114542698,117933556,122951649,128656780,135077383,140734964,146679129,141687334,142348473,144365651,149827096,154557617,159077957,166857158,170645702,176768176,183884489
 "29000","Missouri",4,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",80640085,85125400,90444102,92601850,94615278,96944561,100995158,105859768,111190859,115636646,120298898,114112993,114358174,116509101,122082493,125987276,130414170,137609649,141282457,147017408,153365783
 "29000","Missouri",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",88751,94629,104963,113301,122980,156694,154772,141955,150524,142975,157375,169591,166000,162574,178601,180612,191266,201249,212451,224193,240184
 "29000","Missouri",4,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",7211,8850,6989,(D),7014,7041,7929,8633,8774,8552,6996,5944,6168,7867,7184,6052,7177,8230,9209,10150,11687
 "29000","Missouri",4,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),304,307,421,373,471,453,379,339,327,390,641,696,929,984,639,654,775
 "29000","Missouri",4,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",81181,85357,97530,106151,115662,149346,146422,132949,141279,133970,150000,163308,159505,154317,170776,173864,183160,192035,202603,213389,227722
 "29000","Missouri",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",244829,257679,266853,264454,249315,284524,329960,435908,315058,382364,410366,303857,296311,329788,335934,325815,325109,332824,316693,348012,354314
 "29000","Missouri",4,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),743,668,690,860,777,920,1002,1745,1756,2402,2381,1966,2195,2108,1809,1218,1093,1176
 "29000","Missouri",4,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",237410,249264,258770,261061,244171,274607,313795,416158,287136,319390,327390,280026,277672,306569,309632,300562,300087,312206,301344,329812,332568
 "29000","Missouri",4,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),7769,(T),2650,4476,9227,15305,18973,27002,61972,81231,22075,16237,20838,24336,23058,22914,18809,14131,17107,20570
 "29000","Missouri",4,SAINC6N,300,"22","   Utilities","Thousands of dollars",732176,781103,825348,1106425,1226150,993431,1056315,1057184,1184831,1230441,1325095,1363862,1412707,1428779,1359806,1449607,1474803,1492068,1573935,1606146,1626505
 "29000","Missouri",4,SAINC6N,400,"23","   Construction","Thousands of dollars",5405903,6142774,6626822,6818631,6803393,6894754,7153836,7571001,7964549,8370256,8460950,7402308,6545606,6328884,6636364,6937654,7320529,7879407,8463294,8822551,9002293
 "29000","Missouri",4,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",1317217,1500842,1564360,1543150,1566591,1591932,1698143,1794823,1925920,2052136,2044714,1696375,1504271,1385607,1449731,1498460,1638038,1792132,1930606,2030210,2103393
 "29000","Missouri",4,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",804860,854001,932633,958262,925175,949949,944446,990022,1018691,1063709,1147481,1202469,1035171,1020582,1065007,1127738,1162882,1173017,1230988,1260770,1308990
