GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000","Montana",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",11027839,11500605,12291758,12875825,13578190,14306463,15190112,16305927,17589502,18915784,19580156,19176354,19687823,20638428,21651590,22274313,23191155,24134820,24584462,25705386,26877482
 "30000","Montana",7,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",8912587,9298852,9890097,10389840,10864015,11394423,12089020,12958784,13981074,15056186,15587081,15259607,15507388,16165620,17110461,17618141,18380532,19245193,19795454,20617163,21539616
 "30000","Montana",7,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",2115252,2201753,2401661,2485985,2714175,2912040,3101092,3347143,3608428,3859598,3993075,3916747,4180435,4472808,4541129,4656172,4810623,4889627,4789008,5088223,5337866
 "30000","Montana",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1291798,1359742,1501512,1540861,1700449,1839098,1968084,2116417,2275460,2423082,2529611,2491163,2717337,2923317,2954135,3014915,3098696,3142867,3135501,3250964,3410200
 "30000","Montana",7,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",823454,842011,900149,945124,1013726,1072942,1133008,1230726,1332968,1436516,1463464,1425584,1463098,1549491,1586994,1641257,1711927,1746760,1653507,1837259,1927666
 "30000","Montana",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27863,28620,30041,31099,32503,33809,35036,36826,38616,40574,41949,42616,44022,45738,47042,47716,49294,50353,50793,52619,54448
 "30000","Montana",7,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",142404,142266,156398,157974,175229,155426,167762,186921,180670,213749,204253,223196,198134,196679,271524,305333,294177,247607,288459,288492,316527
 "30000","Montana",7,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",10885435,11358339,12135360,12717851,13402961,14151037,15022350,16119006,17408832,18702035,19375903,18953158,19489689,20441749,21380066,21968980,22896978,23887213,24296003,25416894,26560955
 "30000","Montana",7,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",8043861,8399060,8948534,9402879,9883487,10336974,11039080,11942596,13037385,14079739,14527300,13926142,14332199,15170783,16028715,16585173,17338503,18220332,18451737,19407837,20437921
 "30000","Montana",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",68575,72121,76687,74375,86738,84087,91521,89388,99728,103068,102621,96976,102420,112582,129889,133105,145593,161479,169476,181555,188616
