GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "37000","North Carolina",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",136226478,145888762,155892552,160371299,162957779,168340289,178493489,188859252,201920367,214653542,219438233,211454924,216515016,222527671,232370554,237874021,250729957,263501208,271845644,283403091,298666892
 "37000","North Carolina",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",112582392,120556775,129043477,132002644,133601815,136786159,144742427,152363869,163308232,173894615,177813382,169548458,173519379,179966208,187090787,192266678,201605023,212899864,221474327,232229403,245399095
 "37000","North Carolina",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",23644086,25331987,26849075,28368655,29355964,31554130,33751062,36495383,38612135,40758927,41624851,41906466,42995637,42561463,45279767,45607343,49124934,50601344,50371317,51173688,53267797
 "37000","North Carolina",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15365682,16527980,17510206,18671663,19657908,21121291,22878918,24855985,26226984,27582351,28075819,28774662,29762841,28598403,30721367,30617687,33329846,34054582,33680781,34168208,36123442
 "37000","North Carolina",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",8278404,8804007,9338869,9696992,9698056,10432839,10872144,11639398,12385151,13176576,13549032,13131804,13232796,13963060,14558400,14989656,15795088,16546762,16690536,17005480,17144355
 "37000","North Carolina",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34146,35766,37735,39318,40256,41827,43679,45384,47223,48995,50224,50878,52495,53289,54781,55341,57120,58621,59236,60862,62997
 "37000","North Carolina",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",493404,497879,444642,516547,612214,541544,567264,542287,597765,742065,668750,552880,425493,523181,644949,668786,661982,643046,776330,729138,648630
 "37000","North Carolina",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",135733074,145390883,155447910,159854752,162345565,167798745,177926225,188316965,201322602,213911477,218769483,210902044,216089523,222004490,231725605,237205235,250067975,262858162,271069314,282673953,298018262
 "37000","North Carolina",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",109721880,117768137,125798570,128226820,129355927,132495449,140034569,147656870,158432534,167623468,169535927,159968580,163599262,169238783,178540721,183394651,196240670,206699802,213815137,224230202,237373303
 "37000","North Carolina",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",275794,281761,299575,311441,329443,342290,390382,386078,429034,437152,428800,466245,472137,477133,519154,532720,593603,616658,628724,635394,660192
 "37000","North Carolina",5,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",133911,130038,138041,140939,138909,141389,155754,145091,149107,154633,143508,136344,140189,134980,143216,138119,158516,165020,166871,167751,167982
 "37000","North Carolina",5,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",1653,2427,3614,4273,2297,2081,2586,2467,2210,2429,1782,1980,2118,1982,2149,1457,1583,1330,1337,1699,1890
 "37000","North Carolina",5,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",140230,149296,157920,166229,188237,198820,232042,238520,277717,280090,283510,327921,329830,340171,373789,393144,433504,450308,460516,465944,490320
 "37000","North Carolina",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",214105,218916,226998,238281,192076,197715,217919,248077,282044,304743,250216,214984,165555,173712,177855,176269,177385,195121,206063,235323,243449
 "37000","North Carolina",5,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),0,0,(D),(D),(D),974,1461,1274,2364,2084,2198,2175,1542,(D),(D)
 "37000","North Carolina",5,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",203040,206144,213678,199832,184509,188559,210152,240928,272251,294027,237155,206140,154747,156183,153393,150984,157788,173978,183068,210071,220005
 "37000","North Carolina",5,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),7767,7149,(D),(D),(D),7870,9347,16255,22098,23201,17399,18968,21453,(D),(D)
