GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",9301362,9677447,10224442,10800632,11243291,11851397,12698581,13362673,14270655,15246423,16457968,16935982,18302336,20889002,24364828,26290932,29122389,28631608,26936064,27500046,28716404
 "38000","North Dakota",4,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",7635944,7968517,8359598,8782468,9109550,9558246,10268249,10790387,11508868,12349167,13386188,13622552,14741650,16965876,20175386,21696034,23992267,23440621,21654150,22141034,23187332
 "38000","North Dakota",4,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1665418,1708930,1864844,2018164,2133741,2293151,2430332,2572286,2761787,2897256,3071780,3313430,3560686,3923126,4189442,4594898,5130122,5190987,5281914,5359012,5529072
 "38000","North Dakota",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",902630,935082,1048222,1209814,1289761,1405282,1493630,1606310,1771737,1893421,2010554,2120100,2347476,2457206,2627563,2858699,3150696,3224682,3425613,3395595,3589697
 "38000","North Dakota",4,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",762788,773848,816622,808350,843980,887869,936702,965976,990050,1003835,1061226,1193330,1213210,1465920,1561879,1736199,1979426,1966305,1856301,1963417,1939375
 "38000","North Dakota",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27639,28463,29862,31334,32503,34111,35709,36942,38652,40651,42967,44336,46685,50594,54480,56754,60589,60733,59779,61422,63570
 "38000","North Dakota",4,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",137958,130121,143479,161568,148527,117196,168873,166246,160222,234812,259279,193427,195600,214785,313672,305127,356136,217611,220743,243709,243352
 "38000","North Dakota",4,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9163404,9547326,10080963,10639064,11094764,11734201,12529708,13196427,14110433,15011611,16198689,16742555,18106736,20674217,24051156,25985805,28766253,28413997,26715321,27256337,28473052
 "38000","North Dakota",4,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",6927316,7242947,7663867,8031309,8266605,8689930,9326007,9852290,10624472,11393013,12411722,12688973,13757198,16209030,19496149,21227278,23761721,23102561,21235380,21688614,22799729
 "38000","North Dakota",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",31633,32827,42971,31001,31155,32511,38470,39679,42345,43659,51356,63406,68014,74637,83745,86390,92642,97488,105607,107565,110648
 "38000","North Dakota",4,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",26613,27826,37587,29884,30033,31458,37268,38509,41127,42641,50271,62215,66887,73553,82652,85649,92010,96886,104761,106489,109588
 "38000","North Dakota",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",173120,165235,178315,207242,183768,199743,223044,270865,351947,405596,581852,586935,962631,1659017,2607913,2847812,3459033,2646942,1718278,2150274,2578803
 "38000","North Dakota",4,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",31302,29393,32260,33843,24859,28655,30793,34244,37077,41069,59458,71857,98668,137256,221112,268855,360817,436177,406434,413070,445781
 "38000","North Dakota",4,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",92560,100707,97124,104648,101134,100963,104088,109763,116571,121917,133193,142559,153309,167751,197424,209857,229576,235200,231742,226711,235098
 "38000","North Dakota",4,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",49258,35135,48931,68751,57775,70125,88163,126858,198299,242610,389201,372519,710654,1354010,2189377,2369100,2868640,1975565,1080102,1510493,1897924
 "38000","North Dakota",4,SAINC6N,300,"22","   Utilities","Thousands of dollars",217473,206873,212521,258005,265195,275349,274468,281603,306113,323355,345418,355507,370077,389922,381686,422338,456837,490818,529583,526209,539429
 "38000","North Dakota",4,SAINC6N,400,"23","   Construction","Thousands of dollars",574556,682783,647156,620932,597902,650533,736303,768893,854865,946602,1111481,1163512,1230926,1539794,2024106,2372695,2763216,2705836,2454221,2063021,2043623
 "38000","North Dakota",4,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",163200,170795,172693,171962,(D),181572,213125,210152,250543,268346,274681,318086,309709,356411,398432,515929,546204,533438,520477,402370,427821
 "38000","North Dakota",4,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",128697,191205,154210,143509,(D),144520,158979,168650,171666,212867,325979,294435,356804,474110,680196,735882,887380,829672,735159,557521,576871
 "38000","North Dakota",4,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",282659,320783,320253,305461,303168,324441,364199,390091,432656,465389,510821,550991,564413,709273,945478,1120884,1329632,1342726,1198585,1103130,1038931
 "38000","North Dakota",4,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",759255,761867,827499,943604,960949,999734,1102269,1174324,1236834,1303674,1364394,1232765,1226896,1327483,1449316,1506118,1607827,1629199,1592078,1647673,1767192
 "38000","North Dakota",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",520172,518953,571789,641387,657371,679155,759633,824798,870122,916401,966420,828349,807675,898247,990680,1028000,1086863,1080909,1036262,1066178,1174062
 "38000","North Dakota",4,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",45450,50649,55111,55019,59968,64580,69392,73809,74355,75882,73794,63823,65203,68184,70889,83518,88293,97736,98465,98041,102151
 "38000","North Dakota",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",28356,33266,35589,42686,45168,46615,52961,54069,57345,59623,59708,60646,65288,79680,104661,111689,122504,124893,114386,99329,99066
 "38000","North Dakota",4,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),4015,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",50388,47097,47419,57012,59087,58834,65846,71065,77186,84250,95920,93243,90932,104980,107952,118880,131532,120586,111606,111786,146912
 "38000","North Dakota",4,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",224123,225829,244544,236050,234411,258845,303329,336439,354509,376062,407535,332799,307098,344002,376948,374243,382528,368932,332647,364834,389574
 "38000","North Dakota",4,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",39818,39310,45021,81250,92097,95000,105118,106171,113392,115256,111857,93182,94958,104990,111685,116725,119809,119461,115080,109150,124129
 "38000","North Dakota",4,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",(T),(T),(T),1891,2236,852,948,3317,3368,4045,4518,2890,3598,4872,5436,5215,6187,6407,5724,6216,7942
 "38000","North Dakota",4,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",58705,56246,69419,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",18584,15751,17793,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),47054,(D),(D),55561,56646,61222
 "38000","North Dakota",4,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",21962,20597,25832,33435,34262,34303,37206,36790,40132,43043,45568,39757,39520,38513,37203,39433,40818,43524,44359,45121,48444
 "38000","North Dakota",4,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",23832,20116,21352,22369,21742,22817,23303,22793,23476,25647,25947,26330,26040,26683,33553,35142,36703,37803,37840,38723,40431
 "38000","North Dakota",4,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",239083,242914,255710,302217,303578,320579,342636,349526,366712,387273,397974,404416,419221,429236,458636,478118,520964,548290,555816,581495,593130
 "38000","North Dakota",4,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",155952,154616,165517,180728,184895,189732,207395,207307,212019,225236,227401,235744,244120,254291,260902,269383,293313,293878,301391,307978,316243
 "38000","North Dakota",4,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",14354,15548,15207,15893,14340,16258,17513,18872,14644,15459,15704,15769,16073,9338,9301,9556,11090,13325,13068,14190,15195
 "38000","North Dakota",4,SAINC6N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",(T),(T),(T),3527,3929,4847,5247,5831,6329,7010,7666,7818,8578,9489,10082,10995,12287,11672,12476,12996,13587
 "38000","North Dakota",4,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",(T),(T),(T),1203,1199,1336,1331,1318,1031,971,900,752,721,705,663,645,679,660,673,651,681
 "38000","North Dakota",4,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),6594,(D),(D),(D),(D),7046,7982,8267,(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",26657,28109,28575,29382,29767,29798,30736,31671,32936,33150,33945,30809,33491,35396,36566,35953,36951,36291,36130,34591,35627
 "38000","North Dakota",4,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",5116,5128,4992,8015,8508,9653,8138,8310,10153,16543,20312,23399,22865,21646,22162,22421,24580,30195,32867,38304,35344
 "38000","North Dakota",4,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",22210,24207,26179,29653,32616,37470,39496,40848,44813,47597,49626,44299,44946,50338,68848,74147,78019,77155,79308,87557,94125
 "38000","North Dakota",4,SAINC6N,600,"42","   Wholesale trade","Thousands of dollars",648996,658858,686512,724066,735741,766082,826675,887670,938557,1005627,1113002,1150237,1259265,1518655,1832200,1981881,2149061,2066841,1816977,1854140,1903056
 "38000","North Dakota",4,SAINC6N,700,"44-45","   Retail trade","Thousands of dollars",830684,845726,891530,881280,913285,956178,982087,1022658,1073725,1120337,1171812,1197201,1248012,1372593,1510989,1637314,1773447,1835508,1770914,1741679,1742370
 "38000","North Dakota",4,SAINC6N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",180363,184523,192685,201912,205752,216331,221161,223817,229295,244937,252867,246610,268764,307001,338608,368654,396093,403309,391687,396456,402302
 "38000","North Dakota",4,SAINC6N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",34481,35212,38184,38840,40902,43329,46288,49513,50768,53939,53362,50711,51372,56613,63562,67525,70966,73677,71534,67800,67563
 "38000","North Dakota",4,SAINC6N,703,"443","    Electronics and appliance stores","Thousands of dollars",40347,43074,44147,43161,42336,43503,42477,47516,52433,52941,58308,63028,67451,75492,82337,80483,81673,87553,83125,76459,77381
 "38000","North Dakota",4,SAINC6N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",96128,89468,89562,86066,91703,100001,104582,112389,122283,124489,129801,128913,136606,149910,181220,201880,228171,233357,227073,220020,220087
 "38000","North Dakota",4,SAINC6N,705,"445","    Food and beverage stores","Thousands of dollars",108273,110762,113972,107479,111334,118165,121906,122466,125548,127521,132180,138487,139084,145207,155186,170062,181505,192237,186798,184969,187128
 "38000","North Dakota",4,SAINC6N,706,"446","    Health and personal care stores","Thousands of dollars",44250,48027,53064,55664,61256,63904,68446,74168,79502,83225,87480,91542,95693,99078,96514,104285,109209,110810,114973,115860,118230
 "38000","North Dakota",4,SAINC6N,707,"447","    Gasoline stations","Thousands of dollars",64004,64696,68167,65314,64998,68285,69656,72878,73737,77223,82253,88688,94331,106436,125524,152355,172240,178291,162102,159380,165726
 "38000","North Dakota",4,SAINC6N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",35132,34510,36989,35592,37204,39035,40760,42763,46980,50994,52131,46336,48994,51334,57180,60479,64204,65867,64945,61853,60193
 "38000","North Dakota",4,SAINC6N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",28607,29462,31730,30745,33034,31526,31094,32901,35931,38348,43021,42936,44040,45962,49148,54344,57984,60095,59939,59302,60323
 "38000","North Dakota",4,SAINC6N,711,"452","    General merchandise stores","Thousands of dollars",121791,124418,129038,124392,130636,135969,139158,143567,157699,165232,175528,188663,186453,203099,218100,231054,255776,266788,265604,260831,260320
 "38000","North Dakota",4,SAINC6N,712,"453","    Miscellaneous store retailers","Thousands of dollars",53752,55460,59363,54743,53989,55623,55774,55734,57389,59219,62207,63742,62740,68297,75630,75491,77878,78672,73231,70200,69773
 "38000","North Dakota",4,SAINC6N,713,"454","    Nonstore retailers","Thousands of dollars",23556,26114,34629,37372,40141,40507,40785,44946,42160,42269,42674,47545,52484,64164,67980,70702,77748,84852,69903,68549,53344
 "38000","North Dakota",4,SAINC6N,800,"48-49","   Transportation and warehousing","Thousands of dollars",412261,415690,429305,419755,425740,442475,475214,499173,542831,574871,657307,685197,778054,1118003,1579518,1753154,2036026,1847825,1412856,1478295,1567700
 "38000","North Dakota",4,SAINC6N,801,"481","    Air transportation","Thousands of dollars",(T),(T),(T),9436,9613,9948,9885,9539,8953,5248,4932,4846,4843,6151,6502,4972,4454,4785,5302,4907,5247
 "38000","North Dakota",4,SAINC6N,802,"482","    Rail transportation","Thousands of dollars",129797,131245,132049,122427,116925,120153,130005,138405,147854,148667,159243,152289,153130,181063,188093,209794,249437,243635,205838,196373,203322
 "38000","North Dakota",4,SAINC6N,803,"483","    Water transportation","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0
 "38000","North Dakota",4,SAINC6N,804,"484","    Truck transportation","Thousands of dollars",179312,182417,187900,181868,190557,195271,202724,217380,240674,260984,313263,339208,425830,707957,1102900,1189197,1348625,1148815,777135,835265,887532
 "38000","North Dakota",4,SAINC6N,805,"485","    Transit and ground passenger transportation","Thousands of dollars",16810,18050,19333,18453,19395,20325,24767,25815,29997,32825,36491,39704,40452,48228,51850,50229,55414,54567,43723,43007,40128
 "38000","North Dakota",4,SAINC6N,806,"486","    Pipeline transportation","Thousands of dollars",17470,10047,(T),16921,17694,18760,21725,21829,23395,24977,36219,36886,39258,45362,59115,87718,116723,131297,147115,172545,185378
 "38000","North Dakota",4,SAINC6N,807,"487","    Scenic and sightseeing transportation","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,808,"488","    Support activities for transportation","Thousands of dollars",23584,26033,30001,27037,26988,27068,29198,33154,37947,43484,46469,48876,52587,64471,98305,131770,168578,159982,125205,113115,121926
 "38000","North Dakota",4,SAINC6N,809,"492","    Couriers and messengers","Thousands of dollars",29847,31110,32614,(D),(D),(D),(D),(D),(D),(D),(D),(D),51983,54215,(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,811,"493","    Warehousing and storage","Thousands of dollars",(T),(T),(T),8500,7806,12667,14562,9970,10328,11345,12280,13360,9812,10541,13627,16754,21005,23904,23615,27174,35392
 "38000","North Dakota",4,SAINC6N,900,"51","   Information","Thousands of dollars",253342,266918,302579,330518,330080,357517,367338,373462,408574,446037,427790,457475,447737,454650,468107,468342,497961,490065,518570,517937,532515
 "38000","North Dakota",4,SAINC6N,901,"511","    Publishing industries (except Internet)","Thousands of dollars",87415,97879,117286,127682,134759,147607,159629,156979,184514,205136,192289,210831,200704,212308,224109,219308,230106,218416,244479,250552,267654
 "38000","North Dakota",4,SAINC6N,902,"512","    Motion picture and sound recording industries","Thousands of dollars",(T),(T),(T),4700,4481,5546,6204,6416,6060,6805,6863,7781,7517,8212,8892,9249,10237,10690,10594,10769,11001
 "38000","North Dakota",4,SAINC6N,903,"515","    Broadcasting (except Internet)","Thousands of dollars",38438,35566,40687,45782,47670,50013,50941,50725,51480,53848,53896,55976,55467,56133,56571,58416,62204,62521,62756,60520,60188
 "38000","North Dakota",4,SAINC6N,904,"516","    Internet publishing and broadcasting 4/","Thousands of dollars",(T),(T),(T),(D),(D),478,426,(D),(D),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "38000","North Dakota",4,SAINC6N,905,"517","    Telecommunications","Thousands of dollars",81153,83725,91449,97722,97790,102752,111602,117469,121166,130964,127649,131791,128622,136651,138159,143241,157197,158105,158235,153039,155481
 "38000","North Dakota",4,SAINC6N,906,"518","    Data processing, hosting, and related services","Thousands of dollars",40628,44047,47177,53799,44633,49607,36242,39086,42572,46108,43139,48907,53205,39253,38506,36003,35730,38033,41113,41871,37118
 "38000","North Dakota",4,SAINC6N,907,"519","    Other information services 4/","Thousands of dollars",(T),(T),(T),(D),(D),1514,2294,(D),(D),3176,3954,2189,2222,2093,1870,2125,2487,2300,1393,1186,1073
 "38000","North Dakota",4,SAINC6N,1000,"52","   Finance and insurance","Thousands of dollars",455550,488774,532542,609068,634316,669675,711387,733337,785226,842475,913611,913774,960402,1044632,1097085,1156515,1248682,1338361,1402983,1455981,1524048
 "38000","North Dakota",4,SAINC6N,1001,"521","    Monetary Authorities-central bank","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),0,(D),(D),(D)
 "38000","North Dakota",4,SAINC6N,1002,"522","    Credit intermediation and related activities","Thousands of dollars",229309,240393,248726,289249,308783,325948,348626,349736,379529,398019,429869,438469,454402,480607,516850,548943,580726,628600,674952,713496,745708
 "38000","North Dakota",4,SAINC6N,1003,"523","    Securities, commodity contracts, and other financial investments and related activities","Thousands of dollars",42853,49985,54876,58065,55292,53886,60282,63647,67373,72084,75121,68744,78177,92194,96736,105717,117139,134488,133481,134903,145739
