GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",295571246,317201813,349627967,360373883,360256679,369617892,391856918,406158934,426307254,451038084,462159021,444810649,457241381,474889356,489818460,502249921,523362993,549121167,560783526,582857164,607062662
 "91000","New England",1,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",246152313,264366232,291619018,299152717,296968451,303323516,319793829,330617962,348716513,369495919,377988158,361807027,370503265,384767991,398192760,408166548,427971957,448897997,459685604,477248772,496596063
 "91000","New England",1,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",49418933,52835581,58008949,61221166,63288228,66294376,72063089,75540972,77590741,81542165,84170863,83003622,86738116,90121365,91625700,94083373,95391036,100223170,101097922,105608392,110466599
 "91000","New England",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",31998819,34463474,38021831,40657243,42492627,45088607,49056264,51716418,53100551,56133383,58029434,57193313,60311411,62482141,63012655,64969063,65316071,69326037,69479157,72740975,76714352
 "91000","New England",1,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",17420114,18372107,19987118,20563923,20795601,21205769,23006825,23824554,24490190,25408782,26141429,25810309,26426705,27639224,28613045,29114310,30074965,30897133,31618765,32867417,33752247
 "91000","New England",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",42292,44546,48007,49423,50028,51880,54890,56706,59001,61888,63476,63403,65372,67309,68282,69195,71103,73538,74211,76445,78896
 "91000","New England",1,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",407619,376615,437737,460730,571931,512881,499261,403243,450543,532843,509766,487362,464474,402809,639884,653868,695587,579957,659226,551142,553993
 "91000","New England",1,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",295163627,316825198,349190230,359913153,359684748,369105011,391357657,405755691,425856711,450505241,461649255,444323287,456776907,474486547,489178576,501596053,522667406,548541210,560124300,582306022,606508669
 "91000","New England",1,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",251834801,270713565,300322828,307970962,305012086,311885769,331145189,343020413,360526473,382043628,390466656,371996263,382733573,399421156,413170348,422784886,440948168,463769890,474501014,495224291,516677479
 "91000","New England",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",319487,359051,399636,(D),(D),467523,554108,579286,606573,619160,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",117144,121067,134802,(D),128804,129261,156068,157284,174834,173580,168187,164091,(D),(D),(D),168414,(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",97526,117111,135047,(D),(D),(D),(D),(D),(D),(D),218128,(D),269195,303015,311753,266460,(D),(D),(D),327626,(D)
 "91000","New England",1,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",104817,120873,129787,127853,139174,(D),(D),(D),(D),(D),(D),(D),214581,140112,(D),(D),173512,183862,182669,(D),(D)
 "91000","New England",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",168830,181599,182445,(D),(D),232393,247818,251947,280641,273414,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",1037,529,673,0,(D),(D),1324,1373,739,1610,(D),(D),722,1157,(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",158559,171082,172269,208862,(D),224474,238233,244951,274175,259046,(D),(D),(D),(D),(D),(D),(D),(D),(D),236920,241225
 "91000","New England",1,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",9234,9988,9503,(D),3880,(D),8261,5623,5727,12758,13713,13061,(D),(D),19552,(D),24270,23636,22568,(D),20691
 "91000","New England",1,SAINC6N,300,"22","   Utilities","Thousands of dollars",2305780,2375541,2513347,(D),(D),2753420,2974119,2827804,2822571,2979190,3194559,3205072,3255573,3450697,3186816,3280976,3385208,3364786,3418696,3717876,3796820
 "91000","New England",1,SAINC6N,400,"23","   Construction","Thousands of dollars",12062606,13638226,15531083,16646192,(D),17050251,17953325,18495566,19238201,19981845,19948058,16969630,16338398,16962650,17841374,18864057,20245265,22194286,23498288,(D),26366253
 "91000","New England",1,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",2773484,3147985,3541781,3851972,(D),4164469,4499746,4660809,4817559,4932931,4823394,3961757,3721385,3846485,4008693,4226924,4565639,5056099,5380432,5589027,5882573
 "91000","New England",1,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1948866,2193861,2391223,2437808,(D),2286994,2198236,2186952,2186791,2313846,2286916,2051326,2218649,2297065,2496099,2500673,2688318,2906629,3078221,(D),3414536
 "91000","New England",1,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",7340256,8296380,9598079,10356412,10456008,10598788,11255343,11647805,12233851,12735068,12837748,10956547,10398364,10819100,11336582,12136460,12991308,14231558,15039635,15851204,17069144
