GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",24313644,25142832,26901453,28483441,29993899,31595656,33619648,35847330,38223836,40322186,42130986,41321063,42003903,42995234,44131038,44484843,45730951,46955991,47414944,47992816,50278536
 "35000","New Mexico",6,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",19828841,20521192,21943058,23288778,24318323,25451142,27005895,28708801,30783334,32521540,34012587,33240669,33508566,34175198,34992571,35407200,36622620,37454749,37608839,38579384,40550511
 "35000","New Mexico",6,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",4484803,4621640,4958395,5194663,5675576,6144514,6613753,7138529,7440502,7800646,8118399,8080394,8495337,8820036,9138467,9077643,9108331,9501242,9806105,9413432,9728025
 "35000","New Mexico",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3001541,3092279,3340952,3462971,3851832,4231787,4622742,5036810,5154511,5404540,5574984,5559128,5914545,6128416,6386010,6266630,6215117,6372127,6710359,6381475,6640011
 "35000","New Mexico",6,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1483262,1529361,1617443,1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2893214,3129115,3095746,3031957,3088014
 "35000","New Mexico",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32048,32860,34438,35958,37432,38889,40557,42461,44087,45999,47915,48876,50212,51419,52584,52552,53635,54602,55056,55624,57424
 "35000","New Mexico",6,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",179071,177749,194573,197995,220775,197890,214431,241523,233870,276700,260775,286546,252798,249624,278160,314929,301876,256263,301397,309521,336134
 "35000","New Mexico",6,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",24134573,24965083,26706880,28285446,29773124,31397766,33405217,35605807,37989966,40045486,41870211,41034517,41751105,42745610,43852878,44169914,45429075,46699728,47113547,47683295,49942402
 "35000","New Mexico",6,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",16629725,17190346,18478588,19469101,20162308,21163983,22435146,24026740,26352399,28321106,29601425,28194582,28575089,29441010,30469410,30668937,31844614,32947311,33065281,33608731,35543542
 "35000","New Mexico",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",58597,59706,61805,60026,61446,62658,72700,70751,75730,71712,73070,77063,77468,79986,85166,87908,100212,110692,122528,122841,131344
 "35000","New Mexico",6,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",5131,5559,5855,(D),(D),(D),1988,2074,2282,1848,1807,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",53234,53947,55694,57135,59208,60732,70712,68677,73448,69864,71263,75431,76150,78461,83052,86426,98565,108794,120657,121089,129343
 "35000","New Mexico",6,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",737304,679124,765630,884332,787885,839463,943576,1103810,1364982,1439008,1699440,1384340,1631546,1803015,2114279,2261611,2508100,2295683,1792688,1957935,2354411
 "35000","New Mexico",6,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",175725,174503,194220,221387,215195,230702,253980,285307,354831,364639,454441,420234,608706,523551,577099,604283,659325,669880,614105,569973,575870
 "35000","New Mexico",6,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",304656,277762,267140,288499,258403,247057,270061,296491,318463,324712,402063,349726,348046,408821,464470,478527,460785,444468,390801,357107,369166
 "35000","New Mexico",6,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",256923,226859,304270,374446,314287,361704,419535,522012,691688,749657,842936,614380,674794,870643,1072710,1178801,1387990,1181335,787782,1030855,1409375
 "35000","New Mexico",6,SAINC6N,300,"22","   Utilities","Thousands of dollars",236844,248348,257738,313320,303340,302487,315582,328339,351521,393876,432297,449921,442440,457425,447089,465592,478016,483630,523196,492813,500950
 "35000","New Mexico",6,SAINC6N,400,"23","   Construction","Thousands of dollars",1424093,1472678,1645941,1779126,1724955,1842457,2014486,2279866,2568749,2706434,2892331,2450617,2264387,2196881,2179418,2216354,2312114,2418080,2443311,2621497,2862120
 "35000","New Mexico",6,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",399821,421930,475397,530095,514728,539286,585104,678926,733713,758693,830898,658827,587081,561883,516854,495045,512690,574747,587937,662458,655641
 "35000","New Mexico",6,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",332342,341222,366854,374240,350549,347650,372490,416066,487149,522378,541815,477544,463347,451728,478821,544987,551637,572621,569951,602564,743225
 "35000","New Mexico",6,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",691930,709526,803690,874791,859678,955521,1056892,1184874,1347887,1425363,1519618,1314246,1213959,1183270,1183743,1176322,1247787,1270712,1285423,1356475,1463254
 "35000","New Mexico",6,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",1705408,1744620,1921557,1941975,1862456,1874597,1870707,1952265,2104110,2228650,2145774,1905335,1938063,2030838,2118957,2055508,2043989,2067917,1951915,1830397,1879062
 "35000","New Mexico",6,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1362739,1386224,1539680,1521002,1449462,1438487,1419083,1480963,1597563,1680679,1597977,1355618,1393117,1466010,1501738,1419063,1380489,1359681,1277572,1143737,1169922
 "35000","New Mexico",6,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",42261,49362,45999,39999,40444,43554,49664,56219,59963,52502,47952,35358,33021,32573,32923,30906,32041,37361,39527,41255,43596
 "35000","New Mexico",6,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",95745,93684,101021,100358,101201,101973,102334,116232,130110,136756,128917,107390,103488,96911,94611,92026,97551,104123,100522,106480,112433
 "35000","New Mexico",6,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",63427,58518,44520,32936,28594,20877,24933,24034,25405,27165,27924,21735,21859,21558,22796,21395,18656,25121,22785,22080,24283
 "35000","New Mexico",6,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",93319,95123,101486,110592,106139,99643,109765,117478,125678,136975,144688,122182,127691,130919,145397,147105,145017,148748,143024,132700,143330
 "35000","New Mexico",6,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",56981,59352,65441,69129,64188,61760,60655,67872,75374,83162,83853,78369,77916,71487,79785,76583,77163,77155,63883,85848,96428
 "35000","New Mexico",6,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",730014,737652,874074,876920,833460,851651,804936,801638,831752,846290,757851,711966,748719,825047,838542,769757,721705,664058,622907,492645,491016
 "35000","New Mexico",6,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",22827,28751,37149,27781,17635,18012,17961,18319,21299,20356,23142,23950,33619,33730,30870,33166,33865,33546,29948,31764,40162
 "35000","New Mexico",6,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",36894,36651,41585,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",86416,86055,88226,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "35000","New Mexico",6,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",26506,26836,28340,30607,32859,32345,33960,33926,41202,53058,52670,39917,34589,32940,28192,27199,27560,28609,28547,24419,24932
 "35000","New Mexico",6,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",108349,114240,111839,106595,111636,113602,111188,119332,110636,107813,107347,94310,95669,96759,98667,94100,99139,107487,109982,107590,99953
 "35000","New Mexico",6,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",342669,358396,381877,420973,412994,436110,451624,471302,506547,547971,547797,549717,544946,564828,617219,636445,663500,708236,674343,686660,709140
 "35000","New Mexico",6,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",131557,134948,147619,157785,168318,180069,183550,191826,197170,200458,203401,203802,218329,224177,242968,248233,256387,261519,278135,274141,281165
 "35000","New Mexico",6,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",10550,11369,12827,14727,12137,12556,12843,14850,17937,21100,21968,21966,19460,20425,22875,26873,28650,33019,36977,42358,49257
 "35000","New Mexico",6,SAINC6N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),3638,4091,2425,3022,4217,4317,4961,3995,2158,2567,2718,2854,2816,2811,1244,779,839,689
 "35000","New Mexico",6,SAINC6N,534,"314","     Textile product mills","Thousands of dollars",(T),(T),(T),2755,3070,3197,3972,3257,3827,3897,3409,3129,3281,3149,3335,3439,3430,3574,3514,3628,3927
 "35000","New Mexico",6,SAINC6N,535,"315","     Apparel manufacturing","Thousands of dollars",13973,13150,9954,8180,7115,7225,5124,1845,1820,1971,2935,2244,2487,2483,2600,3034,3244,3391,3470,3786,4445
 "35000","New Mexico",6,SAINC6N,536,"316","     Leather and allied product manufacturing","Thousands of dollars",(T),(T),(T),2370,1812,1838,1895,1770,1399,1700,1487,1077,1046,1034,1004,769,1144,1315,1183,877,1027
 "35000","New Mexico",6,SAINC6N,537,"322","     Paper manufacturing","Thousands of dollars",29882,32546,35018,32310,34119,34660,36127,37102,36182,38216,37083,31058,31082,31729,30907,30813,29940,31323,32014,32837,34402
 "35000","New Mexico",6,SAINC6N,538,"323","     Printing and related support activities","Thousands of dollars",47556,49566,48990,48680,43369,40390,40120,42631,41887,44148,43305,37980,33008,32166,33555,32823,33603,36218,36049,36216,35049
 "35000","New Mexico",6,SAINC6N,539,"324","     Petroleum and coal products manufacturing","Thousands of dollars",49573,50766,53527,68149,60162,68523,67019,65932,85215,94912,91773,101637,80645,84595,106655,112911,121265,147073,109738,117146,118685
 "35000","New Mexico",6,SAINC6N,541,"325","     Chemical manufacturing","Thousands of dollars",28486,29996,33877,36374,37704,52283,64667,73751,77147,97155,103435,113026,116941,123302,127653,133583,141028,142181,123700,122716,121941
 "35000","New Mexico",6,SAINC6N,542,"326","     Plastics and rubber products manufacturing","Thousands of dollars",23657,27698,30601,46005,41097,32944,33285,34121,39646,39453,35006,31640,36100,39050,42813,41151,41998,47379,48784,52116,58553
 "35000","New Mexico",6,SAINC6N,600,"42","   Wholesale trade","Thousands of dollars",912335,864505,921443,987510,1027980,1024545,1068520,1137254,1233581,1307767,1358654,1240180,1299474,1266977,1311840,1310214,1357945,1381561,1380992,1375205,1415640
 "35000","New Mexico",6,SAINC6N,700,"44-45","   Retail trade","Thousands of dollars",2060772,2169777,2245961,2243179,2337510,2458766,2586903,2703587,2806114,2940445,2986804,2812456,2810141,2892893,2968849,2998033,3094323,3241399,3267556,3208818,3312192
 "35000","New Mexico",6,SAINC6N,701,"441","    Motor vehicle and parts dealers","Thousands of dollars",398426,426019,446214,472970,498904,515709,540674,575716,592938,620317,593369,495337,513386,556277,596363,626252,660215,695659,694244,686949,711101
 "35000","New Mexico",6,SAINC6N,702,"442","    Furniture and home furnishings stores","Thousands of dollars",95255,99730,98333,93683,95098,99008,99546,100482,103171,111894,101281,74309,70964,71601,74662,75727,78497,80631,79960,81404,83680
 "35000","New Mexico",6,SAINC6N,703,"443","    Electronics and appliance stores","Thousands of dollars",73146,79224,76421,81445,82132,83285,94884,98266,95089,96307,107319,98008,93738,98276,94419,89413,84398,102272,98796,94052,99136
 "35000","New Mexico",6,SAINC6N,704,"444","    Building material and garden equipment and supplies dealers","Thousands of dollars",165377,181080,187564,191796,205266,227258,254994,279049,310765,310604,297197,274993,272016,279921,284424,276826,287969,283323,286409,282512,285254
 "35000","New Mexico",6,SAINC6N,705,"445","    Food and beverage stores","Thousands of dollars",351624,348751,356020,336466,326025,329721,326289,335177,347837,359796,387413,387940,402996,412311,427751,430401,437299,468592,463495,455294,464960
 "35000","New Mexico",6,SAINC6N,706,"446","    Health and personal care stores","Thousands of dollars",93817,97458,104778,106140,114020,121399,130804,139390,149539,155392,160068,167089,183493,186137,195498,197968,203003,204193,213002,213084,213569
 "35000","New Mexico",6,SAINC6N,707,"447","    Gasoline stations","Thousands of dollars",139035,145122,147610,134671,140428,145466,150364,161864,166654,174829,182832,181404,181779,182236,189159,195314,205962,242473,253266,251301,275197
 "35000","New Mexico",6,SAINC6N,708,"448","    Clothing and clothing accessories stores","Thousands of dollars",114331,118626,125108,129830,143513,150010,157242,145594,147018,154206,150689,143138,145176,138228,145867,146915,145714,150077,152397,155138,151073
 "35000","New Mexico",6,SAINC6N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Thousands of dollars",63718,66799,69412,65708,69227,72958,77698,79828,77802,81357,82394,82024,82109,72237,72856,75089,76841,79905,77463,77069,79403
 "35000","New Mexico",6,SAINC6N,711,"452","    General merchandise stores","Thousands of dollars",294457,332439,346708,350647,389313,438296,457538,492008,517894,551529,581387,591610,572823,604402,603912,600119,620241,641321,663199,650485,673966
