GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",59633997,63121783,68747700,70046660,70461315,72623807,76721851,81238224,86997813,91543376,92952275,88732590,89648788,92986208,97663944,100989113,106099154,113412850,119312308,125747278,132638759
 "41000","Oregon",8,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",47926280,50950564,55205663,55728283,55852595,57246037,60498099,64328444,68962522,72685962,73776161,69788357,70863621,73912672,77112304,80131040,85059610,91038721,95827554,101213384,107013803
 "41000","Oregon",8,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",11707717,12171219,13542037,14318377,14608720,15377770,16223752,16909780,18035291,18857414,19176114,18944233,18785167,19073536,20551640,20858073,21039544,22374129,23484754,24533894,25624956
 "41000","Oregon",8,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",7272654,7578271,8528835,9369909,9589883,10162787,10612751,11080398,11868139,12495065,12774895,12801507,12391835,12583410,13713601,13670488,13467452,14437681,15233635,15706800,16651193
 "41000","Oregon",8,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",4435063,4592948,5013202,4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7572092,7936448,8251119,8827094,8973763
 "41000","Oregon",8,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",36702,38185,40813,41871,42786,43864,45325,46800,48789,50703,51951,52602,53478,54817,56863,57687,58962,61251,62742,64494,66539
 "41000","Oregon",8,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",633459,723295,738294,740161,693870,702577,775370,884640,883156,1035794,1013250,1113627,985849,973380,967538,1080034,1041002,866902,1015563,1098837,1204097
 "41000","Oregon",8,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",59000538,62398488,68009406,69306499,69767445,71921230,75946481,80353584,86114657,90507582,91939025,87618963,88662939,92012828,96696406,99909079,105058152,112545948,118296745,124648441,131434662
 "41000","Oregon",8,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",47709213,50297759,55039817,55099533,55167369,57149724,60701365,64643860,69750225,73258615,73827017,68630723,69261763,72200878,77020881,79796748,84159171,90792187,95560817,100973667,106702371
 "41000","Oregon",8,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",585247,600471,656705,647970,723059,736729,774337,778212,842281,868429,864802,788784,764884,812640,933717,965486,1031244,1115837,1093078,1108224,1219546
 "41000","Oregon",8,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",339489,341008,360005,361705,384118,387446,431546,425701,430234,437659,413742,343277,318240,347305,398607,418577,448092,458904,440247,385796,415578
 "41000","Oregon",8,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",43061,44276,48290,28740,30512,30919,33850,34501,36481,37752,38589,40185,35530,38212,40022,41658,43246,45126,51391,49552,50470
 "41000","Oregon",8,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",202697,215187,248410,257525,308429,318364,308941,318010,375566,393018,412471,405322,411114,427123,495088,505251,539906,611807,601440,672876,753498
 "41000","Oregon",8,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",85778,90341,93571,85620,85072,91741,99845,112213,126563,131468,120399,96456,90468,95121,98436,97801,98300,115144,125788,137830,149568
 "41000","Oregon",8,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),841,1158,662,290,393,478,(D),(D),(D),(D),(D),0,0
 "41000","Oregon",8,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",79164,82982,85377,84022,83069,89780,98672,110610,122222,127467,116466,89128,83119,85202,91048,91209,93086,109734,120679,132584,142998
 "41000","Oregon",8,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),3500,2843,3271,7038,6956,9441,(D),(D),(D),(D),(D),5246,6570
 "41000","Oregon",8,SAINC6N,300,"22","   Utilities","Thousands of dollars",350089,360215,382354,450763,470766,467188,503177,464916,523972,525744,550116,552609,533429,542664,548634,557973,574474,587034,634309,661252,695002
 "41000","Oregon",8,SAINC6N,400,"23","   Construction","Thousands of dollars",3819075,3963758,4328152,4003377,3891053,3796298,4094747,4598271,5328879,5740643,5406482,4346673,4002896,4169019,4452628,4803422,5341297,5582807,6245526,6969931,7777546
 "41000","Oregon",8,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",975886,1000703,1063197,980708,964870,949347,1014766,1173104,1380753,1472322,1366971,1066680,939862,991405,1044947,1194112,1335277,1475813,1634222,1899553,2130067
 "41000","Oregon",8,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",555286,583661,618249,580232,562627,580103,621791,663428,757943,827953,786345,692084,693740,710156,651172,684379,707765,748525,786240,825607,898436
 "41000","Oregon",8,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",2287903,2379394,2646706,2442437,2363556,2266848,2458190,2761739,3190183,3440368,3253166,2587909,2369294,2467458,2756509,2924931,3298255,3358469,3825064,4244771,4749043
 "41000","Oregon",8,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",10701720,11082514,11958323,11889140,11101663,11267755,12039688,12614963,13257082,13586770,13408635,11592571,11968475,12689090,13599506,13662905,14325086,15313917,15872919,16263673,17258632
 "41000","Oregon",8,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",8351923,8700742,9459248,9478589,8729242,8817293,9527583,10055187,10595137,10831192,10628238,8979423,9340638,10053914,10805587,10766952,11305568,12070633,12542233,12709039,13598252
 "41000","Oregon",8,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",1432837,1500368,1531919,1439869,1436146,1461399,1579200,1640657,1631420,1528358,1390425,1086885,1072672,1059668,1130403,1225163,1285156,1323422,1372538,1430885,1518352
 "41000","Oregon",8,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",233764,228782,249397,263189,250982,259013,276304,306548,304811,317767,308124,246398,248401,252882,258843,267053,284951,310035,329541,353868,375500
 "41000","Oregon",8,SAINC6N,513,"331","     Primary metal manufacturing","Thousands of dollars",515440,513800,569427,591668,531543,495831,532844,600831,696002,770767,792751,627393,626371,697823,729346,717913,703433,733050,725836,745077,880196
 "41000","Oregon",8,SAINC6N,514,"332","     Fabricated metal product manufacturing","Thousands of dollars",741568,751437,812274,744066,671590,699758,761280,822955,878556,919963,952286,798079,802719,862238,939458,944125,948959,1011130,1039348,1063488,1139333
 "41000","Oregon",8,SAINC6N,515,"333","     Machinery manufacturing","Thousands of dollars",701218,696538,784915,753748,702604,702492,752287,759748,801086,858408,838440,698648,730900,830175,917200,946403,975109,1030725,1064684,1184066,1323700
 "41000","Oregon",8,SAINC6N,516,"334","     Computer and electronic product manufacturing","Thousands of dollars",3288181,3570024,3936381,4120554,3605445,3640825,3892670,4045138,4268780,4394643,4380981,3943560,4307652,4710694,5078739,4915102,5244792,5636460,5935617,5761019,6130050
 "41000","Oregon",8,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing","Thousands of dollars",112618,121285,144036,169171,122880,128391,133485,142462,168436,168031,171883,164800,171028,184416,203821,194698,201600,215118,211014,273536,253663
 "41000","Oregon",8,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Thousands of dollars",446584,426655,472924,434234,463588,456532,530666,594904,602490,578128,463545,271895,287846,300639,322583,294756,306693,(D),(D),(D),366513
 "41000","Oregon",8,SAINC6N,519,"3364-3369","     Other transportation equipment manufacturing","Thousands of dollars",309754,314540,339381,345615,318855,325700,357219,377481,427011,463412,490887,430478,431953,475597,515017,528164,578384,(D),(D),(D),639358
 "41000","Oregon",8,SAINC6N,521,"337","     Furniture and related product manufacturing","Thousands of dollars",246473,258505,279413,271016,275631,283916,304935,325130,352661,334592,300298,226687,203360,206168,220311,229072,250175,284956,326898,332366,349319
 "41000","Oregon",8,SAINC6N,522,"339","     Miscellaneous manufacturing","Thousands of dollars",323486,318808,339181,345459,349978,363436,406693,439333,463884,497123,538618,484600,457736,473614,489866,504503,526316,561733,582019,604893,622268
 "41000","Oregon",8,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",2349797,2381772,2499075,2410551,2372421,2450462,2512105,2559776,2661945,2755578,2780397,2613148,2627837,2635176,2793919,2895953,3019518,3243284,3330686,3554634,3660380
 "41000","Oregon",8,SAINC6N,531,"311","     Food manufacturing","Thousands of dollars",781157,776067,817493,784655,798820,845878,875706,874255,919605,984405,1014535,1029591,1066843,1067655,1163665,1238166,1328209,1441766,1529339,1637798,1620643
 "41000","Oregon",8,SAINC6N,532,"312","     Beverage and tobacco product manufacturing","Thousands of dollars",93837,101659,98672,98822,94161,102976,118291,118962,131574,152147,159079,174835,165374,167097,192563,213098,245263,282337,304796,335579,382092
 "41000","Oregon",8,SAINC6N,533,"313","     Textile mills","Thousands of dollars",(T),(T),(T),7435,5905,5272,4246,3700,3653,3911,3880,3065,2778,2954,3418,3626,4199,4650,4713,4696,4693
