GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",215788108,227715411,242185623,251930680,257426279,265530003,278992193,290528103,305857854,320442612,328401746,321459482,329382675,342093806,351420060,361261902,372391227,387460788,390968885,406371560,423571603
 "42000","Pennsylvania",2,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",175755250,184861731,195893879,201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296353875,308363976,312525564,325048748,339163814
 "42000","Pennsylvania",2,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",40032858,42853680,46291744,50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76037352,79096812,78443321,81322812,84407789
 "42000","Pennsylvania",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",25887430,28220501,30910917,34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52838325,54998545,53999715,55767289,58594017
 "42000","Pennsylvania",2,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24098267,24443606,25555523,25813772
 "42000","Pennsylvania",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38037,39453,41216,42869,44082,45805,47878,49393,51442,53566,54882,55527,56847,58454,59482,60881,62207,64175,64237,66112,68095
 "42000","Pennsylvania",2,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",471603,428917,490569,505272,615001,564737,569502,474446,535740,667276,633642,590353,578892,501077,675441,676158,685646,607483,699003,671986,683900
 "42000","Pennsylvania",2,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",215316505,227286494,241695054,251425408,256811278,264965266,278422691,290053657,305322114,319775336,327768104,320869129,328803783,341592729,350744619,360585744,371705581,386853305,390269882,405699574,422887703
 "42000","Pennsylvania",2,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",182204366,192624147,205021905,211489646,214454099,220392470,231170976,241588035,254593210,266950493,273404878,265360694,271468836,284866648,295361582,302958236,313573630,327661020,330738340,345234531,360915514
 "42000","Pennsylvania",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",145009,156360,178655,177380,177829,179930,205425,206621,233119,228942,234870,254111,254832,260014,281410,293289,309868,318183,330445,335921,359706
 "42000","Pennsylvania",2,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",27075,30018,32582,(D),(D),(D),(D),29665,(D),(D),27543,26201,29468,31267,38368,41449,40498,45537,44225,45462,47166
 "42000","Pennsylvania",2,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),10231,(D),(D),(D),(D),5151,(D),(D),3409,2161,1919,2262,2494,2181,2366,2504,2185,2247,2114
 "42000","Pennsylvania",2,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",111298,119303,135842,139503,144397,148197,167730,171805,197898,193256,203918,225749,223445,226485,240548,249659,267004,270142,284035,288212,310426
 "42000","Pennsylvania",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1033287,990006,987659,1091107,1022815,1019571,1125434,1219284,1357615,1420176,1584630,1619353,2125987,2794583,3279075,3310611,3638381,3254553,2367099,2836800,2973605
 "42000","Pennsylvania",2,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",115090,113620,113497,121779,112838,109435,119294,125260,164419,184121,237977,247396,420277,554077,729344,821298,900514,903898,757346,855380,719008
 "42000","Pennsylvania",2,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",826031,779183,767800,846463,783274,775423,847459,907981,958923,936590,1014563,955739,1002530,1081732,1136311,1086914,1062995,965653,815259,905450,911407
 "42000","Pennsylvania",2,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",92166,97203,106362,122865,126703,134713,158681,186043,234273,299465,332090,416218,703180,1158774,1413420,1402399,1674872,1385002,794494,1075970,1343190
 "42000","Pennsylvania",2,SAINC6N,300,"22","   Utilities","Thousands of dollars",2369828,2468620,2631660,3080387,3102121,2830239,2665271,2574761,2601438,2750471,2870379,2755499,2850973,3146597,3009646,3127350,3197202,3617842,3720331,3719784,3892558
 "42000","Pennsylvania",2,SAINC6N,400,"23","   Construction","Thousands of dollars",9877832,10977384,12039731,12535972,12730874,13068884,13565278,14453062,15465852,16177672,16289337,14676801,14361319,15097143,15691856,15970058,16939963,17656361,18155349,19730128,20851965
 "42000","Pennsylvania",2,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",2406565,2702489,2903903,3011421,3124938,3218678,3478231,3792773,3887462,3842983,3852362,3346114,3190886,3229574,3372814,3503015,3695671,4014529,4209692,4472631,4714373
 "42000","Pennsylvania",2,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",1409538,1533120,1673385,1827227,1793457,1877178,1958343,2164842,2449083,2570108,2522637,2512931,2640380,3112673,3315419,3131464,3417171,3242459,3185695,3957618,4430843
 "42000","Pennsylvania",2,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",6061729,6741775,7462443,7697324,7812479,7973028,8128704,8495447,9129307,9764581,9914338,8817756,8530053,8754896,9003623,9335579,9827121,10399373,10759962,11299879,11706749
 "42000","Pennsylvania",2,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",40343519,41228860,43286634,42683683,40877463,39611603,39849948,40667144,41835555,42056856,42171117,38134139,38647580,40060627,40794880,40948660,42321319,43348386,42532646,44048929,45804296
 "42000","Pennsylvania",2,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",24853741,25410849,26454029,25621508,24409572,23671498,24282416,25211141,25943351,26054020,26262794,23067133,23224524,24591460,25171452,25302613,25936342,26658576,25693917,26798348,28088671
 "42000","Pennsylvania",2,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",866256,942776,994239,1027016,1089502,1135570,1221257,1305003,1285063,1222945,1122628,857015,851797,849452,842930,959418,1044442,1116841,1116336,1160233,1206575
