GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000","South Dakota",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",10318723,11071793,11828795,12186565,12696284,13275459,14027398,14697359,15386074,16456558,17319127,17207480,17850398,18678629,19482936,19949546,21145494,22060060,22736568,23742205,24721795
 "46000","South Dakota",4,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",8416334,9029033,9631622,10013729,10340108,10719482,11318653,11812080,12487547,13348539,14043928,13943470,14346751,14949889,15753600,16135987,17002592,17736376,18348925,19027737,19767859
 "46000","South Dakota",4,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1902389,2042760,2197173,2172836,2356176,2555977,2708745,2885279,2898527,3108019,3275199,3264010,3503647,3728740,3729336,3813559,4142902,4323684,4387643,4714468,4953936
 "46000","South Dakota",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1280652,1375749,1488220,1434151,1589631,1761252,1871556,2015464,1964860,2118554,2233330,2223873,2387422,2600439,2546634,2603357,2867143,3012264,3031568,3316996,3517723
 "46000","South Dakota",4,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",621737,667011,708953,738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275759,1311420,1356075,1397472,1436213
 "46000","South Dakota",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27365,28563,29961,30772,32103,33496,34878,36046,37044,38864,40263,40796,42194,43722,44783,45527,47586,49301,50437,52336,53887
 "46000","South Dakota",4,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",126421,119992,133387,151997,140903,113305,166795,167259,162973,243709,269275,198282,202315,218922,333639,286600,293311,186968,206405,246551,247066
 "46000","South Dakota",4,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",10192302,10951801,11695408,12034568,12555381,13162154,13860603,14530100,15223101,16212849,17049852,17009198,17648083,18459707,19149297,19662946,20852183,21873092,22530163,23495654,24474729
 "46000","South Dakota",4,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",7894693,8527538,9093830,9403979,9768020,10183068,10699023,11251824,11828696,12660204,13294726,13067768,13540448,14312739,15067225,15486505,16474280,17399298,17876818,18630130,19461073
 "46000","South Dakota",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",35493,36427,37843,26629,27220,29347,35276,36671,41456,47050,50234,56859,62076,70057,76724,79682,79063,84657,88749,91946,96983
 "46000","South Dakota",4,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",4187,5689,4108,3515,3733,3779,4679,4610,5202,5612,5418,4864,4856,5191,5247,4987,5623,6063,6194,6199,5929
 "46000","South Dakota",4,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),264,303,302,451,457,575,599,674,661,577,591,622,762,725,499,493,459,483
 "46000","South Dakota",4,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",28958,28498,31516,22850,23184,25266,30146,31604,35679,40839,44142,51334,56643,64275,70855,73933,72715,78095,82062,85288,90571
 "46000","South Dakota",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",78503,53143,49179,53300,42168,39816,37878,40544,42945,48023,57766,47789,50228,56598,59314,57720,59357,62909,61271,66932,70707
 "46000","South Dakota",4,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),2297,2493,2915,2826,3192,3487,3678,(D),4022,4021,3770,2841,2978
 "46000","South Dakota",4,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",75973,50172,46089,49279,37747,35507,33377,36220,38401,42199,50202,43315,44629,49852,50486,(D),(D),57075,56224,62614,65207
 "46000","South Dakota",4,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),2247,3331,4649,1648,2407,3259,5150,3896,(D),1813,1277,1477,2522
 "46000","South Dakota",4,SAINC6N,300,"22","   Utilities","Thousands of dollars",106969,104901,106066,127561,142770,144087,149923,170082,181351,188715,178351,179403,190164,200832,185982,197355,205516,213280,228209,228476,238853
 "46000","South Dakota",4,SAINC6N,400,"23","   Construction","Thousands of dollars",542719,604300,661966,662587,688597,732535,767798,830717,898458,972177,1002547,977190,957392,972744,998357,1035986,1137160,1240256,1331868,1297238,1372505
 "46000","South Dakota",4,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",147545,159325,169372,172847,182133,198527,201824,222136,235596,261905,262089,248013,227804,231101,235730,253847,287345,305619,322041,317928,344012
