GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "95000","Southeast",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",1090252366,1159460354,1240445923,1288591829,1325308540,1385341892,1473940853,1564816260,1654187196,1734335596,1765930433,1710400763,1741362148,1789407751,1856985742,1907572937,1990137487,2088849604,2151903418,2243791475,2352182107
 "95000","Southeast",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",899685010,956475031,1023853239,1058919709,1081918286,1123533912,1193380347,1265128414,1346709200,1413476976,1435829593,1381109468,1403919807,1449294741,1505460684,1541632110,1611910891,1694606914,1752420270,1829537333,1918688526
 "95000","Southeast",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",190567356,202985323,216592684,229672120,243390254,261807980,280560506,299687846,307477996,320858620,330100840,329291295,337442341,340113010,351525058,365940827,378226596,394242690,399483148,414254142,433493581
 "95000","Southeast",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",125390950,134133463,143481170,153681683,165494018,180216681,193354818,207820454,210037040,220399049,227431954,228772033,234600638,232529456,239784022,251859506,260111246,271213588,274278342,284722204,300633633
 "95000","Southeast",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",65176406,68851860,73111514,75990437,77896236,81591299,87205688,91867392,97440956,100459571,102668886,100519262,102841703,107583554,111741036,114081321,118115350,123029102,125204806,129531938,132859948
 "95000","Southeast",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34071,35414,37194,38848,40128,41818,43717,45574,47294,49079,50508,51412,52699,53648,54858,55603,56861,58348,59026,60696,62547
 "95000","Southeast",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",3267074,3202027,3210615,3908413,4038295,3713168,4200321,3816352,4077873,4582041,4587448,4206801,4049835,3683921,4632858,4585782,4588988,4356550,4695155,4328748,4575901
 "95000","Southeast",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",1086985292,1156258327,1237235308,1284683416,1321270245,1381628724,1469740532,1560999908,1650109323,1729753555,1761342985,1706193962,1737312313,1785723830,1852352884,1902987155,1985548499,2084493054,2147208263,2239462727,2347606206
 "95000","Southeast",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",872980640,930639805,997347886,1031255145,1050603510,1092155843,1161392596,1235641740,1309158629,1369260966,1381998934,1317608472,1337251956,1383660132,1449944097,1496670600,1572582061,1659836022,1715002912,1796554912,1890747857
 "95000","Southeast",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",3410324,3423882,3542526,(D),3523650,3602763,4122358,4017416,4378616,4375146,4274937,4391250,4446356,4466682,4757200,4844144,5220482,5516572,5680693,5755226,6052880
