GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "96000","Southwest",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",496176348,527840159,575798641,602889905,610458437,629904373,665914739,713330274,778648544,833583899,867833284,842930246,864330279,908173042,962875056,1002178035,1062032872,1109450972,1123808740,1175415716,1241294276
 "96000","Southwest",6,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",413345338,440229257,480035685,499767920,502596061,514774633,545130750,584652356,640391037,688742477,718465016,691534107,706505261,746390156,793044144,821305055,873069194,910079073,922975810,964724454,1019905757
 "96000","Southwest",6,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",82831010,87610902,95762956,103121985,107862376,115129740,120783989,128677918,138257507,144841422,149368268,151396139,157825018,161782886,169830912,180872980,188963678,199371899,200832930,210691262,221388519
 "96000","Southwest",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",54106808,57349946,63148552,68753591,72910244,77940037,81496787,86979048,93928223,97829911,100849835,103708064,108055267,108838125,113777774,122808834,128341811,136119185,136282116,143040658,151574200
 "96000","Southwest",6,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",28724202,30260956,32614404,34368394,34952132,37189703,39287202,41698870,44329284,47011511,48518433,47688075,49769751,52944761,56053138,58064146,60621867,63252714,64550814,67650604,69814319
 "96000","Southwest",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",35886,37367,39634,41149,41876,43313,45081,46976,49501,51684,53157,53515,55067,56809,58664,59625,61602,62978,63064,64951,67024
 "96000","Southwest",6,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",1483853,1608075,1620471,1762734,1499704,1648321,1865414,2100597,1876086,2438188,2542172,2451021,2279089,2510352,2790204,2681284,2920599,2810452,2724731,2708362,3100331
 "96000","Southwest",6,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",494692495,526232084,574178170,601127171,608958733,628256052,664049325,711229677,776772458,831145711,865291112,840479225,862051190,905662690,960084852,999496751,1059112273,1106640520,1121084009,1172707354,1238193945
 "96000","Southwest",6,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",403125541,429280984,470247206,489246997,488206579,500039001,530016128,570338767,627297502,672700294,697454268,664797427,679300860,722096675,774740299,808493526,862603377,901178173,910116659,956641739,1014776982
 "96000","Southwest",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",1146208,1201370,1259806,1054218,1108690,1116827,1275341,1298923,1419606,1407269,1399109,1481189,1525052,1555123,1651716,1637318,1810725,1938800,2043209,2121189,2225707
