GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "47000","Tennessee",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",92375412,97714064,103140429,105056967,108231085,112878057,119752045,124916467,131124401,137342318,139974454,133235914,136357590,141697511,150610141,153543245,159306158,167604789,174890039,180923462,190007698
 "47000","Tennessee",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",76348383,80562188,84731811,86150248,88371883,91357612,96727527,100725381,107003912,111984284,113679172,107955297,111157095,115350719,121832599,124031573,129860237,137461968,142689371,149002351,156640968
 "47000","Tennessee",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",16027029,17151876,18408618,18906719,19859202,21520445,23024518,24191086,24120489,25358034,26295282,25280617,25200495,26346792,28777542,29511672,29445921,30142821,32200668,31921111,33366730
 "47000","Tennessee",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",10425835,11269698,12250342,12609993,13286311,14683853,15861089,16864721,16533982,17475454,18176068,17225594,16990623,17802050,19959509,20615846,20420657,20639461,22424670,21630098,22803999
 "47000","Tennessee",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",5601194,5882178,6158276,6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9025264,9503360,9775998,10291013,10562731
 "47000","Tennessee",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",33902,35191,36570,37768,39180,40826,42573,43929,45396,47300,48588,49052,50321,51450,53666,53943,54860,56338,57535,58692,60633
 "47000","Tennessee",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",155122,156764,140744,164013,192968,215821,214853,175275,196493,236448,224607,213519,201754,175945,243274,245749,262394,218877,247537,257164,257859
 "47000","Tennessee",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",92220290,97557300,102999685,104892954,108038117,112662236,119537192,124741192,130927908,137105870,139749847,133022395,136155836,141521566,150366867,153297496,159043764,167385912,174642502,180666298,189749839
 "47000","Tennessee",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",77806038,82399503,86941701,88076824,90011024,93456181,99068898,103552283,108983036,114130818,115793143,108591186,111400273,115817546,123965205,126671088,131600322,139783325,146543754,151621309,159557714
 "47000","Tennessee",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",102782,105510,115775,110190,106488,107115,120688,116268,127273,126762,120645,128535,130830,137666,152803,153522,167010,173715,182626,180532,194797
 "47000","Tennessee",5,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",31286,33418,35086,(D),30319,(D),34015,30902,31344,31084,27509,27773,27750,27632,32200,34349,39753,42800,42232,38281,39663
 "47000","Tennessee",5,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),114,(D),178,194,312,350,272,299,243,234,235,234,286,341,499,698,840
 "47000","Tennessee",5,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",66369,67002,74798,75365,76055,76964,86495,85172,95617,95328,92864,100463,102837,109800,120368,118939,126971,130574,139895,141553,154294
 "47000","Tennessee",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",225099,209312,202501,211735,186083,176489,181495,197168,226240,251958,278258,221132,268154,261690,267524,264737,276904,283274,250352,269999,307139
 "47000","Tennessee",5,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",2262,2478,3003,3537,2818,2414,2381,2500,3448,3972,4842,3997,4731,6534,7531,10509,12847,4947,1949,2729,3994
 "47000","Tennessee",5,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",217710,200864,193732,202525,176115,166467,166049,172224,190675,215156,232387,170561,215456,221252,237798,232501,241876,257884,229359,250502,278399
 "47000","Tennessee",5,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),5673,7150,7608,13065,22444,32117,32830,41029,46574,47967,33904,22195,21727,22181,20443,19044,16768,24746
 "47000","Tennessee",5,SAINC6N,300,"22","   Utilities","Thousands of dollars",176847,179432,183622,228089,237646,237029,249559,252127,277634,285560,295743,305722,294760,301071,297930,316335,325406,332382,362206,365896,380489
 "47000","Tennessee",5,SAINC6N,400,"23","   Construction","Thousands of dollars",4637874,5010433,5276639,5074379,4870508,5090027,5272877,5667418,6387170,6921235,6842279,5631505,5539369,5843537,6088948,6094944,6530850,7266194,7592509,8095440,8437397
 "47000","Tennessee",5,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",1259993,1351320,1398151,1313958,1307034,1445669,1452451,1570553,1822459,1858219,1803360,1438289,1374753,1442413,1519510,1566001,1702002,1995648,1863815,1977630,2028729
 "47000","Tennessee",5,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",683143,756467,791851,766047,730259,729916,768908,853400,916469,954908,892796,790380,912170,1069265,996305,921675,1016283,1069896,1136678,1236519,1250056
 "47000","Tennessee",5,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",2694738,2902646,3086637,2994374,2833215,2914442,3051518,3243465,3648242,4108108,4146123,3402836,3252446,3331859,3573133,3607268,3812565,4200650,4592016,4881291,5158612
