GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",35034976,37306533,40115947,41936186,42798618,44128484,47401659,51000900,56389022,61244944,63064554,61002373,61782461,65126088,68411072,71940655,75391465,80133715,85152039,90277454,96713095
 "49000","Utah",7,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",28814471,30632372,32974823,34266548,34841351,35682709,38109151,40870280,45069706,49200072,50592034,48863474,49604354,51946746,55084989,57349385,60570007,64643564,68301493,72421860,77838125
 "49000","Utah",7,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",6220505,6674161,7141124,7669638,7957267,8445775,9292508,10130620,11319316,12044872,12472520,12138899,12178107,13179342,13326083,14591270,14821458,15490151,16850546,17855594,18874970
 "49000","Utah",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3968496,4325810,4626594,5014875,5230310,5565872,6142644,6713044,7612073,8129994,8463891,8298948,8321189,8986093,8912186,9957844,9974160,10464825,11585449,12210311,13017606
 "49000","Utah",7,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2252009,2348351,2514530,2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4847298,5025326,5265097,5645283,5857364
 "49000","Utah",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32717,34000,35665,37086,38013,39167,40932,42498,44824,46863,48236,49117,50024,51580,52463,53593,54582,56090,57509,59152,61362
 "49000","Utah",7,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",104727,107337,120287,125507,141795,129412,141953,161713,159159,191038,183362,199340,174954,172513,198847,225263,216854,182197,214247,227057,247774
 "49000","Utah",7,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",34930249,37199196,39995660,41810679,42656823,43999072,47259706,50839187,56229863,61053906,62881192,60803033,61607507,64953575,68212225,71715392,75174611,79951518,84937792,90050397,96465321
 "49000","Utah",7,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",27890102,29712268,31935414,33173229,33426839,34300954,36950784,39963354,44774520,49000772,50263053,47739201,48024148,51031842,54368017,57657207,60612977,64901232,69193415,73631639,79202261
 "49000","Utah",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",37871,39486,38374,28506,25784,26474,28950,29909,36965,43130,43192,44600,44950,47816,50899,55362,61272,63397,69483,71196,77682
 "49000","Utah",7,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),2358,1988,1460,1226,1263,1587,2097,2220,1598,1838,2082,2135,(D),3085,(D),3679,(D),(D)
 "49000","Utah",7,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",12331,12522,10498,7791,4361,4313,2886,4046,6178,8067,8734,8477,9343,10055,11224,(D),13348,(D),15284,(D),(D)
 "49000","Utah",7,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",21755,23155,23845,18357,19435,20701,24838,24600,29200,32966,32238,34525,33769,35679,37540,39790,44839,46480,50520,53809,58769
 "49000","Utah",7,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",396554,376303,411043,439156,397739,406480,472602,575463,768653,889609,1036029,846469,863890,1006383,1143907,1137375,1142863,994662,836115,834361,925861
 "49000","Utah",7,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",29358,29779,34211,43483,37522,49325,61071,72227,108949,127700,151882,144096,161821,186411,227878,240370,256419,231149,198600,164417,162547
 "49000","Utah",7,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",287413,279418,286793,269064,247063,239766,253830,282602,339093,355054,393530,381771,383642,414999,421450,407887,401916,400817,364972,377199,456865
 "49000","Utah",7,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",79783,67106,90039,126609,113154,117389,157701,220634,320611,406855,490617,320602,318427,404973,494579,489118,484528,362696,272543,292745,306449
