GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "51000","Virginia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",135572141,146109437,159515753,166940057,170796899,180821636,195046404,207827722,217628822,229355617,235869956,236466616,241654499,247353660,254584149,259346006,266063922,279502443,284009173,295627809,308842874
 "51000","Virginia",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",112115317,120992031,132384492,138736575,140653883,147673610,158766228,169084477,178943852,188715664,193712827,191514951,196438818,202093437,208182170,210447707,215898310,225582838,230690778,240420124,251083214
 "51000","Virginia",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",23456824,25117406,27131261,28203482,30143016,33148026,36280176,38743245,38684970,40639953,42157129,44951665,45215681,45260223,46401979,48898299,50165612,53919605,53318395,55207685,57759660
 "51000","Virginia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15705931,16811347,18152545,18740497,20402134,22846356,24961808,26673036,25901429,27422777,28541014,31270766,31027480,30466061,31077087,33313310,34325940,37377226,36625009,37826806,40032151
 "51000","Virginia",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",7750893,8306059,8978716,9462985,9740882,10301670,11318368,12070209,12783541,13217176,13616115,13680899,14188201,14794162,15324892,15584989,15839672,16542379,16693386,17380879,17727509
 "51000","Virginia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38077,40032,42493,44393,45587,48123,50801,53081,54878,57362,59060,61183,62726,63724,64837,65693,66977,69025,69274,71394,73526
 "51000","Virginia",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",193754,200903,184405,220210,268337,297400,292208,238094,265763,317186,300174,279168,276746,237207,335482,339218,369344,304260,346426,344295,342806
 "51000","Virginia",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",135378387,145908534,159331348,166719847,170528562,180524236,194754196,207589628,217363059,229038431,235569782,236187448,241377753,247116453,254248667,259006788,265694578,279198183,283662747,295283514,308500068
 "51000","Virginia",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",101787898,110573023,121505129,127296510,127842961,134748721,145400064,155709930,162886908,171207999,174926566,173239434,176115615,181236575,187485441,191376259,196080458,206657083,209666253,219382493,230020768
 "51000","Virginia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",169892,172353,169984,146285,141582,148200,173718,167390,182210,189058,185713,194298,195543,199662,216609,223096,248047,289330,302007,314210,334498
