GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",9467333,10125015,10932063,11552170,11932814,12434431,13134699,13641748,14087474,14690151,15242977,14843271,15107285,15762767,16203335,16774152,17089423,17808497,18326149,18681634,19284583
 "50000","Vermont",1,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",7750545,8247312,8892966,9346529,9560835,9874915,10383207,10724221,11224789,11667476,12070620,11805583,12021119,12366148,12791254,13198847,13639882,14111634,14445047,14892675,15383415
 "50000","Vermont",1,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1716788,1877703,2039097,2205641,2371979,2559516,2751492,2917527,2862685,3022675,3172357,3037688,3086166,3396619,3412081,3575305,3449541,3696863,3881102,3788959,3901168
 "50000","Vermont",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1109964,1238125,1353443,1483727,1644622,1801903,1957123,2089398,2000153,2117949,2228168,2100260,2123700,2376842,2333271,2465274,2301428,2499508,2661161,2520744,2639976
 "50000","Vermont",1,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",606824,639578,685654,721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1148113,1197355,1219941,1268215,1261192
 "50000","Vermont",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31682,32978,34703,36506,37745,39506,41286,42704,43801,45733,47616,47953,48692,50333,50925,52407,52886,54637,56044,56903,58570
 "50000","Vermont",1,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",55193,52564,62768,68329,87237,78456,76646,61945,68612,81313,77889,74267,70479,60465,94878,97244,103387,86348,98218,92395,93010
 "50000","Vermont",1,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9412140,10072451,10869295,11483841,11845577,12355975,13058053,13579803,14018862,14608838,15165088,14769004,15036806,15702302,16108457,16676908,16986036,17722149,18227931,18589239,19191573
 "50000","Vermont",1,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",7685066,8231820,8907689,9335029,9541942,9845520,10348089,10726107,11036409,11531567,11937495,11472056,11668583,12183991,12639433,13024761,13305479,13867401,14301803,14573123,15056062
 "50000","Vermont",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",19994,20776,21921,21969,22780,23170,25530,24465,26745,27109,29041,32413,32524,34197,33526,33912,37109,38689,38965,38219,39821
 "50000","Vermont",1,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",5742,5612,5794,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8325,9744,9367,7832,9677
 "50000","Vermont",1,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0
 "50000","Vermont",1,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",14044,14782,15865,16614,17486,17807,19003,19115,21166,21640,22696,26305,25925,27436,25448,(D),28784,28945,29598,30387,30144
 "50000","Vermont",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",31841,35662,35916,41419,39298,40004,38659,35788,51769,53601,49645,43717,40437,40695,43105,42614,41517,46407,47787,46750,47888
 "50000","Vermont",1,SAINC6N,201,"211","    Oil and gas extraction","Thousands of dollars",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAINC6N,202,"212","    Mining (except oil and gas)","Thousands of dollars",31447,35240,35809,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAINC6N,203,"213","    Support activities for mining","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAINC6N,300,"22","   Utilities","Thousands of dollars",119706,120131,120960,145710,164802,161149,181554,183837,190980,206326,209216,210296,226649,234091,232978,239825,240965,250486,198857,178812,186639
 "50000","Vermont",1,SAINC6N,400,"23","   Construction","Thousands of dollars",480812,546592,597417,622078,611826,653631,734473,773258,815939,838207,806197,719376,727519,766499,786006,810776,862583,900858,935677,943764,961150
 "50000","Vermont",1,SAINC6N,401,"236","    Construction of buildings","Thousands of dollars",135036,149192,166659,179176,(D),204067,227145,235604,245513,253927,237821,194141,187771,210495,218664,223488,237601,243065,257380,259493,260417
 "50000","Vermont",1,SAINC6N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",79525,87162,94031,101909,(D),90405,100398,105169,107576,105364,99065,100150,115138,104425,106244,108039,117114,113844,109579,112444,112958
 "50000","Vermont",1,SAINC6N,403,"238","    Specialty trade contractors","Thousands of dollars",266251,310238,336727,340993,328640,359159,406930,432485,462850,478916,469311,425085,424610,451579,461098,479249,507868,543949,568718,571827,587775
 "50000","Vermont",1,SAINC6N,500,"31-33","   Manufacturing","Thousands of dollars",1895565,1985523,2153264,2337372,2187755,2100317,2128083,2171442,2156399,2240032,2238051,2025767,2050965,2102683,2202967,2195605,2162686,2189181,2139210,2169336,2241533
 "50000","Vermont",1,SAINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",1419767,1475758,1605697,1836561,1704706,1613158,1641217,1675756,1678743,1753866,1739092,1559847,1564402,1591929,1621537,1580396,1501446,1491655,1427271,1437729,1502537
 "50000","Vermont",1,SAINC6N,511,"321","     Wood product manufacturing","Thousands of dollars",100973,104651,111843,105085,100171,107699,99541,101956,97813,103742,102364,76420,79021,86838,86879,94922,91876,90035,90404,85148,92082
 "50000","Vermont",1,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing","Thousands of dollars",84665,82785,89237,95404,98043,99930,102946,105215,104501,103352,101390,89189,92032,86636,90767,90347,99138,96305,99043,98047,101706
