GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54000","West Virginia",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",22583472,23351237,24530064,25385227,25955225,26697583,28041127,29277090,31155597,32064935,33788330,33715809,34285357,35999427,37327777,37479144,37819415,38107891,37307768,38958841,41806547
 "54000","West Virginia",5,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",17901595,18473498,19249275,19983879,20410261,20809727,21889543,22827556,24138271,25175445,26728096,26703857,27251083,28586785,29436518,29480048,30106489,30249707,29692962,30875535,33256837
 "54000","West Virginia",5,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",4681877,4877739,5280789,5401348,5544964,5887856,6151584,6449534,7017326,6889490,7060234,7011952,7034274,7412642,7891259,7999096,7712926,7858184,7614806,8083306,8549710
 "54000","West Virginia",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2506028,2656449,2797921,3040830,3261362,3493897,3730067,3953580,4606773,4718466,4980912,4888083,4864447,5147732,5554699,5670794,5326556,5445250,5189881,5595934,5961651
 "54000","West Virginia",5,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2175849,2221290,2482868,2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2386370,2412934,2424925,2487372,2588059
 "54000","West Virginia",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31263,32240,33643,34932,35750,37053,38465,39819,41833,42803,44895,45955,46716,48520,49699,50416,51080,51904,51724,54111,57206
 "54000","West Virginia",5,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",30372,33290,33235,37733,41486,43400,41455,33373,35087,38985,35084,33470,31594,27077,42773,43301,46027,38421,44561,38831,38543
 "54000","West Virginia",5,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",22553100,23317947,24496829,25347494,25913739,26654183,27999672,29243717,31120510,32025950,33753246,33682339,34253763,35972350,37285004,37435843,37773388,38069470,37263207,38920010,41768004
 "54000","West Virginia",5,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",17579412,18012624,18880621,19567263,19884616,20242698,21341388,22288196,24007927,24676178,25975690,25530367,25937482,27564577,28666714,28772291,29008289,29162337,28243736,29842717,32452682
 "54000","West Virginia",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",49557,47925,50441,47486,49005,45909,51390,50433,57335,57076,52273,48052,46408,45903,52991,50562,55463,59155,59687,59907,59635
 "54000","West Virginia",5,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",40195,37972,39421,36580,37736,34224,38038,36760,(D),(D),34830,30117,30371,29213,34933,32490,36915,38808,38509,37489,34878
 "54000","West Virginia",5,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),194,199,249,237,163
 "54000","West Virginia",5,SAINC6N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",8644,9199,10209,(D),(D),(D),(D),(D),16824,17100,(D),(D),(D),(D),(D),(D),18354,20148,20929,22181,24594
