GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",7337099,7776834,8347661,9000201,9452362,9958190,10631162,11529477,13424252,14895798,16195541,15263712,15529685,16172035,16978082,17540466,18373644,18203844,17256939,17618910,18451181
 "56000","Wyoming",7,SAINC6N,5,"..."," Wages and salaries","Thousands of dollars",6040447,6387324,6835198,7330442,7689551,8033904,8577838,9339746,10725959,11895985,12950649,12196367,12369655,12938727,13542550,13733258,14409506,14277712,13412943,13690902,14346797
 "56000","Wyoming",7,SAINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1296652,1389510,1512463,1669759,1762811,1924286,2053324,2189731,2698293,2999813,3244892,3067345,3160030,3233308,3435532,3807208,3964138,3926132,3843996,3928008,4104384
 "56000","Wyoming",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",803065,868109,958825,1085497,1173055,1297646,1381096,1461232,1671453,1845619,2021655,1891751,1967547,1977155,2096825,2462775,2535782,2548021,2520086,2594879,2727748
 "56000","Wyoming",7,SAINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",493587,521401,553638,584262,589756,626640,672228,728499,1026840,1154194,1223237,1175594,1192483,1256153,1338707,1344433,1428356,1378111,1323910,1333129,1376636
 "56000","Wyoming",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",30522,31726,33144,34980,36325,38000,39792,42015,46774,50032,52918,52005,53548,55042,56918,58564,60455,60170,59208,60927,63297
 "56000","Wyoming",7,SAINC6N,81,"111-112"," Farm compensation","Thousands of dollars",74110,75122,84386,87580,99837,89078,96393,107986,104313,125788,120172,130838,115388,114334,149612,168676,162833,136657,160383,166384,180866
 "56000","Wyoming",7,SAINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",7262989,7701712,8263275,8912621,9352525,9869112,10534769,11421491,13319939,14770010,16075369,15132874,15414297,16057701,16828470,17371790,18210811,18067187,17096556,17452526,18270315
 "56000","Wyoming",7,SAINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",5239549,5567110,6002944,6452816,6690299,6976566,7485933,8209966,9890706,10963843,11950611,10818841,10962013,11545907,12168047,12380312,13054055,12819795,11769350,12099247,12840743
 "56000","Wyoming",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",18240,19337,21040,27876,27659,25649,27487,23081,24629,24743,24955,27818,28806,31750,34522,35616,39057,40333,42024,(D),45623
 "56000","Wyoming",7,SAINC6N,101,"113","    Forestry and logging","Thousands of dollars",(T),(T),(T),5394,4211,3481,3602,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAINC6N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
